"Gene","FC_malesOverall","FC_femalesOverall","FCB_1","FCB_3","FCB_7","FCB_21"
"IL6",0.990519785547345,1.00781062193526,1.39405247572601,1.78489019131653,3.10487665288572,2.49700806181648
"CCL20",0.961272316450728,0.986466131020586,1.6579668856463,1.64459575966979,2.83464090558083,2.09183900422145
"C15orf48",0.964018587454657,1.04119388701139,1.50483845440159,1.86654919064543,2.58653729725768,1.96701035053644
"PLA1A",1.03896785674883,1.01932924555661,1.19762698647366,1.13746828889342,2.2642583381827,1.83635808334231
"CXCL3",0.983348547151815,1.01665847217777,1.0127438382472,1.00920759956785,2.24268972522593,1.77443066433789
"IL12B",1.02569844365378,1.07930443892412,0.959790081496425,1.05655749114698,2.17635095616312,1.70190059903629
"TNF",0.971916958990511,1.01337581682573,1.67878097344206,1.5930246164108,2.1467874246317,2.1225940852977
"IL1A",0.946081736490936,0.891083211844135,1.1353117993729,1.22295450712297,2.08248695443283,1.43471076656705
"IL1B",1.04648628089121,0.936375508270499,1.51983366968459,1.5644490378559,2.01137125465063,1.73531397996665
"CXCL1",1.05259774941616,0.99040770692322,0.90940887602265,1.08476895753711,1.91827701490064,1.48894140150638
"FFAR2",1.03429637721974,0.958690356192997,1.32798324603716,1.32389305194053,1.88160572972711,1.98335590257894
"GPR84",1.0058211569523,1.07226193348692,1.26936090663488,1.31456167686351,1.87144391783481,1.89121942698657
"KCNJ2",1.05090344390842,0.964604853172496,1.31675362050149,1.33498798015341,1.86040585540855,1.82578122807612
"TNFAIP6",0.959873439683301,1.00580443021479,1.09882083246534,1.30198430130218,1.85040467024101,1.75685803367696
"CXCL2",1.00145141164147,0.980447261971675,1.07092070640542,1.23352895074296,1.80517174572694,1.5207948596889
"IFNB1",1.0775397323532,1.06349544544308,0.812257885135153,0.782387372577675,1.78777677270257,2.2114136240908
"MIR155HG",0.952287922489806,0.976117261118333,1.00051165336304,1.09017374851218,1.75212497318369,1.52387622464953
"CCL2",0.935874110328111,0.961768118545128,0.992721533919354,1.39044039264249,1.71765315740202,2.33940792223951
"PTX3",1.11151800701674,0.99126047963238,0.965345621412249,1.06999514619589,1.6352401289109,1.31491816574337
