"","value","change"
"C4BPA","Up Regulated EGCG+Quercentin",-0.434463428571428
"CD274","Up Regulated EGCG+Quercentin",-0.432865357142858
"LINC013561","Up Regulated EGCG+Quercentin",-0.428674857142857
"RNU6-522P","Up Regulated EGCG+Quercentin",-0.419670285714286
"HMGB3P241","Up Regulated EGCG+Quercentin",-0.414488714285715
"BBOF1","Up Regulated EGCG+Quercentin",-0.403802357142857
"RPL36AP26","Up Regulated EGCG+Quercentin",-0.403493428571429
"SLPI","Up Regulated EGCG+Quercentin",-0.402215500000001
"RNU6-943P1","Up Regulated EGCG+Quercentin",-0.399695857142857
"SLC3A1","Up Regulated EGCG+Quercentin",-0.393528285714286
"RPS71","Up Regulated EGCG+Quercentin",-0.393168428571428
"RNU6-853P1","Up Regulated EGCG+Quercentin",-0.392963857142857
