,Pretreatment_Quercetin1,Pretreatment_Quercetin2,Pretreatment_Quercetin3,Pretreatment_Quercetin4,Pretreatment_Quercetin5,Pretreatment_Quercetin6,Pretreatment_Quercetin7
ID_REF,GSM1922995,GSM1923002,GSM1923008,GSM1923015,GSM1923018,GSM1923022,GSM1923017
8120102,8.439298,8.368464,8.276523,8.230228,8.22783,8.85035,8.009918
8046848,8.554764,8.884426,8.550036,8.43149,8.067245,8.727804,8.304051
8010778,6.848844,6.745996,6.956861,6.684992,6.880661,7.040172,7.299183
8106025,8.343869,8.156056,8.246541,8.402972,8.167599,8.299217,7.826007
8174556,3.915776,4.430458,4.930142,4.664499,4.382813,4.756421,4.6422
8071713,7.594611,7.532457,7.381613,7.666997,7.339723,7.3089,7.226389
8090464,5.641505,5.502393,5.591,5.302136,5.46233,5.670444,5.699991
7917794,2.877398,2.810527,2.697796,2.695388,2.745649,2.759566,2.789152
8154215,7.126343,6.2786,6.351238,6.716842,5.328795,6.322227,7.092448
8139772,3.47426,3.508844,3.590726,2.879589,3.423105,3.530679,3.653708
8137675,6.373308,6.696828,6.585758,6.024882,6.915969,6.268667,6.154716
7961249,5.993854,5.803794,5.769781,6.302856,5.181937,6.019789,5.805969
8006865,5.811173,5.817108,5.895876,5.865809,5.517922,5.698225,5.922882
8015796,3.64655,3.6668,3.213829,3.141479,3.345561,3.755632,3.392103
8133163,5.788645,4.72467,4.42523,4.633986,4.506429,4.066416,5.900231
8014603,8.6422,8.550387,8.628628,8.9276,8.852818,7.941168,8.92614
8178234,6.203191,6.124787,6.147729,6.28624,6.412974,6.123952,6.048333
7936280,4.133911,4.260573,4.266299,4.140128,4.344057,4.130072,4.349778
7926354,2.919219,3.095851,2.981124,2.895125,3.202184,2.949046,3.080704
7923007,7.391889,7.099583,6.950498,7.382615,6.799455,7.198832,6.730901
8040417,3.575628,3.511791,3.451368,3.537588,3.625083,3.549846,3.885942
8064322,5.010697,5.579743,5.20827,5.312751,5.764299,5.657027,5.067369
7910905,2.983042,3.086772,3.156018,2.914943,3.272116,3.024195,3.23261
8177003,11.9885,12.16195,12.02604,12.1086,12.18425,12.08685,12.01103
7989224,11.38159,10.95591,11.05856,11.07822,10.90466,10.92705,11.19458
8022310,4.216156,4.202676,4.585134,4.16048,4.363969,4.18486,4.566412
7944042,9.81057,9.587226,9.721642,9.473413,9.340423,9.71721,9.660936
8049073,11.94075,12.47249,12.42903,12.77581,12.33778,12.48358,12.12981
7992863,5.027563,5.131855,5.294201,5.323036,5.171346,5.135947,5.229418
8164067,8.923553,9.11611,8.858194,8.946791,8.943508,9.002052,8.871303
8144586,8.521677,8.276964,8.431799,8.414609,8.384298,8.470499,8.135509
8136662,11.15611,10.93508,11.23873,11.12748,11.17279,10.97545,11.60566
7914326,5.886253,5.976938,6.11337,5.937094,5.964499,6.145434,6.010301
8061129,7.300608,7.557041,7.415727,7.612719,7.27653,7.440393,7.594709
7933976,8.153204,8.126351,8.205694,8.229412,8.431547,8.308786,8.149591
8086201,8.237701,7.943212,8.120316,7.869525,8.213611,8.100331,8.265129
8113037,2.260499,2.281242,2.460763,2.346966,2.283175,2.108148,2.400366
7978222,5.496454,5.250218,5.460661,5.471038,5.633638,5.385272,5.612568
7942091,7.635686,7.553392,7.917947,7.829979,8.240168,7.756866,8.170346
8160771,4.91603,4.878168,4.892773,5.0761,5.044917,4.739405,5.049646
8019517,3.824472,4.442597,4.370382,3.972827,4.25161,4.004897,4.602557
8056047,7.197575,6.401044,6.678729,7.089963,6.653281,7.021888,6.532562
8137008,11.33754,11.02451,11.11922,11.05528,11.29044,10.55592,10.91741
8007212,9.406946,9.373095,9.337185,9.52541,9.500119,9.323139,9.505082
8139256,6.915822,6.851243,6.5506,6.904574,6.915788,6.774506,5.979711
7977432,6.269778,6.41749,6.691105,6.209317,6.591118,6.400875,6.840621
7939137,9.680564,9.681981,9.54949,9.343862,9.426457,9.788459,9.066217
7914015,6.168633,5.74251,5.952468,5.904604,5.424067,6.204804,6.090562
8029413,6.987508,7.192883,6.856293,6.964538,6.929632,7.162328,6.672536
8031933,9.502179,9.733397,9.692142,9.307716,9.934939,9.447027,9.330071
8132811,3.140041,3.244769,3.290177,3.217213,2.927325,3.055587,3.116825
8066683,5.360923,5.42823,5.271058,5.067632,5.127377,5.513636,5.269625
7928551,6.295715,7.040619,5.831372,6.117387,6.553712,6.443087,6.174707
8027665,6.17974,6.432065,6.567343,6.279,6.527822,6.560301,6.399868
8121622,4.37269,4.305634,4.382327,3.993606,4.268128,4.170734,4.124998
8136336,4.530893,4.300611,5.063287,4.28284,4.376526,4.419868,4.45965
7993024,5.296369,5.056062,5.370214,5.391173,5.462135,5.289297,5.531243
8162084,4.537663,4.677868,4.786957,4.811195,4.420358,4.480542,4.706196
8151747,7.4481,7.552046,7.435094,7.510692,7.430773,7.639337,7.710896
8084832,4.167195,4.410574,4.082103,4.158252,4.169558,3.964139,4.534695
8146943,4.827131,4.220175,3.97852,3.969404,4.913174,4.182377,3.92983
8142646,2.62117,2.568685,2.677859,2.61189,2.665736,2.521419,2.638257
8091039,5.507463,5.971057,5.909215,5.559619,5.800178,5.702803,5.949757
8013243,6.669667,6.028393,6.35434,6.130582,5.904479,6.114091,5.996823
8146921,6.882739,6.898104,6.731648,7.270476,7.11405,6.992362,7.151783
7917516,10.05478,10.64987,10.28772,10.7044,10.32769,10.81171,10.69867
8044745,8.907361,8.721059,8.462265,8.721023,8.30873,8.527013,8.339633
8104788,3.30019,3.550672,3.511191,3.653732,2.946971,3.346424,3.440023
8098740,6.477803,6.436347,6.66501,6.217931,6.48642,6.568826,6.807662
8014891,10.13651,9.851844,10.20433,10.4391,9.874407,10.23037,9.432027
7912473,6.06214,6.0703,6.340724,5.915094,6.202523,6.172428,6.19408
8160016,7.642705,7.849332,7.486173,7.563847,7.451235,8.215586,7.420562
7992147,5.453768,5.775626,5.747289,5.738929,5.91434,5.9071,5.753476
8147748,2.188451,2.241674,2.302178,2.136011,2.239382,2.224594,2.166743
8085062,8.564812,7.528331,7.734684,7.741212,8.692739,7.251041,8.505012
7960143,7.3419,7.512588,7.32768,7.51651,6.77218,7.638711,6.635095
8112196,2.842062,2.742544,2.700435,2.63457,2.69177,2.877724,2.653039
8087372,8.33428,8.045204,8.166321,8.518371,8.411212,8.229303,8.213511
8170633,4.651049,4.952122,5.125484,4.211993,5.106285,5.075311,4.959797
