"","preEGCG_Means","Post_EGCG_Means","Post_EGCG_Quercentin_Means","MI_Male_Means","HealthyMale_Means","Fold_Change_Post_EGCG_to_Overweight_Females","Fold_Change_MI_Males_to_Healthy_Males","Fold_Change_MI_Males_to_Overweight_Females","Fold_Change_Overweight_Females_to_Healthy_Males","Fold_Change_MI_Males_to_Post_EGCG_Females"
"ABCA8",3.08337914285714,3.10891657142857,3.04383942857143,2.62855132133333,2.59384649716667,1.0082822862153,1.0133796753989,0.85249046567061,1.18872845645461,0.84548789294963
"ABCA9",4.12052664285714,4.05051942857143,4.073662,2.73287831633333,2.7122234245,0.983010129443753,1.0076154831666,0.663235201032064,1.51924307032956,0.674698236738784
"ABCB1",6.48442457142857,6.44379314285714,6.66806357142857,4.95227260933333,5.25570284666667,0.993733996266923,0.942266477731749,0.763718130233768,1.23378827924817,0.768533765678506
"ABCB10",8.13431921428571,7.97463714285714,8.07289642857143,6.47383422716667,6.454519488,0.980369337959084,1.00299243641646,0.795866753765594,1.26025170880787,0.811802983784067
"ABCB11",3.76835064285714,3.78762042857143,3.72666171428571,2.92006275416667,2.87695236983333,1.00511358616556,1.01498474037505,0.774891466032125,1.30984116468896,0.770949151118615
"ABCB4",5.87098835714286,6.03876257142857,5.79589285714286,4.12738222433333,4.15804185683333,1.02857682626497,0.99262642523677,0.703013185047762,1.41195989826184,0.683481454273657
"ABCB5",3.33217635714286,3.25777485714286,3.33053157142857,2.57980896,2.56553626816667,0.977671800041282,1.00556323915995,0.774211411250763,1.29882254969018,0.791892955507229
"ABCB6",5.43134128571429,5.31847214285714,5.46720542857143,4.74180986216667,4.69900488933333,0.979218919062585,1.00910936971581,0.873045830251682,1.15584925183699,0.891573695376981
"ABCB7",7.17795385714286,7.32722671428571,7.28620185714286,7.30473291933333,7.447604102,1.02079601793404,0.980816490684796,1.01766228436594,0.963793692419187,0.996930107961785
"ABCB8",6.58292932142857,6.52551714285714,6.55987882142857,5.6645603205,5.62996729333333,0.991278627527635,1.00614444549396,0.860492349820752,1.16926599719748,0.868063051018179
"ABCB9",5.37745935714286,5.43125757142857,5.27075057142857,4.93919827316667,4.908770132,1.01000439254167,1.00619873009908,0.918500344703852,1.09547997004127,0.909402326847763
"ABCC1",9.03549071428571,9.051667,8.90620171428571,7.4307963285,7.373770962,1.00179030516723,1.00773354187347,0.822400970071434,1.22535548782966,0.820931252607945
"ABCC10",7.84088292857143,7.75858414285714,7.77346628571429,6.1307156365,6.063429258,0.989503887959556,1.01109708312523,0.781890979925265,1.29314330141253,0.790184848629138
"ABCC11",4.27096664285714,4.234234,4.21328885714286,4.0727344345,4.00541867083333,0.991399454519606,1.01680617413527,0.953586102413451,1.06629718235386,0.961858611144306
"ABCC12",4.0182,4.00165314285714,3.936756,3.558087238,3.53117404466667,0.995882022511856,1.00762159921683,0.885492817181823,1.13792182123362,0.889154334715668
"ABCC13",5.45674507142857,5.18614557142857,5.48076128571429,2.63857067633333,2.589953017,0.950410089447489,1.0187716375603,0.483542962296121,2.10688959823265,0.508772968284905
"ABCC2",6.04700821428571,5.90381771428571,5.98229957142857,3.65171735733333,3.6800406825,0.976320438979772,0.99230352933288,0.603888274652308,1.64319058836538,0.618534909791866
"ABCC3",7.17848214285714,6.96770871428571,7.25239257142857,6.13409976816667,6.027952496,0.970638162166196,1.01760917529412,0.854512088501931,1.19086574547835,0.880361108608069
"ABCC4",8.20573842857143,7.97096328571429,8.36917157142857,5.562722269,5.62241814783333,0.97138890729935,0.989382525941025,0.677906359972583,1.45946783266798,0.697873276993963
"ABCC5",7.89384778571429,7.72366885714286,7.93460071428571,6.28624293633333,6.27206840816667,0.978441574604541,1.0022599447653,0.796347118284915,1.25857169788454,0.813893377953381
"ABCC6",6.01821139285714,6.05577385714286,5.98110392857143,5.4751345865,5.41745102566667,1.00624146641481,1.01064773092734,0.909761094965573,1.11089354833928,0.904118072381783
"ABCC8",5.17433878571429,5.09241557142857,5.13148785714286,4.81783974366667,4.763109821,0.984167404246529,1.01149037597776,0.931102493127843,1.08633623413452,0.94608141776519
"ABCC9",3.63648907142857,3.62678414285714,3.612721,2.7085400575,2.7001338015,0.997331236700894,1.0031132738664,0.744822823415215,1.3467810630008,0.746815898275722
"ABCD1",7.57433421428571,7.36204328571429,7.48654228571429,6.318362932,6.21178059816667,0.971972331486109,1.01715809696575,0.834180635980274,1.21934992625483,0.85823496097347
"ABCD2",8.74975528571429,8.94600228571429,8.81894014285714,6.84884344916667,7.12600601033333,1.02242885584702,0.961105483104456,0.782746856971962,1.22786246223009,0.765575866228367
"ABCD3",7.29440042857143,7.31015185714286,7.30252542857143,6.36026310533333,6.37889062283333,1.00215938633006,0.997079818639103,0.871937751103,1.14352179083633,0.870058957683433
"ABCD4",6.97934221428571,6.97850757142857,6.89024171428571,6.23093413483333,6.23398104683333,0.999880412389662,0.999511241375758,0.892768106724944,1.11956423381027,0.892874883498592
"ABCE1",7.91634385714286,8.03303228571428,8.059991,7.18527748316667,7.38112973633333,1.01474019202263,0.973465816187652,0.907651008196599,1.07251113852869,0.894466401678077
"ABCF1",7.14055540178571,7.03749171785714,7.13328120357143,7.4629234367619,7.56398359623809,0.985566433123284,0.986639294203857,1.04514607293651,0.944020476900165,1.0604521804019
"ABCF2",7.55304142857143,7.44194614285714,7.55856314285714,7.35478814916667,7.390501147,0.985291317839984,0.995167716353332,0.973751861249587,1.02199313393482,0.988288279434255
"ABCF3",7.85322685714286,7.79353071428571,7.93209171428571,6.960639256,7.0155260175,0.992398520513532,0.992176386864921,0.886341294173743,1.11940670415208,0.893130406638547
"ABCG1",7.68838507142857,7.56776857142857,7.681828,5.67945382816667,5.72554821016667,0.984311854976121,0.991949350471252,0.738705693770796,1.34282077265135,0.750479322215129
"ABCG2",5.72835042857143,5.48158357142857,6.09845928571429,3.41832705266667,3.47182396816667,0.956921829378305,0.984591120981214,0.596738466909601,1.64995416849903,0.623602104779333
"ABCG4",5.92660642857143,5.97200414285714,5.904573,4.759574266,4.729104961,1.00765998465274,1.00644293270107,0.803085935157544,1.25321947333523,0.796981072374627
"ABCG5",4.52976757142857,4.56574028571429,4.41455271428571,3.63240718,3.5688624685,1.00794140399446,1.01780531249407,0.801897033947469,1.26924688508169,0.795579019543755
"ABCG8",5.17131057142857,5.364592,5.22960285714286,4.3543240735,4.32211098516667,1.03737571470553,1.00745309142775,0.84201558064557,1.19647796856127,0.81167851599898
"ABHD1",5.58743535714286,5.61965571428571,5.53651,3.88074578183333,3.868737201,1.0057665735858,1.00310400531476,0.694548667461945,1.44425301250718,0.690566465124918
"ABHD10",7.05865107142857,7.098955,7.06095514285714,6.35554853316667,6.46123897883333,1.00570986271507,0.983642387162447,0.900391373486662,1.09246091880401,0.895279450731364
"ABHD11",7.34371964285714,7.37918214285714,7.34639128571429,5.45591621033333,5.383075657,1.00482895613186,1.01353140062942,0.742936342298963,1.36422374694058,0.73936597643338
"ABHD12",7.64105885714286,7.56725228571429,7.56957842857143,6.20484829366667,6.252139995,0.990340792708385,0.992435917722388,0.812040374203685,1.22215095363405,0.819960543060047
"ABHD12B",4.6340845,4.56956928571429,4.59479128571429,2.93631806583333,2.8779430035,0.986078110080705,1.02028360612505,0.633634985687751,1.61020718421604,0.642580926612286
"ABHD13",9.45342607142857,9.50711071428571,9.44965671428571,7.87587732233333,7.93272691516667,1.00567885573458,0.992833537137822,0.833124124822521,1.19169942095882,0.828419649147324
"ABHD14A",8.42077735714286,8.58465171428571,8.45916571428571,6.110955697,6.12314913783333,1.01946071605893,0.998008632395055,0.725699711299982,1.37523636409786,0.711846665465853
"ABHD14B",8.3034125,8.33798957142857,8.15437185714286,6.36776022066667,6.37449180733333,1.004164200132,0.99894398065444,0.766884726089023,1.30259991713341,0.763704507677342
"ABHD15",7.29812264285714,7.34703028571429,7.31815328571429,6.20142677733333,6.16969218533333,1.00670140051771,1.00514362646413,0.849729044140252,1.18289898808993,0.844072575744176
"ABHD16A",8.29315978571429,8.26993885714286,8.39100614285714,6.42371312054762,6.36253077342857,0.997199990212243,1.00961603948142,0.774579688144083,1.30343727693208,0.77675460865099
"ABHD16B",5.81044864285714,5.857392,5.72552928571429,5.18318964166667,5.12789424533333,1.00807912779688,1.01078325598927,0.892046373740594,1.13310617670108,0.884897176365637
"ABHD17A",6.50896392857143,6.520838,6.454774,7.4964844725,7.65945192216667,1.00182426443884,0.978723353665158,1.15171700976768,0.849794997698765,1.14961979924973
"ABHD17B",7.27270771428571,7.28276785714286,7.30120328571429,6.79572372816667,6.89580971966667,1.00138327336288,0.985485969658566,0.934414525530552,1.05465608970389,0.933123760288679
"ABHD17C",6.11622571428571,6.08818614285714,6.10702242857143,3.50172958916667,3.54989418516667,0.995415543386001,0.986432103750794,0.572531125034784,1.7229318383186,0.575167957582081
"ABHD2",10.4896735714286,10.4042228571429,10.4904242857143,8.01601687816667,7.96066457416667,0.991853825221173,1.00695322651574,0.76418172820939,1.31768817461156,0.77045801384996
"ABHD3",8.92001642857143,8.88943057142857,9.03170814285714,6.935924249,6.87539223216667,0.9965710985638,1.00880415469973,0.777568550970798,1.29738291683767,0.780243930504692
"ABHD4",9.09494964285714,9.09395257142857,9.098281,5.98724158966667,6.103957227,0.999890370868699,0.98087869344545,0.65830398460412,1.49000874426624,0.658376161810808
"ABHD5",10.8158664285714,10.8504842857143,10.8860042857143,6.715486531,6.59640464083333,1.00320065501655,1.01805254478016,0.620892147231057,1.63966084821701,0.618911225911048
"ABHD6",7.5702925,7.47124,7.60358942857143,6.068422577,6.08593364816667,0.986915631067095,0.997122697653474,0.801610053640596,1.24389994003311,0.812237670989019
"ABHD8",6.51562742857143,6.49918357142857,6.42979985714286,6.03790323183333,5.88249282716667,0.997476243489498,1.02641914052983,0.926680246534163,1.10763032272318,0.929024879121264
"ABI1",9.41979035714286,9.52397085714286,9.46899185714286,8.7183095985,8.7669461755,1.01105974719713,0.994452278361658,0.92553117085977,1.07446654383111,0.915407000847905
"ABI2",7.7823335,7.82263914285714,7.86504142857143,5.34450822883333,5.42389732483333,1.0051791204858,0.985363090183047,0.686748804691206,1.43482316015987,0.683210375837598
"ABI3",9.07480678571429,9.10092842857143,9.150811,7.07464827116667,7.02725383233333,1.0028784792309,1.00674437553618,0.779592165235264,1.29137313127354,0.777354566261233
"ABI3BP",4.20305728571429,4.26939528571429,4.28910371428571,2.8525270055,2.82926250516667,1.01578327286318,1.0082228143521,0.678679068970916,1.48556638984147,0.668133731970137
"ABL1",7.55311507142857,7.46983985714286,7.484364,7.061595529,7.09204940733333,0.988974719238594,0.995705912835035,0.934924923322318,1.06501162606376,0.945347646542585
"ABL2",7.15606435714286,7.15778757142857,7.186114,5.62550885033333,5.6670053315,1.00024080474961,0.992677529181769,0.786117699559004,1.26275941851791,0.785928444256774
"ABLIM1",8.78403664285714,8.820108,8.77742614285714,7.015389695,7.24627951733333,1.00410646706172,0.968136776702991,0.798652143682103,1.21221333262752,0.795385917610079
"ABLIM2",6.186711,6.22185942857143,6.20788385714286,4.86500643566667,4.83576158433333,1.00568127856165,1.00604762059157,0.786363939687286,1.27936642286986,0.781921625121592
"ABLIM3",6.97868192857143,6.89041485714286,7.01654185714286,4.8231225545,4.71877725233333,0.987351899351195,1.02211278400884,0.691122278370884,1.47891743038318,0.699975640726505
"ABO",6.4223335,6.35460214285714,6.22418814285714,4.58035170716667,4.74863135516667,0.989453777642837,0.964562494871937,0.71319119556259,1.35245990258062,0.720792837096055
"ABR",9.32678728571429,9.216035,9.35468671428571,7.76000989633333,7.63489824566667,0.988125355245967,1.01638681311014,0.832013174377765,1.22159942223302,0.842011764965447
"ABRA",4.42734471428571,4.52883114285714,4.38681185714286,3.730108386,3.67304534033333,1.02292263989383,1.01553562245477,0.842515915682838,1.20536075764421,0.823636004155977
"ABRACL",6.79424642857143,6.85102628571429,6.95725857142857,6.99181942216667,6.8282375675,1.00835705000397,1.02395667301402,1.02907945651844,0.995021974763978,1.02055066359123
"ABT1",7.38720378571429,7.50919671428571,7.37982157142857,6.154138122,6.12962653666667,1.01651408734755,1.00399887092414,0.833080865306728,1.2051637634895,0.819546797900792
"ABTB1",10.0183477857143,9.99695742857143,9.96649685714286,6.62831625116667,6.59473945633333,0.997864881754917,1.00509145130837,0.661617703132481,1.51914231821442,0.663033357751715
"ABTB2",6.40936542857143,6.36649057142857,6.37697728571429,5.09568195866667,5.0050788155,0.993310592503942,1.01810224104485,0.795036890228061,1.28057232759703,0.800391031997281
"ACAA1",5.90864157142857,5.73060678571429,5.86406421428571,6.22006387466667,6.10941528116667,0.969868745030131,1.01811115931849,1.05270624380805,0.96713700076061,1.08541104062009
"ACAA2",6.75633035714286,6.79806671428571,6.76481585714286,7.68631630183333,7.66761315533333,1.00617737069336,1.00243923971138,1.13764660629824,0.881151698745181,1.1306620874551
"ACACA",6.51084671428571,6.46609471428571,6.55965485714286,5.66218411,5.6590328085,0.99312654682811,1.00055686220714,0.869654034025463,1.15052287813321,0.875672930909965
"ACACB",7.1441215,7.00614514285714,6.98913971428571,5.632803987,5.7793301525,0.980686728642163,0.974646514105685,0.788452994115512,1.23615043811083,0.803980487435765
"ACAD10",7.27876064285714,7.23757885714286,7.29817757142857,5.676738935,5.63737054633333,0.994342198111063,1.00698346655468,0.779904603755689,1.29116235717225,0.784342256858114
"ACAD8",8.28159942857143,8.27719171428571,8.25679771428571,6.14943383433333,6.230643289,0.999467770166411,0.98696612036673,0.74254181059734,1.3291724537003,0.742937223952412
"ACAD9",8.33141942857143,8.38045985714286,8.31624742857143,6.49340833966667,6.49882884366667,1.00588620330448,0.999165926025997,0.779388001688937,1.28198782103497,0.774827211197986
"ACADL",2.9898195,3.03851842857143,3.01864185714286,2.60289206233333,2.580959297,1.0162882503681,1.00849791213632,0.870585017702015,1.15841404530294,0.856631981513796
"ACADM",8.598126,8.87458657142857,8.60609685714286,5.98479758916667,6.0366118655,1.03215358456349,0.991416662610121,0.696058372390294,1.42432977166204,0.674374805068049
"ACADS",7.04620892857143,7.09692585714286,7.10901785714286,5.52112882783333,5.47432751283333,1.00719776110609,1.00854923547966,0.7835601929778,1.2871368970989,0.777960618297353
"ACADSB",7.08919278571429,7.03383042857143,7.18726828571429,6.631363714,6.80966729716667,0.992190597883807,0.973816109453562,0.935418730234438,1.04104833266435,0.942781288423359
"ACADVL",8.79541592857143,8.77083028571429,8.770489,7.3573640075,7.26176903966667,0.997204720839037,1.01316414324267,0.836499838921773,1.21119466627586,0.83884464387408
"ACAN",4.88004028571429,4.854852,4.84153842857143,4.77417829266667,4.70402377433333,0.994838508651655,1.01491372529113,0.978307147718121,1.03741828694433,0.983382869893185
"ACAP1",7.35265671428571,7.31748,7.30267657142857,7.89053663966667,7.99068339683333,0.995215781770776,0.987467059800374,1.0731544999695,0.920153677619055,1.07831338653015
"ACAP2",10.315245,10.3505642857143,10.3833157142857,8.21777775833333,8.17885373716667,1.00342398902928,1.00475910468845,0.796663361687806,1.26120912923593,0.793944903049913
"ACAP3",6.43311864285714,6.334351,6.36772842857143,6.30300311816667,6.24860223783333,0.984647004300658,1.00870608789978,0.979774113938511,1.02952922877802,0.995051129652694
"ACAT1",6.29734621428571,6.43292014285714,6.49983271428571,5.24153848533333,5.22929186683333,1.02152873987838,1.00234192674876,0.832340847553014,1.20424454680499,0.814799246521555
"ACAT2",6.06451907142857,6.01961014285714,6.107827,5.9068304555,6.17416225033333,0.992594807924175,0.956701527430884,0.97399816637209,0.982241610366031,0.98126461935563
"ACBD3",9.15667221428571,9.29771357142857,9.14321171428571,7.96381943066667,8.03477563433333,1.01540312395619,0.991168863090158,0.869728569975671,1.13963010680204,0.856535251326639
"ACBD4",6.59367471428571,6.60975642857143,6.53399457142857,5.5422300645,5.50026682116667,1.00243896081966,1.00762931048578,0.84053737932997,1.19879179113844,0.838492329391001
"ACBD5",8.02169628571429,8.041986,8.16181471428571,7.350014385,7.38470690433333,1.00252935458574,0.995302112895913,0.916266849704784,1.08625790970894,0.91395513309772
"ACBD6",6.57834485714286,6.63008328571429,6.62444514285714,6.35757623616667,6.451509099,1.00786496142951,0.985440171998224,0.966440096138092,1.01965985883249,0.958898397229069
"ACBD7",3.87987557142857,3.88169,3.88515814285714,4.283681264,4.26924271216667,1.00046765122696,1.00338199367119,1.10407696977322,0.908797141088169,1.10356088816984
"ACCS",6.74553064285714,6.49283328571429,6.59814857142857,5.94488211733333,5.92171884183333,0.962538550260618,1.00391157974883,0.881306813664598,1.13911700690754,0.915606770685676
"ACCSL",4.98442764285714,5.04963085714286,5.009987,3.78368043933333,3.78936091266667,1.01308138445528,0.998500941592987,0.759100284012644,1.315374216849,0.749298423266167
"ACD",7.4222035,7.49102471428571,7.50600928571429,5.99440808,5.998954876,1.00927234267906,0.999242068644625,0.807631868352842,1.23724942984552,0.800212028211361
"ACE2",4.54260414285714,4.528323,4.50470271428571,2.66110309783333,2.63913296533333,0.996856177116028,1.00832475392055,0.585810036302126,1.72124868376361,0.587657527484972
"ACER1",6.25470342857143,6.39092528571429,6.18913328571429,4.4336133985,4.36173466283333,1.02177910730677,1.01647939208204,0.708844703690873,1.43399447973492,0.693735758171122
"ACER2",6.57075671428571,6.63172985714286,6.73608357142857,4.69276113533333,4.67031944383333,1.00927947046412,1.00480517270176,0.714188842988302,1.40691804774975,0.707622481075414
"ACER3",7.76965278571429,7.73894571428571,7.86667614285714,7.15683687833333,6.86215646733333,0.996047819345925,1.04294282889101,0.921126989289957,1.13224652085697,0.924781894402252
"ACHE",5.42235714285714,5.37334157142857,5.46833342857143,5.59275660133333,5.5500760085,0.990960467904048,1.00769009158937,1.03142534768309,0.976987906931859,1.04083400003295
"ACIN1",9.48504271428571,9.46409257142857,9.48852085714286,7.47888987983333,7.56197804566667,0.997791244226493,0.989012376744342,0.788493010007129,1.25430709491692,0.790238453754306
"ACLY",9.64431464285714,9.56902471428571,9.68218928571429,8.03536530983333,7.98866444766667,0.992193335518435,1.00584589107135,0.833171210956349,1.2072499359607,0.83972667536716
"ACMSD",3.86019385714286,3.85700857142857,3.851061,3.05596469516667,3.01114791966667,0.999174837888414,1.01488361804058,0.791660939388302,1.28196752870586,0.792314727481871
"ACO1",8.07381428571428,8.10262985714286,8.069107,5.99965937383333,6.02740843616667,1.0035690158838,0.995396186831004,0.743100988147456,1.33951670460366,0.740458280782053
"ACO2",9.51688857142857,9.42874814285714,9.60430928571428,7.854029362,7.71628665066667,0.990738524685889,1.01785090647474,0.825272808760126,1.23335083340979,0.832987501946365
"ACOT1",6.57795771428571,6.52165114285714,6.63635657142857,5.14363358883333,5.16527546066667,0.991440113501142,0.995810122422678,0.781949932220242,1.27349601475789,0.788701124325994
"ACOT11",5.72729192857143,5.59265471428571,5.51685557142857,4.74306652766667,4.6770865085,0.976491993779108,1.01410707692636,0.828151696616894,1.22454265452709,0.848088567948084
"ACOT12",4.15688007142857,4.18978385714286,4.07732614285714,2.7076064125,2.701901337,1.00791550036299,1.00211150400715,0.651355431471347,1.53850180038183,0.646240117586018
"ACOT13",7.75984285714286,7.81106742857143,7.829907,5.89653906816667,5.97372792516667,1.00660123824304,0.987078611887426,0.759878669803083,1.29899502527584,0.754895425252409
"ACOT2",6.54616985714286,6.51997457142857,6.52626057142857,5.51065054566667,5.54312526516667,0.995998379772302,0.994141442246656,0.841812948017797,1.18095290003266,0.845195097817575
"ACOT4",4.39408564285714,4.50493242857143,4.39463371428571,3.57089114416667,3.55934379833333,1.02522635986726,1.00324423446781,0.812658522022978,1.23452127465593,0.79266253174391
"ACOT6",4.37966635714286,4.39058,4.350218,3.0762648625,3.04504064133333,1.00249188910003,1.01025412296402,0.702397080426658,1.43829487780667,0.700651135499182
"ACOT7",6.30564014285714,6.38270535714286,6.39535671428571,5.42669951466667,5.3593086035,1.01222163214833,1.01257455320312,0.860610404609576,1.17657716869283,0.850219336631868
"ACOT8",7.97197707142857,8.01873714285714,7.929879,5.6881892225,5.65475655033333,1.00586555518281,1.00591230972882,0.713523028419935,1.40978254332782,0.709362225143753
"ACOT9",8.83799071428571,8.86550714285714,8.87929857142857,6.3715548595,6.22054698433333,1.00311342582958,1.02427565864336,0.720927987534659,1.42077388637117,0.718690398285168
"ACOX1",9.3235795,9.31581871428571,9.30887157142857,7.59765921916667,7.332285289,0.999167617360447,1.03619252657351,0.814886516403563,1.27157893242198,0.815565378866351
"ACOX2",5.131536,5.10553942857143,5.08389971428571,3.93200382116667,3.8562804415,0.994933959066336,1.01963637780379,0.766243054938457,1.33069575147495,0.770144639205514
"ACOX3",7.62202728571429,7.61404785714286,7.58205385714286,6.14246939633333,6.120240988,0.998953109419277,1.00363194984918,0.805883942169291,1.24538025555838,0.806728498635713
