"","preEGCG_Means","Post_EGCG_Means","Post_EGCG_Quercentin_Means","MI_Male_Means","HealthyMale_Means","Fold_Change_Post_EGCG_to_Overweight_Females","Fold_Change_MI_Males_to_Healthy_Males","Fold_Change_Overweight_Females_to_MI_Males","Fold_Change_Overweight_Females_to_Healthy_Males","Fold_Change_Post_EGCG_Females_to_MI_Males"
"A1BG",5.7891515,5.702776,5.69721871428571,5.693156477,5.6532393305,0.985079765143476,1.00706093341646,1.0168614762984,1.02404146747631,1.00168966425547
"A1CF",4.95872028571429,5.04287828571429,4.91412157142857,2.64815396816667,2.61667533083333,1.01697171753012,1.01203001265094,1.87251962888972,1.8950460637144,1.90429950310083
"A2M",5.22050821428571,5.21453842857143,5.23634557142857,3.63726135266667,3.56828270816667,0.998856474222578,1.01933104805349,1.43528542716851,1.46303099873158,1.43364414128459
"A2ML1",4.44296814285714,4.51595228571429,4.48255014285714,3.0575012045,3.01434888316667,1.01642688862725,1.01431563598172,1.45313700492351,1.47393958531756,1.47700752466352
"A4GALT",5.655149,5.58383871428571,5.54306314285714,5.45614343933333,5.429790211,0.987390202147761,1.00485345240042,1.03647366732187,1.0415041429305,1.02340394389778
"A4GNT",4.4276445,4.50571971428571,4.31408771428571,2.84101529816667,2.80334544733333,1.0176335779184,1.01343746303873,1.55847260057248,1.57941451853955,1.58595404860836
"AAAS",8.11739035714286,8.10898528571428,8.12847928571429,7.040597266,7.043090155,0.998964559906721,0.999646051811756,1.15294058876835,1.1525325075358,1.15174678785757
"AACS",6.79906571428571,6.834701,6.78701928571429,5.43368531766667,5.42362040566667,1.00524120330819,1.00185575524229,1.25128072694599,1.2536027977146,1.25783894363153
"AADAC",2.46848507142857,2.40797685714286,2.42102928571429,2.7485493135,2.73765689683333,0.975487713097372,1.00397873695541,0.898104705381911,0.901678027763043,0.876090105174989
"AADACL2",2.91135207142857,2.84786571428571,2.90754242857143,3.04914661,3.0180952035,0.978193514358534,1.01028841186454,0.954808818270818,0.964632284645082,0.93398779348485
"AADACL3",4.639306,4.51308985714286,4.49538842857143,3.08035409433333,3.05882404483333,0.972794175926929,1.00703866884281,1.50609503255958,1.51669593673957,1.46512047606644
