,Pretreatment_Placebo1,Pretreatment_Placebo2,Pretreatment_Placebo3,Pretreatment_Placebo4,Pretreatment_Placebo5,Pretreatment_Placebo6,Pretreatment_Placebo7
ID_REF,GSM1923000,GSM1923004,GSM1923010,GSM1923012,GSM1923007,GSM1923020,GSM192998
8113602,5.351873,5.237308,5.829152,5.708555,5.7609,5.468208,5.677116
8090162,7.218379,7.310276,7.5606,6.788229,7.513891,7.326234,7.319054
8028254,5.604276,5.525056,5.368298,6.006244,5.674408,5.585062,5.381317
8125091,7.96177,7.614542,7.515997,7.697127,7.864391,7.325137,7.365078
8113214,9.430457,9.335878,9.979061,10.36024,9.868466,10.24047,10.19912
8093936,8.151495,8.063704,8.207535,8.152593,8.394823,8.294761,8.519987
8125042,5.360975,5.542605,5.199506,5.249015,5.777764,5.319638,5.253759
8107164,9.170701,9.059917,9.499079,9.31345,9.604178,9.561552,9.86792
8029318,5.017882,4.837083,4.630095,5.317639,4.769651,4.791505,4.639964
7989661,9.022158,8.937569,9.137197,9.157537,9.356749,9.600005,9.647449
7908907,6.190455,6.354407,6.232006,6.355377,6.213853,6.091244,6.038549
8136061,6.534928,6.353072,6.50488,6.324456,6.226902,6.318089,6.508395
8156905,4.488688,4.860783,4.579586,4.962451,4.554491,4.901663,4.720505
8146462,5.981382,6.128561,5.491664,5.878531,5.75259,5.937907,5.445726
8098342,7.633889,7.691794,7.587081,7.618024,7.567869,7.557276,7.31404
7936064,10.26066,10.09287,10.43085,9.909864,10.29749,10.39098,10.38074
8128260,9.190681,9.191519,9.135125,9.36188,9.290869,9.12997,9.296086
8067288,7.520329,7.525478,7.475153,7.349866,8.120155,8.02683,7.696651
8003611,5.943534,6.143479,5.798545,5.972396,5.871611,6.071065,5.730975
8113726,4.058547,4.26031,4.038472,4.255002,3.9446,4.158989,4.044068
7918424,2.694521,2.622991,2.787001,2.703539,2.473823,2.698193,2.696792
8048368,2.50316,2.794402,2.606218,2.06166,2.434036,2.292213,2.535312
7907183,6.309053,6.026905,6.535842,6.459178,6.540639,6.383476,7.023428
7973016,3.850862,4.467489,3.890121,4.510398,3.66677,3.900192,3.846809
8129899,3.476529,3.414098,3.763059,3.659039,3.504682,3.912694,3.667121
7958200,7.188072,7.247302,7.229637,7.000964,6.969077,7.506102,7.195166
8040792,5.727824,5.785074,5.563602,5.837993,5.583477,5.611167,5.40659
8091735,2.580618,2.584703,2.523335,2.450383,2.350843,2.26468,2.366246
7976152,2.925497,2.427101,2.550059,2.491643,2.555253,2.627168,2.904225
8000910,6.67986,6.589966,6.689758,6.807138,6.536119,6.396485,6.693659
8114354,2.925806,2.944267,3.072537,3.090913,2.836737,2.944981,2.921028
8063389,7.741031,7.39835,8.024666,7.913864,7.709278,7.823997,6.952148
7939546,9.612208,9.657458,9.531281,9.726875,9.877652,9.966038,9.565316
7993606,4.306965,4.394237,4.846524,4.515289,4.49457,4.544659,4.930991
8043043,4.447394,4.341593,4.728453,4.632045,4.389567,5.05041,4.568131
7913110,8.05652,7.743012,7.725872,7.967881,8.050464,7.907023,7.920713
7995783,11.10648,11.80729,11.49867,11.4146,11.43377,11.13279,11.52462
8038655,5.567627,5.697849,5.490094,5.440273,5.539653,5.380857,5.236945
8120277,4.421104,4.898014,4.29991,4.107182,4.222463,4.614075,4.328661
7952132,7.219138,7.057361,6.631533,7.136388,7.153792,6.939457,6.94818
7961386,5.503676,5.82673,6.189788,5.956074,5.626386,5.582236,5.48629
8103254,6.242383,6.199125,6.419077,6.436749,7.064362,7.004295,7.250219
8088212,4.313113,4.475441,4.298075,4.22023,4.168879,4.384555,3.9793
8050089,7.894389,7.895171,7.941295,8.037142,7.955896,8.007312,8.068088
8052123,4.789201,4.883133,4.887896,5.191413,4.500096,4.65695,5.352199
8025498,10.10612,9.894183,9.787855,10.27225,9.976488,10.0385,9.819389
8036622,7.360612,7.256218,7.122808,7.333419,7.201739,7.159713,7.025754
7933113,7.111261,7.168483,7.43251,7.268724,7.07702,7.430349,6.909437
7986338,3.360323,3.515745,2.994292,3.006839,3.133725,2.892342,2.812931
