"","GSM1923001","GSM1923005","GSM1923011","GSM1923013","GSM1923021","GSM1923006","GSM1923014"
"IFI30",12.24403,12.22,12.25449,12.28483,12.07071,12.30384,12.22414
"IFI35",8.554536,9.064199,8.784797,9.15286,8.721701,9.227808,8.992374
"IFI44",6.549034,7.879869,7.115461,7.054449,6.892092,8.938387,7.020418
"IFI44L",6.713619,8.259194,7.608018,7.702116,7.622765,10.14579,7.635802
"IFI6",9.361068,10.69439,9.679028,9.911257,9.866892,11.60396,10.15792
"IFIH1",7.373869,7.553911,7.3906,7.571066,7.652068,7.997972,7.527119
"IFIT1",6.961213,8.547535,7.418479,7.791173,8.113934,9.883926,7.433237
"IFIT1B",7.449615,9.74501,7.443933,8.362711,9.410426,8.611727,8.408518
"IFIT2",9.229393,9.269677,9.071459,9.658137,9.59619,10.06459,8.842259
"IFIT3",7.780147,8.524788,7.828476,8.371354,8.291363,9.317505,7.856947
"IFIT5",7.753142,8.201852,7.63489,8.494607,8.302577,8.750166,7.832106
"IFITM10",6.097634,5.943207,5.915303,5.718702,6.159456,6.159858,6.207685
"IFITM2",12.084895,12.03858,11.905595,12.18794,12.09168,12.20168,12.06638
"IFITM3",10.26996,9.775474,8.779854,9.798698,10.19177,10.22393,9.79118
"IFITM5",5.29004,5.079529,5.486255,4.901114,5.072411,5.028939,5.528913
"IFNA10",2.544032,2.565738,2.6628,2.627592,2.629611,2.643374,2.742637
"IFNA13",4.373526,4.206807,4.461803,4.049203,4.290275,4.442224,4.266147
"IFNA16",2.50362,2.619596,2.646143,2.708399,2.517353,2.605817,2.694167
"IFNA2",3.626553,3.422542,3.949825,3.69539,3.499907,3.898191,3.794159
"IFNA21",3.2849935,3.400716,3.2313355,3.1577825,3.2215925,3.395688,3.193058
"IFNA4",3.554836,3.606617,3.528823,3.448726,3.615807,3.483208,3.558257
"IFNA5",3.554564,3.695162,3.419389,3.485986,3.545609,3.8951,3.538904
"IFNA6",4.093235,4.04664,4.169934,4.039272,4.00969,3.802773,4.295799
"IFNA7",2.979465,2.899141,2.937175,2.660849,2.721786,2.798681,2.753111
"IFNA8",4.662695,4.528319,4.447544,4.343849,4.243199,4.299963,4.263301
"IFNAR1",9.746547,9.564779,9.486423,9.920805,10.01446,9.500366,9.653466
"IFNAR2",9.50823,9.289374,9.537886,9.430752,9.641451,9.297931,9.309258
"IFNB1",3.178721,3.19277,3.128491,2.901665,3.231504,3.148448,3.072958
"IFNE",3.263597,3.229517,3.338261,3.181071,3.287229,3.232234,3.224029
"IFNG",4.441948,4.769712,4.615384,4.865418,5.423096,5.172729,4.932327
"IFNGR1",10.39711,10.21499,10.37044,10.67631,10.84354,10.52339,10.25798
"IFNGR2",10.09619,9.928946,10.09715,10.2358,10.15913,10.06375,10.07366
"IFNK",3.571488,3.206423,3.422877,3.343607,3.363415,3.350986,3.412751
"IFNL1",6.007051,5.630991,5.812609,5.819938,5.670575,5.707851,5.636283
"IFNL2",5.538973,5.465686,5.69673,5.428594,5.539249,5.428594,5.253174
"IFNL3",7.94697,7.760756,7.679592,7.33884,7.704715,7.705676,7.655122
"IFNLR1",6.125328,5.43232,5.806707,5.861864,5.632549,5.63679,5.991174
"IFNW1",3.056156,3.265627,3.349723,3.086075,3.068136,3.20746,3.406433
"IFRD1",8.728333,8.284339,8.483879,8.561221,8.992599,8.58368,8.150434
"IFRD2",6.298598,6.743957,6.15899,6.421188,6.625045,6.518955,6.353269
"IFT122",6.984725,6.909069,6.909778,6.657441,6.831634,6.602488,6.719719
"IFT140",6.161577,6.017802,5.762787,6.055075,5.945192,6.076758,6.043439
"IFT172",5.866634,6.05205,5.895593,5.687148,5.793882,5.605874,5.784621
"IFT20",7.525857,7.618597,7.398604,7.72869,7.795625,7.63304,7.423229
"IFT22",6.446576,6.308804,6.213473,6.25343,5.980433,6.23758,6.03918
"IFT27",6.404949,6.684939,6.505212,6.75676,6.261395,6.506527,6.927871
"IFT43",7.6985855,7.8963705,7.6983755,8.010286,7.639209,7.7176295,7.683949
"IFT46",6.58538,6.8728,6.821342,7.295681,6.902814,7.056161,6.792184
"IFT52",7.330405,8.041189,7.430366,7.906554,8.273863,7.816636,8.028583
"IFT57",6.842369,7.048934,6.79859,7.519835,7.292283,7.01286,7.078968
"IFT74",5.044386,5.639054,4.944862,5.256056,5.405204,5.39249,5.34444
"IFT80",6.478672,7.152139,6.405041,6.895459,6.839015,6.827995,6.958768
"IFT81",4.118304,4.095489,4.227615,4.135847,4.279294,4.343309,4.148284
"IFT88",5.889703,6.533298,5.833027,6.452951,6.319339,6.271462,6.063203
"IGBP1",7.656025,7.941516,7.830057,8.191199,8.139907,8.229161,7.814171
"IGBP1P1",4.222254,5.007952,4.591606,5.026429,4.422857,5.249175,4.370133
"IGDCC3",5.598378,5.404092,5.584206,5.260526,5.542973,5.46548,5.46548
"IGDCC4",5.572679,5.07055,5.661925,5.61633,5.311133,5.496229,5.218489
"IGF1",3.923639,3.566934,4.415403,3.620291,3.534167,3.557814,3.555162
"IGF1R",9.2358745,8.572052,8.768279,8.7192525,9.065726,8.83259,8.62536
"IGF2-AS",6.761415,6.464539,6.613392,6.484675,6.501134,6.391953,6.428112
"IGF2BP1",4.941374,4.722386,4.829935,4.633528,4.548961,4.62549,4.72621
"IGF2BP2",8.364789,9.627068,7.610941,8.812516,9.181886,8.470163,8.795821
"IGF2BP2-AS1",3.248166,3.275877,3.310476,3.235272,3.340808,3.343607,3.343607
"IGF2BP3",5.912644,6.10125,5.993548,6.474448,5.852973,6.000076,6.363531
"IGF2R",10.62237,9.927998,10.57313,10.02754,10.61895,10.30895,9.930872
"IGFALS",6.9451,6.858078,7.007024,6.73331,7.104963,6.687633,6.839766
"IGFBP1",5.987586,5.456421,5.976409,5.760783,5.946995,5.948494,5.814624
"IGFBP2",6.243166,5.672903,6.22941,6.024289,5.67337,6.015711,6.008935
"IGFBP3",6.408379,6.532506,6.757305,6.538899,6.377737,6.55194,6.306788
"IGFBP4",6.976,7.265818,7.105712,7.103315,6.790433,7.110492,7.001837
"IGFBP5",4.178826,4.006087,4.623289,4.052382,4.172024,4.343705,4.134913
"IGFBP6",5.788175,5.304391,5.603705,5.345545,5.723291,5.593016,5.570733
"IGFBP7",7.818239,8.224902,8.43329,8.339165,7.799315,8.256896,8.131888
"IGFBPL1",6.280236,6.023473,6.366137,6.047371,6.190247,6.22991,6.330265
"IGFL1",5.672811,5.655444,5.726792,5.48479,5.748858,5.680555,5.826221
"IGFL2",5.150479,4.74207,5.035359,4.830239,4.714873,4.724542,4.859744
"IGFL3",4.877862,4.499426,4.684482,4.151641,4.539669,4.70725,4.728407
"IGFL4",4.829825,4.638581,5.087537,4.867683,5.095211,4.914841,4.74794
"IGFLR1",8.959207,9.15665,9.025972,9.407883,9.056186,9.129394,9.116648
"IGFN1",4.763868,4.727285,4.769551,4.745746,4.932288,4.831573,4.694757
"IGHE",6.538943,5.984469,5.732878,5.657734,5.749504,5.919215,5.541148
"IGHM",12.034045,11.687055,12.03071,12.01742,11.289135,11.54793,11.75845
"IGHMBP2",6.528572,6.371765,6.50057,6.453781,6.228697,6.58637,6.941428
"IGHV1OR15-1",6.888988,6.512485,8.124357,8.281546,6.639678,7.592842,7.067521
"IGHV1OR15-9",6.0252795,5.9168765,6.1304825,5.881044,5.774418,5.96512,5.770705
"IGHV3-15",10.10515,9.69585,10.97553,10.0027,9.196783,9.547357,9.589089
"IGHV3-16",10.23689,10.02766,11.44867,10.201,9.746639,10.02101,9.935751
"IGHV3-30",10.83583,10.8506,11.99124,10.93892,10.12816,10.67011,10.50821
"IGHV3-47",4.353493,4.341793,4.754691,4.087748,4.297094,3.696733,3.910842
"IGHV3-66",11.52902,11.32375,12.7924466666667,11.36464,10.7286633333333,11.14303,11.1811666666667
"IGHV3-69-1",11.54457,11.21703,13.10551,11.33484,10.65466,11.167,11.21524
"IGHV3-72",10.53595,10.113027,11.725395,10.37251,9.604578,9.9736405,10.0063525
"IGHV3-74",11.001,10.67544,12.21156,10.82821,10.09933,10.4458,10.46328
"IGHV3OR15-7",4.330174,4.441568,5.217522,4.310201,4.406315,4.348223,4.377077
"IGHV3OR16-8",8.172479,7.777668,9.293699,8.084493,7.299095,7.634313,7.491376
"IGHV4-28",9.910519,9.953968,11.21158,10.18412,8.884442,9.72862,9.691115
"IGHV4OR15-8",6.906355,6.908071,7.753724,7.260434,6.764485,6.730165,6.868955
"IGHV5-78",7.960714,7.870588,7.552637,8.579015,7.595399,7.913975,7.697338
"IGHV7-81",5.176165,4.735418,4.956541,4.540155,4.83532,4.479623,4.393817
"IGKV1-12",7.515872,8.095196,8.609074,8.185961,7.089648,8.038803,8.030725
"IGKV1-13",8.828664,8.625587,9.565269,8.7677,7.958519,8.65093,8.608705
"IGKV1-33",8.949943,9.064756,10.21784,9.421828,8.136599,9.116012,9.241373
"IGKV1-5",9.922967,9.761224,11.4189,9.796797,9.124174,9.622095,9.797035
"IGKV1-9",7.918162,7.813535,8.903907,7.953402,6.986031,7.800522,7.758723
"IGKV1D-16",8.584759,8.663505,9.84025,8.707508,7.988775,8.716166,8.574596
"IGKV1D-27",6.645617,5.246081,5.991428,6.292499,5.849399,6.511136,6.547845
"IGKV1D-8",6.241458,6.48422,5.902835,6.199918,5.555969,5.459454,5.878065
"IGKV1OR10-1",5.99966625,5.76705375,6.24666025,6.057606,5.5540105,6.07438725,5.85900775
"IGKV1OR2-108",6.689043,6.548624,7.426319,6.53321,6.223021,6.829331,6.538253
"IGKV1OR22-5",6.041712,6.0421615,7.1765405,6.1695765,5.3693405,6.11778,6.0832795
"IGKV2-18",4.096721,3.9453005,4.054928,4.267124,3.5719095,4.0921565,3.935649
"IGKV2-24",8.606488,8.163542,10.36343,8.462289,7.680103,7.994862,7.969224
"IGKV2-26",7.74379,7.145695,7.368058,7.609488,6.258324,6.988001,6.609367
"IGKV2-30",10.07821,9.590371,11.36097,9.624558,9.070177,9.552368,9.264434
"IGKV2-40",4.014128,5.029157,3.482387,4.650002,3.62998,4.112866,4.906907
"IGKV2OR22-4",8.44597133333333,8.28432533333333,9.37977733333333,8.109906,7.55764766666667,8.001455,7.89145766666667
"IGKV3-11",8.869393,9.163091,9.989081,8.992926,7.879318,8.646835,8.383125
"IGKV3OR2-268",8.111036,8.3028045,9.209972,8.068654,7.5660775,8.1992695,7.7969415
"IGKV4-1",5.746444,5.597732,6.246561,6.121413,5.42983,5.588021,5.717282
"IGKV5-2",6.821289,6.418976,6.734855,7.034874,6.539882,7.4301,6.614746
"IGKV6-21",5.593766,5.907632,5.596315,5.97483,4.963724,5.353616,5.237633
"IGKV7-3",6.227538,5.938322,6.470543,6.227538,6.321347,6.429982,6.323788
"IGLJCOR18",5.611162,5.716937,5.856046,5.490232,5.614192,5.643307,5.611162
"IGLL1",6.64534,6.46351,6.87818,6.490771,6.25151,6.586133,6.40744
"IGLL3P",7.29041,7.234097,7.472275,7.255783,7.066951,7.343277,7.192494
"IGLON5",4.99349,5.473951,5.012605,4.964824,5.319659,5.556192,5.481642
"IGLV6-57",6.613817,6.189173,7.623888,6.279067,6.157297,6.355782,5.977251
"IGLV7-46",6.300305,5.807658,7.910456,6.43518,5.138207,5.5582,5.373398
"IGLV9-49",8.025248,7.925904,8.593147,7.281853,7.676095,7.893081,7.898063
"IGSF1",5.019986,4.63941,4.780964,4.821391,4.693558,4.905487,5.022325
"IGSF10",4.096924,3.948703,3.973319,3.995394,4.034651,4.100436,3.821136
"IGSF11",4.766402,4.876257,5.084511,4.736943,4.742373,4.960347,4.797997
"IGSF21",5.335221,5.070788,5.047225,5.04599,4.837459,4.860837,4.86234
"IGSF22",5.465051,5.144323,5.445894,5.191371,5.074889,5.175407,5.182726
"IGSF3",5.460634,5.286457,5.241243,5.142057,5.223309,5.311913,5.270897
"IGSF5",4.343827,4.199845,4.128914,4.117214,4.062759,4.374611,4.408694
"IGSF6",11.78082,11.58658,11.74572,11.83867,11.86357,11.73298,11.75068
"IGSF8",7.149521,7.381175,7.129936,7.101982,7.066065,6.978023,7.334002
"IGSF9",5.798138,5.494907,5.888225,5.60178,5.693117,5.771995,5.778801
"IGSF9B",5.7668745,6.031707,6.0587785,5.840635,5.7196935,5.8626675,5.492172
"IHH",5.308052,5.361185,5.569344,5.308052,5.347838,5.45783,5.456696
"IK",7.78902125581395,7.65554781395349,7.60127737209302,7.47548730232558,7.81393137209302,7.5786883255814,7.52774081395349
"IKBIP",7.415777,7.459937,7.116338,7.866589,7.514071,7.615549,7.269005
"IKBKB",8.854314,8.789256,8.930346,8.741661,8.878016,8.740566,8.830086
"IKBKE",8.626925,8.93964,8.719391,8.629631,8.462732,8.690675,8.929716
"IKBKG",6.882076,7.143531,7.185448,7.28703,7.317031,6.972454,7.178513
"IKZF1",10.84487,10.77291,10.80141,10.83526,10.77495,10.76035,11.03014
"IKZF2",8.232545,8.169309,8.401688,8.220062,7.95295,7.923337,8.087674
"IKZF3",10.12908,10.15959,10.38435,10.16082,10.13592,10.04646,10.34814
"IKZF4",6.653018,6.472159,6.597922,6.644117,6.440629,6.507065,6.780335
"IKZF5",8.917542,9.0334,8.880199,9.104431,8.884639,8.890707,9.217315
"IL10",4.985767,4.984227,5.155939,4.996245,5.202632,5.137196,4.836516
"IL10RA",9.77100533333333,10.1281196666667,10.2880966666667,10.141429,10.0065623333333,10.1632543333333,10.3015
"IL10RB",10.52675,10.32482,10.35695,10.68709,10.80944,10.44142,10.34627
"IL11",5.878123,5.737384,5.886571,5.598457,5.509366,6.01861,5.717858
"IL11RA",7.467583,7.400858,7.280413,7.341086,7.406068,7.478435,7.790859
"IL12A",4.196473,4.0391025,4.263449,3.7900205,4.2878135,4.0185135,4.162714
"IL12B",4.608403,4.539778,4.546507,4.303215,4.273788,4.277843,4.307069
"IL12RB1",8.103769,8.500343,8.224609,8.224051,8.250045,8.165004,8.387246
"IL12RB2",7.379566,7.037132,7.243792,6.812131,6.605356,6.982051,6.510954
"IL13",5.37427,5.035824,5.331435,5.156899,5.019136,4.960816,5.092182
"IL13RA1",10.95406,10.53546,10.69135,10.86822,10.88125,10.68074,10.73149
"IL13RA2",3.13489,2.985657,2.991713,2.793282,2.90148,2.96856,2.964606
