,Posttreatment_Quercetin1,Posttreatment_Quercetin2,Posttreatment_Quercetin3,Posttreatment_Quercetin4,Posttreatment_Quercetin5,Posttreatment_Quercetin6,Posttreatment_Quercetin7
ID_REF,GSM192996,GSM1923003,GSM1923009,GSM1923016,GSM1923019,GSM1923023,GSM192997
7892528,2.06151,1.990674,2.06766,2.168165,2.133525,1.962929,2.236722
7892529,6.205934,6.040555,5.089987,5.616827,6.386339,6.113344,5.731963
7892530,8.303237,7.667799,7.873781,8.267799,7.651802,7.86062,8.077798
7892531,8.069733,7.590691,6.969438,7.670932,7.282659,7.853336,7.940293
7892532,5.098938,3.810157,4.469368,6.030646,3.383604,4.537986,5.478752
7892533,5.978151,5.64503,5.271396,5.75944,5.700522,6.317611,6.424804
7892534,7.550906,7.637926,7.557428,7.204443,6.907564,7.586739,7.6103
7892535,5.88865,6.648856,6.16513,6.26683,4.739215,5.633319,5.13538
7892536,11.28253,10.99808,11.17698,10.81302,10.90049,10.63788,11.12969
7892537,3.620923,4.242151,3.254209,2.68615,2.692847,2.575235,3.275365
7892538,6.561358,6.160865,6.501617,6.028376,5.90876,6.409684,6.388822
7892539,7.166829,6.245934,6.288275,7.135665,6.309641,6.941518,7.355795
7892540,6.220692,7.124576,7.093125,7.52052,7.668616,6.832615,6.762521
7892541,10.17092,9.136206,9.177712,9.379835,9.041845,8.79242,10.12918
7892542,9.624214,9.30575,9.424419,9.611947,9.164493,9.58112,9.634715
7892543,7.096794,7.168254,6.640582,6.857327,6.559453,6.646117,6.670588
7892544,5.399928,5.58244,5.466944,4.733829,6.051475,5.085099,4.252998
7892545,5.673573,5.249678,5.000559,5.273866,5.978272,5.128909,4.735557
7892547,6.45312,6.545415,6.366935,6.639234,6.256964,6.141716,6.366745
7892548,8.535248,7.910477,8.330462,8.585898,8.521315,8.131325,8.626944
7892549,7.091641,7.243526,7.622046,7.667605,7.546729,7.360264,7.090607
7892550,5.632829,5.68158,6.299153,6.802454,5.731489,5.331481,6.100816
7892551,10.55467,10.25505,10.42544,10.48897,10.42651,10.53821,10.43266
7892552,6.037479,4.435479,5.594722,6.294576,5.618927,5.656336,5.789744
7892553,5.732381,5.619074,5.883562,6.277926,5.629657,6.204342,5.944144
7892554,5.181024,5.197983,4.689701,4.525455,5.129678,4.940691,4.083444
7892555,8.063658,8.05652,8.125404,8.366867,8.151872,7.79558,8.201408
7892556,12.24129,12.00646,12.19483,12.12787,12.02684,12.13033,12.16534
7892557,5.947889,3.658282,4.955377,5.627069,4.903572,5.47311,3.892339
7892558,5.584438,4.21545,4.176481,5.459041,5.681023,5.472521,5.493436
7892559,5.958243,6.818359,7.034237,6.739924,6.768471,6.741119,5.667069
7892560,5.135011,5.233113,5.735446,5.724933,5.928356,4.658726,6.179075
7892561,11.50761,11.54223,11.52429,11.3823,11.47625,11.41174,11.48347
7892562,7.79276,6.497808,7.153335,7.649897,7.77328,7.31984,7.601193
7892563,7.444188,7.453341,7.519701,7.59684,7.545463,7.312336,7.027891
7892564,12.23798,12.48869,12.29413,12.18256,12.21762,12.35907,12.12938
7892565,6.170814,6.422247,6.494474,6.959023,6.428288,6.040149,6.351881
7892566,5.375714,6.015311,5.587858,5.016234,5.886839,5.422541,4.728951
7892567,7.228022,6.988954,6.433109,7.134121,7.163348,7.134817,7.171468
7892568,11.42739,10.65997,10.89882,10.81823,10.85357,10.95583,11.14955
7892569,10.26504,11.54164,10.63012,9.828837,10.34802,11.12996,9.971441
7892570,6.507403,6.573359,6.691872,6.876393,6.362799,6.877292,7.262977
7892571,5.651643,4.856366,4.68402,5.237959,4.834289,4.723793,4.853979
7892572,6.507284,7.008937,6.232177,6.327556,6.709056,5.604072,7.106745
7892573,7.604759,7.179643,7.69078,7.637276,7.606289,7.720284,7.644532
7892574,11.0381,10.93532,10.89083,10.96322,10.93557,10.96838,11.15108
7892575,8.579142,8.559921,8.969,8.332808,8.390556,8.51012,8.775014
7892576,4.69477,5.662849,4.531025,5.077437,5.135222,4.828913,5.712979
7892577,3.000802,4.365593,4.455922,3.999219,3.982599,3.727917,4.381606
7892578,4.664153,3.696009,4.355776,3.820712,5.170774,4.601404,3.787855
7892579,10.01259,9.886287,9.818325,9.56909,9.699009,9.443172,9.657419
7892580,3.604583,4.062809,3.977584,3.577563,3.14105,3.555862,4.278
7892581,4.75618,4.61599,4.012555,5.554358,3.451315,4.404141,4.149632
7892582,3.918511,3.953001,4.172231,3.063788,2.618916,3.680828,3.783477
7892583,5.38165,6.170737,6.26849,5.920786,6.61335,6.007213,6.018727
7892584,5.147178,4.423967,5.562599,5.835024,4.952747,5.482408,4.396288
7892585,5.872066,5.013514,4.981725,5.119259,4.660169,5.760602,5.976964
7892586,4.10949,2.800336,3.010079,3.089698,2.508036,2.384438,3.797221
7892587,6.60537,6.038642,6.62334,6.503442,5.426598,6.542959,6.174502
7892588,3.278463,2.500592,2.776174,2.873533,2.056264,2.599622,2.666262
7892589,8.062553,7.637049,7.587155,8.21623,7.10485,6.945698,7.856166
7892590,5.669293,3.979688,4.617714,5.889016,4.506236,3.675031,5.87324
7892591,3.988592,2.868739,4.427187,3.155214,2.792081,2.881679,4.102637
7892592,7.116634,6.417464,6.917203,7.13524,6.498793,6.654815,7.134222
7892593,3.427348,4.657885,4.89518,3.943512,4.813072,3.247778,5.495516
7892594,4.284554,4.87366,3.937888,5.12712,4.67807,4.051303,5.708459
7892595,5.772396,4.954342,5.224723,5.628447,5.304218,4.095832,5.736042
7892596,4.227681,4.714256,3.908937,4.691541,4.845591,4.742607,5.736743
7892597,6.359745,5.111601,5.880894,6.355587,5.745565,5.703838,5.204567
7892598,9.724871,9.368336,9.76797,9.024895,9.418546,9.620919,9.667475
7892599,11.12879,10.6683,10.48624,10.69211,10.96051,10.66315,10.74802
7892600,4.21934,2.88947,2.488473,4.320234,3.478683,2.954372,4.564984
7892601,4.80363,5.510378,5.169786,5.01702,5.169786,5.169786,4.885378
7892602,3.349209,3.145025,3.573385,3.509833,3.235477,3.327071,3.062672
7892603,7.540115,6.711261,7.089231,7.327534,6.73708,7.369845,7.336314
7892604,6.444378,6.27362,5.889618,6.812905,5.96504,6.384091,5.634727
7892605,9.497237,8.14731,8.776343,8.513533,8.337825,8.203907,8.943332
7892606,11.69075,11.53922,11.51642,11.44516,11.47528,11.4726,11.00853
7892608,8.542558,8.458078,8.721017,8.636598,8.667537,8.340398,8.481066
7892609,4.510101,2.932821,3.024812,5.579335,5.5394,6.782746,5.510336
7892610,6.405047,5.296391,6.399323,5.442788,6.259626,5.283571,6.329474
7892611,2.370988,3.130748,2.068021,2.285693,3.111673,2.021697,2.603148
7892612,5.502781,5.21037,5.034429,4.7152,5.462594,4.995475,5.625448
7892613,9.520624,9.617847,9.584298,9.954963,9.471191,9.660268,8.579359
7892614,4.683809,4.188015,5.37759,5.481742,5.809773,4.83735,3.753859
7892615,6.533473,4.329604,5.665026,6.630857,6.361416,6.481122,6.579957
7892616,2.998607,2.367966,2.274313,2.680588,2.475134,2.410358,2.627601
7892617,11.53205,11.7595,11.50554,11.61502,11.64601,11.87986,11.26386
7892618,7.24988,7.220758,6.310173,6.419839,6.861254,7.174582,7.300665
7892619,6.909862,4.513446,6.333995,6.784638,6.705068,6.227073,6.377765
7892620,11.45091,11.23308,11.35106,11.60041,11.50537,11.25878,11.52355
7892621,11.90964,11.69237,11.86096,11.75907,11.77041,11.68422,11.99621
7892622,10.02932,9.873065,9.985995,9.911767,9.948662,9.748039,9.843743
7892623,10.10075,9.853911,10.09747,9.789542,9.544664,9.556249,9.847853
7892624,4.21349,3.598176,3.820129,3.944555,5.046906,4.240009,5.190579
7892625,6.937885,7.683796,6.772038,7.243473,7.36128,7.598512,7.07876
7892626,6.389085,5.785579,6.746282,6.858667,6.206974,6.20096,6.501571
7892627,7.172012,7.355809,7.559446,7.299175,7.496643,7.462391,7.6649
7892628,10.70217,10.15406,10.15406,9.873933,9.94224,9.820348,9.944987
7892629,6.834407,6.814996,6.948087,7.120693,7.165783,6.986127,7.253633
7892630,10.10904,10.24319,10.03325,10.14562,10.12368,10.26798,9.874495
7892631,2.273591,2.218207,2.064754,3.160191,2.202187,2.673809,2.976789
7892632,6.435201,6.302278,5.172232,6.372398,6.79376,6.605128,5.84691
7892633,8.583796,8.696546,8.762224,9.065308,8.936985,8.477613,8.64074
7892634,8.731203,8.727208,9.003766,8.772683,8.948336,8.743996,8.460885
7892635,7.840615,7.838959,7.056661,8.225251,7.810389,7.901209,7.335584
7892636,7.55425,7.852057,7.662776,7.975812,7.525058,7.834535,7.230659
7892637,8.215776,7.833844,7.944862,8.435265,7.802863,8.092365,8.497436
7892638,2.025617,2.400992,2.474145,2.189358,2.061688,4.465006,2.16284
7892639,10.50997,10.46076,10.45849,10.5622,10.41372,10.23516,10.24476
7892640,11.88146,11.69789,11.69143,11.7091,11.57676,11.34671,11.8258
7892641,6.291563,6.275645,6.516839,6.773387,6.665109,5.953146,6.515401
7892642,8.792933,8.975965,8.783836,8.61393,8.624743,8.697062,7.679887
7892643,7.729947,7.981426,8.017999,8.633661,7.509577,7.461084,7.967749
7892644,8.344219,8.154746,8.237219,8.232295,7.873197,7.807597,8.26691
7892645,3.070472,2.824369,2.703625,3.041951,3.736546,2.684393,3.849468
7892646,4.015164,2.124398,2.943209,2.225465,2.253852,2.742993,3.293912
7892647,9.139059,8.946136,8.997788,8.789803,8.962471,9.001385,9.161922
7892648,9.642591,9.615436,9.811612,9.823768,9.853493,9.361047,9.699257
7892649,5.448629,4.8718,5.290708,5.270109,5.371248,5.598827,5.629814
7892650,11.88524,11.93713,11.89952,11.95168,11.64093,11.24463,11.76891
7892651,3.503018,2.867785,3.382711,3.188191,3.332098,4.888424,2.893755
7892652,10.71446,10.64095,10.50227,10.59477,10.61313,10.75787,10.58367
7892653,4.433416,2.492415,2.775199,3.657115,3.880726,4.977795,4.882289
7892654,8.207863,8.182538,8.088367,7.961246,7.42226,8.492559,8.35717
7892655,3.208025,2.992624,3.110835,3.960939,3.034897,5.544202,3.413097
7892656,5.55875,4.867888,5.759147,5.58536,5.188553,4.903869,5.909465
7892657,2.308218,2.309645,3.590981,2.577196,3.011035,2.319803,3.159119
7892658,4.531371,2.903126,3.722011,4.884254,2.61605,5.32596,4.553535
7892659,4.757916,4.604065,4.710367,5.340202,4.539148,4.777311,5.362011
7892660,1.814299,1.704383,2.803573,1.643543,1.721928,1.745773,1.937329
7892661,11.22178,11.41177,11.56192,11.64693,11.61588,11.2737,11.3321
7892662,10.70564,12.16623,11.3451,10.86792,10.93946,11.64923,10.90376
7892663,11.60312,11.79219,11.55057,11.64918,11.58561,11.62957,11.46943
7892664,5.504792,6.257193,4.807145,6.647885,5.946005,6.154447,6.888776
7892665,7.005977,6.850151,6.767054,7.296169,7.081234,7.378023,6.697905
7892666,4.013861,4.049593,3.911868,4.411964,4.515569,3.21472,5.06763
7892667,7.359563,6.879438,6.726038,7.683598,6.914392,7.243197,5.636276
7892668,10.55458,10.62192,10.80053,10.48597,9.90578,10.21505,10.54288
7892669,6.42104,6.579934,6.055513,6.610296,6.485042,6.66592,6.26367
7892670,8.664875,8.186699,8.183088,8.592617,8.868045,8.579974,8.79677
7892671,6.234275,6.036228,5.236973,5.763223,6.343138,6.148159,6.185951
7892672,8.555652,7.960742,8.070007,8.371705,8.105822,8.005736,8.524605
7892673,6.582848,6.515795,6.566918,6.674651,5.740526,5.528905,5.885895
7892674,7.85544,7.495683,7.832827,7.672567,7.511137,7.718729,7.394844
7892675,7.927761,8.120074,7.413506,8.09214,8.116423,7.703094,8.192651
7892676,4.731091,4.075851,3.239692,4.426139,4.031476,3.711749,4.122353
7892677,9.987381,10.23251,10.08395,10.43603,10.01116,10.18499,9.780597
7892678,7.51207,7.621839,7.94319,7.992203,7.659523,7.819157,7.976615
7892679,7.258292,5.145221,6.595687,5.775566,5.437097,5.720358,6.629427
7892680,7.80923,8.884681,8.676214,8.439754,8.273597,7.88376,8.42879
7892681,6.350611,6.641451,6.619961,7.351474,7.365735,6.428118,6.786511
7892682,5.266695,2.789332,3.503458,3.238888,4.457627,2.353179,3.462947
7892683,5.829437,5.130799,5.504328,6.166313,5.669259,5.233443,6.493078
7892684,10.07926,9.652293,9.408475,9.247923,9.471456,9.574069,9.642632
7892685,6.279669,5.742861,6.263819,6.798515,6.591454,6.5541,6.337295
7892686,6.734817,6.938632,6.963422,7.38377,7.362033,7.089319,6.629366
7892687,7.673181,7.141327,7.593506,7.71738,7.766662,7.840638,7.740434
7892688,9.297426,9.346815,9.490736,9.140685,9.473288,8.849633,8.875512
7892689,5.499138,5.387629,5.329532,5.778668,4.964324,5.288889,5.158471
7892690,4.222747,4.771399,4.355854,5.044794,4.045751,3.696933,4.850156
7892691,2.287738,2.882405,3.280665,1.976673,2.445521,2.139371,2.202919
7892692,8.501046,8.427351,7.965317,8.268059,8.795439,8.433927,8.537385
7892693,6.971143,6.926272,7.037066,7.176108,7.634891,7.034053,5.711788
7892694,7.463821,7.861325,7.720569,7.637134,7.875806,7.801995,7.120325
7892695,6.240746,5.947733,6.358057,6.057801,5.964396,5.631841,7.040063
7892696,6.848334,6.702557,6.92839,7.073384,7.20685,7.141738,7.091743
7892697,7.201431,7.926991,7.60656,6.909498,6.984841,7.687317,6.925526
7892698,1.912544,1.933058,1.965277,1.947767,1.956491,1.919722,1.964784
7892699,7.445737,7.264631,7.210425,7.28279,7.114635,6.708762,7.280864
7892700,5.534887,6.223119,5.552387,6.413899,6.302683,6.456372,6.354859
7892701,12.06537,12.01758,12.20079,12.19135,12.22068,12.03893,12.13704
7892702,5.139446,6.024717,4.2557,5.24867,4.496517,5.443032,4.294334
7892703,6.799842,6.520075,6.91014,6.738344,7.389992,6.945533,7.529916
7892704,12.71374,12.8182,12.66188,12.64795,12.86393,12.75757,12.59445
7892705,8.594888,8.361491,8.33293,8.62031,8.170588,8.312186,8.940585
7892706,8.544948,8.466026,8.296268,8.419619,8.319117,8.177714,8.455336
7892707,11.09081,11.02475,11.08081,11.20265,11.04045,10.9487,11.21204
7892708,5.475212,5.421713,5.481676,4.541548,5.489567,5.328517,5.832388
7892709,4.489653,3.835228,3.604886,4.831266,3.382242,3.295949,3.88729
7892710,5.445144,4.616555,4.364149,4.824264,5.341243,4.723338,4.805198
7892711,7.597459,7.904689,7.626859,8.072102,8.027823,7.808614,7.969692
7892712,7.315849,6.872442,7.295828,6.974664,6.641297,7.145257,6.826959
7892713,8.755063,9.094903,8.878639,9.114197,9.196375,9.22829,8.401344
7892714,5.282691,3.683538,3.783195,4.681322,3.343852,3.944438,4.164495
7892715,5.31853,5.047685,6.198399,5.440102,5.958744,5.859989,4.561075
7892716,7.054446,6.853784,6.799598,7.302541,6.689147,6.625173,7.223832
7892717,6.365998,6.404388,6.352811,6.4891,7.165381,6.503987,6.486032
7892718,4.352515,4.360454,5.387081,5.415244,5.403532,5.132849,4.2296
7892719,9.288758,8.938315,9.0605,9.083486,9.040103,9.209244,8.510656
7892720,8.263895,7.609478,7.903722,7.67846,7.201712,7.676315,7.032306
7892721,8.582064,8.58217,8.711243,8.514386,8.436295,8.54128,7.822027
7892722,1.733077,2.205347,2.166251,2.147881,2.049173,2.004613,1.851437
7892723,5.178221,4.395193,4.329104,5.382585,4.533371,6.070797,6.367573
7892724,7.341782,7.086439,7.395066,7.475595,6.556918,6.646308,7.06251
7892725,6.093178,5.679163,5.075456,4.071764,4.621552,4.14376,6.192426
7892726,6.392369,5.887665,5.032772,5.406665,5.543676,5.590533,5.617867
7892727,6.489617,5.826998,5.868434,7.074116,6.533606,6.018401,6.870422
7892728,4.569779,4.700763,4.689606,4.755005,4.550676,4.484822,4.175419
7892729,5.940268,5.186921,6.359208,5.797065,5.761983,5.254581,6.512812
7892730,4.953586,3.778952,4.453804,3.746254,5.085724,3.316336,6.699594
7892731,7.709048,6.926038,7.483936,7.71041,7.451879,7.029109,7.930609
7892732,7.386402,6.350904,5.241806,6.327556,5.505964,5.219594,7.807258
7892733,4.872419,4.302933,5.905257,5.475267,6.062756,5.25792,5.210109
7892734,6.643075,5.840295,5.729053,6.84673,6.349796,6.18116,7.02439
7892735,6.037832,6.285565,6.183543,6.271291,5.884294,6.265042,6.316266
7892736,6.713186,6.317594,5.893162,6.90007,6.273024,6.66102,6.729103
7892737,4.548233,4.245746,4.37043,4.760944,4.572121,5.355976,4.386099
7892738,8.830393,8.705193,9.176116,9.312324,9.31255,9.030563,9.400267
7892739,5.695172,5.117514,5.78097,5.843107,6.656165,6.254922,6.082043
7892740,5.11011,5.932464,4.53552,5.8199,5.505964,4.763897,5.440145
7892741,8.221087,8.621475,8.338228,8.710982,8.286808,7.769046,8.588059
7892742,7.855378,8.429449,8.701578,7.869484,8.091684,7.8998,8.386521
7892743,2.484181,2.275721,2.891099,2.724022,1.961374,4.600332,2.955574
7892744,9.227206,7.919699,8.658465,8.349196,7.970565,8.740195,8.826994
7892745,8.571488,8.739679,8.286639,8.596889,8.651308,8.885716,8.812149
7892746,2.500056,2.246382,1.800728,2.375318,2.309956,2.22877,2.165862
7892747,7.689595,7.601101,7.299425,8.061018,7.747684,7.332786,7.85476
7892748,8.822717,9.345026,9.301401,9.200916,9.286213,9.358806,8.264791
7892749,7.626215,7.503078,7.668572,7.468695,6.841546,7.770517,7.673154
7892750,5.786093,5.428726,6.222151,4.955305,5.589861,5.239471,5.414014
7892751,7.822549,7.66211,7.308195,7.596577,7.321793,7.617508,6.909902
7892752,5.084525,3.578808,3.518933,5.41429,5.985027,5.098254,5.562174
7892753,12.69768,12.69559,12.63276,12.74198,12.8341,12.68901,12.28401
7892754,7.154288,5.426836,6.166473,6.307693,5.722093,5.577365,5.772728
7892755,3.653069,3.136463,4.561584,3.56076,4.073402,2.966041,3.891062
7892756,1.96138,2.019973,2.043994,1.936981,1.990033,1.979967,2.031657
7892757,8.044412,8.152263,8.234371,8.083708,7.368768,7.868296,8.205894
7892758,7.602173,7.477473,7.640577,6.834539,7.242554,7.218905,7.551639
7892759,7.730504,7.202499,7.237615,8.284966,7.799659,7.363527,8.134607
7892760,5.505528,6.395155,5.6254,5.724529,6.30938,5.61946,6.030335
7892761,6.300473,5.609751,5.798337,6.131808,6.102128,6.221441,6.518174
7892762,12.02961,11.93468,12.03484,11.95961,11.89647,11.78749,12.02469
7892763,9.0604,9.000223,8.879584,8.90198,8.892734,8.903515,8.905295
7892764,10.77127,10.47618,10.621,10.62783,10.47847,10.52689,10.77489
7892765,9.423026,9.061529,8.904867,9.213816,9.108373,9.035567,8.847304
7892766,11.63083,11.99175,11.92615,11.93022,11.95469,11.74663,11.8929
7892767,4.539639,3.271521,3.143032,4.622661,4.476271,3.062312,3.220853
7892768,5.797801,5.593206,5.316505,6.067736,4.825245,6.020782,6.443503
7892769,3.40383,3.004227,2.303228,2.214961,3.194929,4.338639,3.962755
7892770,11.60624,12.15836,11.7595,10.96322,11.36155,12.69065,11.66224
7892771,10.3814,10.25443,10.2972,10.39264,10.47297,10.3927,10.77928
7892772,4.492442,5.57773,6.17118,5.23973,5.173834,4.652553,6.154844
7892773,8.0284,7.910075,8.514603,8.573365,8.524804,8.291442,8.500104
7892774,7.034237,7.583791,7.646976,7.577743,7.478104,7.215634,7.720953
7892775,7.836685,7.930543,7.70991,7.964603,7.805246,8.124484,8.156166
7892776,10.92887,10.82436,10.91323,10.76774,10.79124,10.70655,10.82755
7892777,6.745111,7.110007,6.34528,6.000492,5.87982,6.04523,5.855017
7892778,7.56791,6.828251,7.354605,6.982869,7.616568,7.682415,7.461932
7892779,6.932644,6.458343,6.129433,6.631888,5.176656,5.956224,6.108751
7892780,6.133444,5.678588,5.825218,5.545285,5.464122,5.52448,5.962113
7892781,5.457824,5.565849,6.166672,6.42788,6.24723,5.574001,5.712533
7892782,11.56178,11.46333,11.5992,11.54623,11.49398,11.42165,11.19613
7892783,8.003072,8.396358,8.518069,8.431253,8.052619,8.631269,7.78778
7892784,6.314937,4.918377,6.126471,6.447533,5.597769,5.917153,6.917334
7892785,6.014719,5.633406,6.243667,6.817064,4.946688,5.975969,5.733663
7892786,8.685044,8.653823,8.89432,8.576833,8.904001,8.312571,8.827333
7892787,4.917552,5.564002,6.540307,6.304155,6.508898,5.596499,6.298723
7892788,9.99843,9.82125,9.991874,10.08693,9.973193,9.933633,10.13266
7892789,7.826066,7.16427,7.328404,7.345072,7.579185,6.906352,7.747309
7892790,2.951859,3.04438,2.431534,2.402593,3.104814,3.840815,4.332036
7892791,10.36758,10.66583,10.46873,10.47835,10.40605,10.78228,10.49722
7892792,6.822715,5.808486,6.564383,7.007577,6.856374,6.867079,7.184222
7892793,4.448899,4.303349,4.071693,4.053224,4.17939,4.096561,4.066569
7892794,7.216403,6.166878,7.177227,6.839725,6.827794,6.576039,6.759929
7892795,5.976826,5.428354,5.448009,5.816826,5.88582,5.995146,5.326978
7892796,12.39953,12.34225,12.34683,12.34883,12.35405,12.26572,12.3678
7892797,6.506474,7.07419,6.354388,6.769421,6.771204,7.091917,6.749415
7892798,3.367599,3.783015,3.203485,4.300535,4.382788,3.621982,3.567057
7892799,4.452628,4.26929,3.576136,4.103166,3.646063,3.878129,5.370327
7892800,4.170779,4.789444,4.270936,4.482747,4.77345,5.071667,5.321261
7892801,2.87864,2.603242,2.913424,2.885906,3.34213,2.291453,2.919179
7892802,10.28402,10.20202,10.05807,10.0036,9.764046,9.562998,10.27051
7892803,11.4233,11.30355,11.35068,11.40949,10.99986,10.88031,11.36467
7892804,4.194045,4.306059,4.218807,4.138983,4.110756,3.948048,3.93885
7892805,4.508765,4.111042,4.038352,5.095489,3.896605,3.289146,4.67226
7892806,2.991814,2.363841,3.874472,4.260273,3.237787,2.507647,3.224186
7892807,6.719635,6.620735,6.779532,6.94839,7.270513,6.800803,6.428961
7892808,9.796462,10.24582,10.72544,10.41964,10.16512,10.25128,9.955718
7892809,2.872369,3.107486,2.273542,3.627744,2.394179,2.37316,3.976038
7892810,4.211874,3.966027,4.776214,5.115201,3.700549,4.954096,4.798605
7892811,4.552475,4.564558,4.289708,4.392554,4.863454,2.764922,5.592758
7892812,6.983675,7.132115,7.316893,6.921869,6.757517,6.778789,7.076465
7892813,6.526059,5.521627,5.848633,6.207973,6.47702,5.956988,6.607215
7892814,9.76286,9.886827,9.312495,9.664328,9.400311,9.544505,9.821195
7892815,2.479372,2.721582,2.640083,2.493163,2.626957,2.561947,2.659495
7892816,9.135366,9.452174,9.185634,9.309675,9.328917,9.083615,8.580245
7892817,12.92853,12.87437,12.78459,12.75951,12.6143,12.52838,12.8186
7892818,4.186582,3.541843,4.016302,3.699478,3.812084,2.750148,4.404151
7892819,7.073151,5.400943,5.876855,5.530817,5.573137,5.095657,6.613729
7892820,8.879968,8.704864,8.921111,9.167327,8.242138,8.40525,9.107162
7892821,2.385937,2.015621,2.809227,4.155299,2.406082,3.128613,4.573584
7892822,5.913717,4.483577,5.427647,4.680479,5.73658,5.376742,5.391372
7892823,6.812029,7.127221,6.695675,6.919095,6.949077,6.896938,6.633287
7892824,7.177103,7.428998,7.694836,7.357228,7.126115,7.603857,7.332294
7892825,3.573231,3.642845,3.708161,4.978935,3.412858,3.637602,4.20568
7892826,6.773644,6.739038,7.19453,7.220747,7.486929,7.058382,7.106555
7892827,11.66797,11.63508,11.77593,11.74166,11.60466,11.65566,11.43703
7892828,3.639823,2.470832,3.110051,2.403889,2.444353,2.707259,3.282921
7892829,11.82816,11.74317,11.8256,12.01471,12.13873,11.69575,11.8925
7892830,12.16938,12.47639,12.21009,12.22347,12.1808,12.64941,12.29561
7892831,9.326086,8.513653,8.661152,8.591755,7.881826,8.259138,8.954138
7892832,8.604106,7.232304,7.880653,7.908501,7.923363,7.650608,8.213498
7892833,3.240204,3.003732,2.993382,2.970737,3.547042,3.611239,3.046047
7892834,5.840232,4.538794,6.393548,5.895132,4.754047,6.04747,5.594485
7892835,12.17287,11.61032,11.81218,11.4214,11.45899,11.16635,11.89042
7892836,11.68634,11.8504,11.84401,11.69169,11.94875,11.5951,11.61072
7892837,10.3777,10.33764,10.40982,10.62028,10.47453,10.33144,10.31334
7892838,10.08256,9.949388,9.741292,9.992674,9.945445,9.747873,9.399332
7892839,2.551211,2.764535,3.328799,2.438498,2.323426,3.706486,2.538804
7892840,7.83269,7.43205,7.988527,8.582842,8.423676,7.976069,8.207214
7892841,9.942478,10.6941,10.63419,10.36373,10.32619,10.55304,10.19816
7892842,6.437673,4.964608,5.889891,6.166088,6.360987,5.102941,6.54112
7892843,6.26068,6.11023,6.105849,5.967965,6.387594,5.857324,6.278169
7892844,3.660298,3.550711,4.488647,4.148494,3.167382,3.20765,4.593236
7892845,7.504485,7.40484,7.606463,7.671165,7.830048,7.531205,7.362577
7892846,12.79807,12.66931,12.81186,12.79906,12.58503,12.65597,12.91414
7892847,9.233446,8.85608,8.616238,9.168578,9.061068,9.080984,9.40836
7892848,9.00304,9.326044,9.35108,9.396489,9.454355,9.079926,9.178148
7892849,5.005465,5.181366,5.027569,4.303565,5.333894,5.219511,5.364439
7892850,8.939703,8.937304,8.978321,9.003805,8.77831,8.790451,9.207645
7892851,4.537729,5.493935,6.303699,6.362592,6.541336,5.820667,5.743381
7892852,6.702028,6.782664,7.065751,7.180396,7.5459,7.380158,7.139049
7892853,11.75655,11.19067,11.43624,11.47848,11.11201,11.39589,11.66739
7892854,5.947476,4.041947,4.509724,4.865651,4.885713,4.988075,6.685122
