"","GSM192996","GSM1923003","GSM1923009","GSM1923016","GSM1923019","GSM1923023","GSM192997"
"1-Dec",4.148551,4.46895,4.030699,4.165751,4.523934,4.173164,4.166435
"1-Mar",7.23606233333333,7.20729833333333,7.51207,7.332813,7.27718866666667,7.511091,7.52774533333333
"10-Mar",4.10514,4.082586,4.282697,3.970882,4.082495,4.125022,4.261252
"11-Mar",3.195798,3.7876105,3.474285,3.5286605,3.4798005,3.8354565,3.4423015
"2-Mar",7.3892025,7.69132,7.3989015,6.8861295,7.035883,7.390754,7.28584
"3-Mar",9.155135,10.15868,8.877964,8.780509,8.863264,10.04935,8.513515
"4-Mar",4.996461,5.33223,4.868449,5.08981,5.259192,5.176988,4.936246
"5-Mar",7.948808,7.785665,7.89806,7.877639,7.882373,7.790421,8.050085
"6-Mar",10.82133,10.90766,10.65034,10.64844,10.56425,11.43826,10.73363
"7-Mar",10.96317,10.95642,11.0161,10.98446,10.91588,10.79248,11.01617
"8-Mar",12.34208,12.55047,12.43424,11.74763,12.02651,12.56062,12.19921
"9-Mar",7.352579,7.037564,7.189676,7.14723,7.237438,7.162361,7.196313
"A1BG",5.528297,5.764587,5.764587,6.006557,5.873204,5.723705,5.219594
"A1CF",4.848882,4.863649,4.814906,4.980546,5.054163,4.995842,4.840863
"A2M",5.222262,5.071532,5.079876,5.563161,5.06705,5.358116,5.292422
"A2ML1",4.708644,4.657805,4.688504,4.376927,4.080317,4.436366,4.429288
"A3GALT2",5.292504,5.257091,5.368741,5.168249,5.184233,5.176933,5.781777
"A4GALT",5.563328,5.355445,5.932517,5.078387,6.125771,5.897778,4.848216
"A4GNT",4.133892,4.671037,4.366967,4.470628,4.214759,4.244282,4.097049
"AAAS",8.246529,8.20874,7.751461,8.222694,8.119041,8.234786,8.116104
"AACS",6.800157,6.55977,6.947945,6.550997,6.926657,6.724702,6.998907
"AADAC",2.446191,2.543701,2.406417,2.341121,2.328756,2.503442,2.377577
"AADACL2",2.815962,2.875393,2.890048,3.085937,2.877069,2.921875,2.886513
"AADACL3",4.556795,4.669965,4.235673,4.000347,5.32486,4.313533,4.366546
"AADACL4",3.560704,4.035563,3.694322,3.773682,3.862661,3.472467,4.132776
"AADAT",3.654347,4.069684,3.775347,3.733094,3.919795,3.773381,3.694307
"AAGAB",6.882138,7.029491,7.052119,6.973339,6.947566,7.003033,7.408111
"AAK1",9.8867085,9.732136,9.667681,9.8335075,9.766538,9.6643915,9.8579955
"AAMDC",6.003112,5.771347,5.766054,6.024741,5.796611,5.785723,5.834765
"AAMP",7.818489,7.352383,7.419942,7.425533,7.819193,7.646613,7.683479
"AANAT",5.37618,5.333437,5.139646,5.302459,5.72122,5.306908,4.930429
"AAR2",8.220731,8.234076,8.304183,8.305298,8.248815,8.227146,8.236331
"AARD",5.266735,5.541408,5.434214,5.55669,5.492505,5.661089,5.551417
"AARS",8.151326,8.047251,7.978998,8.143648,8.118738,8.311783,8.141747
"AARS2",6.523652,6.331748,6.077329,6.743357,6.74098,6.259058,6.697523
"AASDH",7.155677,6.99454,7.04944,7.117154,7.037426,6.988525,7.125089
"AASDHPPT",8.271327,7.985837,8.113548,8.021082,7.939387,8.130602,8.131948
"AASS",5.669083,5.724113,5.686079,5.851205,6.006548,5.99945,6.052307
"AATBC",7.10143,6.807865,7.254031,6.92361,7.071293,6.572612,6.742863
"AATF",9.547566,9.427619,9.391138,9.448584,9.540323,9.462743,9.596175
"AATK",6.337191,6.513833,6.6104265,6.6647615,6.7289955,6.6177525,6.3585975
"ABAT",8.208357,8.191381,8.498124,8.401134,8.444623,8.452685,8.602633
"ABCA1",8.089243,7.892473,7.504571,8.891027,8.201544,7.941191,7.897437
"ABCA10",4.811203,4.426573,4.313498,4.754484,4.273319,4.863178,4.481774
"ABCA11P",5.08431,4.722048,4.992393,5.050394,4.969335,4.898391,5.080136
"ABCA12",3.877325,3.953357,3.709368,3.665874,3.707963,3.618258,3.538394
"ABCA13",5.73686,6.128542,5.324455,5.02496,5.922898,5.014042,5.633779
"ABCA2",7.551769,7.385618,7.719061,8.438434,7.580244,7.852983,8.126301
"ABCA3",5.990373,6.190131,6.109616,6.170046,5.749227,6.196074,6.533751
"ABCA4",4.314312,4.525148,4.418643,4.252871,4.461928,4.396705,4.054729
"ABCA5",7.160987,6.754121,7.015466,7.286062,6.805624,7.676859,7.240856
"ABCA6",4.551751,4.231574,4.168469,4.271649,4.273258,4.226786,4.445361
"ABCA7",7.760662,7.411658,7.757315,8.262963,8.104853,6.92879,7.377843
"ABCA8",2.986548,3.061153,3.056336,3.090199,3.056336,3.056336,2.999968
"ABCA9",4.262292,4.130649,4.212744,3.757201,4.117561,4.005111,4.030076
"ABCB1",6.899366,5.9516,6.543637,7.149213,5.929844,6.708002,7.494783
"ABCB10",7.902544,8.489661,8.169034,7.666607,7.77694,8.622051,7.883438
"ABCB11",3.627215,3.774247,3.630499,3.848139,3.646679,3.699454,3.860399
"ABCB4",6.701205,5.885194,5.895564,5.400343,5.838447,5.237403,5.613094
"ABCB5",3.274539,3.373182,3.335867,3.086873,3.494051,3.303088,3.446121
"ABCB6",5.137853,5.544434,5.260189,5.356027,5.501744,5.560361,5.90983
"ABCB7",7.383671,7.2385525,7.3267025,7.372976,7.0409165,7.2065915,7.434003
"ABCB8",6.5239295,6.4871035,6.499492,6.65627075,6.75433,6.570364,6.427662
"ABCB9",5.200861,5.515418,5.264942,5.172772,5.227644,5.229098,5.284519
"ABCC1",8.899532,8.920808,8.912271,8.810364,9.110237,8.755114,8.935086
"ABCC10",7.707253,7.584277,7.827501,7.917938,7.893945,7.6279,7.85545
"ABCC11",4.114747,4.367815,4.338603,4.275466,4.261124,3.930679,4.204588
"ABCC12",3.790412,4.162687,3.881572,3.932777,4.048337,3.88039,3.861117
"ABCC13",5.115554,6.130668,5.473176,5.299825,5.317441,5.754396,5.274269
"ABCC2",6.091838,5.915997,5.905465,6.021673,6.021673,5.686416,6.233035
"ABCC3",7.193159,7.692815,7.295344,7.086568,7.117891,7.354224,7.026747
"ABCC4",7.577645,8.595046,8.065986,8.038167,8.350489,9.481931,8.474937
"ABCC5",7.535664,7.775564,8.249046,8.413305,7.929052,7.647403,7.992171
"ABCC6",6.0718465,5.794076,6.004241,5.897302,6.113322,6.130026,5.856914
"ABCC8",5.089743,5.098448,5.134511,5.147084,5.18974,5.283371,4.977518
"ABCC9",3.564812,3.61717,3.629082,3.502624,3.612734,3.695006,3.667619
"ABCD1",7.483532,7.233891,7.66115,7.386559,7.784851,7.492648,7.363165
"ABCD2",8.957517,9.00394,8.85127,8.913644,8.480098,8.557331,8.968781
"ABCD3",7.437347,6.885231,7.434558,7.078309,7.419068,7.315691,7.547474
"ABCD4",6.922704,6.791294,6.71321,7.01877,7.026696,6.763243,6.995775
"ABCE1",8.134112,8.03926,8.448413,7.992998,7.864572,7.93279,8.007792
"ABCF1",7.1492136,6.859248475,7.0599422,7.107457975,7.197619575,7.1518061,7.4076805
"ABCF2",7.701988,7.408211,7.596751,7.682465,7.328314,7.671645,7.520568
"ABCF3",7.845321,7.90921,7.923773,8.072759,7.902812,7.753595,8.117172
"ABCG1",7.237543,7.589331,7.501116,8.145416,7.984192,7.716028,7.59917
"ABCG2",5.640965,6.927389,5.657196,5.688005,5.02521,7.925714,5.824736
"ABCG4",5.795942,6.260408,5.494415,5.876022,6.164581,6.117764,5.622879
"ABCG5",4.298387,4.629492,4.399841,4.483167,4.498172,4.417442,4.175368
"ABCG8",5.095551,5.295525,5.428429,5.216802,5.334388,5.33499,4.901535
"ABHD1",5.504099,5.602785,5.643304,5.600771,5.467641,5.570261,5.366709
"ABHD10",7.454847,6.967413,7.069476,6.939747,6.90996,6.902798,7.182445
"ABHD11",7.357574,7.203253,7.474744,7.438576,7.42884,7.087371,7.434381
"ABHD12",7.523221,7.623582,7.648066,7.427707,7.724715,7.289968,7.74979
"ABHD12B",4.469832,4.672695,4.535447,4.356104,4.866809,4.667217,4.595435
"ABHD13",9.466898,9.47407,9.586456,9.434736,9.425106,9.330705,9.429626
"ABHD14A",8.279919,8.492615,8.641733,8.522711,8.315384,8.422196,8.539602
"ABHD14A-ACY1",6.510111,6.62514,6.725864,6.650875,6.583408,6.47748,6.632245
"ABHD14B",8.154808,8.20539,8.269555,8.287869,8.042762,8.096946,8.023273
"ABHD15",7.46872,7.145456,7.403081,7.44278,7.391021,7.118571,7.257444
"ABHD16A",8.1894455,8.440183,8.289913,8.317889,8.34625,8.623839,8.5295235
"ABHD16B",5.582941,6.116716,5.468159,5.515533,6.030388,5.723841,5.641127
"ABHD17A",6.479763,6.823231,6.514215,6.498961,6.479763,6.246281,6.141204
"ABHD17AP4",7.266417,7.229582,7.238611,7.267651,7.222897,7.017864,6.875648
"ABHD17AP6",9.19721475,9.2440665,9.2925135,9.588012,9.249606,9.31389975,9.56610425
"ABHD17B",7.379437,7.286495,7.376939,7.192925,7.228518,7.063841,7.580268
"ABHD17C",6.048693,6.215015,5.874693,6.191681,6.028753,6.23444,6.155882
"ABHD18",8.572538,8.527127,8.591865,8.527127,8.33523,8.527127,8.543891
"ABHD2",10.49939,10.29527,10.43501,10.53246,10.64432,10.45507,10.57145
"ABHD3",8.762884,8.836181,8.941322,9.204591,9.240718,9.105965,9.130296
"ABHD4",8.994555,8.977669,9.309412,9.108292,9.105618,9.137528,9.054893
"ABHD5",10.82482,10.60465,11.01216,10.92297,10.97246,10.92985,10.93512
"ABHD6",7.642677,7.115627,7.788982,7.592214,7.55876,7.726804,7.800062
"ABHD8",6.588232,6.376851,6.528442,6.446851,6.44318,6.239857,6.385186
"ABI1",9.471004,9.417337,9.546288,9.555998,9.406843,9.359077,9.526396
"ABI2",7.967867,7.719059,7.912678,7.898202,7.789449,7.771507,7.996528
"ABI3",8.989968,8.734769,9.307418,9.132987,9.116213,9.215247,9.559075
"ABI3BP",4.44362,4.377013,4.09025,4.172889,4.519685,4.355688,4.064581
"ABITRAM",8.027647,7.905246,7.854272,7.606744,7.452672,7.809835,7.933172
"ABL1",7.611392,7.100741,7.308001,7.528704,7.514651,7.550848,7.776211
"ABL2",7.186764,6.982574,6.934997,7.462919,7.182618,7.181974,7.370952
"ABLIM1",9.224421,8.884317,8.665445,8.603431,8.867818,8.52735,8.669201
"ABLIM2",6.108117,6.203392,6.082736,6.199716,6.298429,6.430328,6.132469
"ABLIM3",6.809874,7.701959,6.881892,6.997985,6.7268,6.939305,7.057978
"ABO",5.998984,6.536282,6.227112,6.22857,6.345725,6.093253,6.139391
"ABR",9.237358,9.298513,9.332983,9.457757,9.420655,9.209739,9.525802
"ABRA",4.41066,4.338416,4.398596,4.770525,4.31201,4.433573,4.043903
"ABRACL",7.190529,6.823911,6.97258,6.963257,6.641464,6.98907,7.119999
"ABRAXAS1",8.061726,7.821759,8.148098,7.843211,7.576717,7.656431,8.042692
"ABRAXAS2",8.334499,8.314556,8.459606,8.371855,8.400871,8.365644,8.607339
"ABT1",7.632584,7.402169,7.396052,7.180241,7.296519,7.166967,7.584219
"ABTB1",9.841601,9.570107,10.26149,10.01224,10.01735,10.00897,10.05372
"ABTB2",6.086123,6.304704,6.209177,6.266714,7.190699,6.324439,6.256985
"ACAA1",5.5734755,5.7960935,5.8061415,5.7111305,6.112062,6.4025885,5.646958
"ACAA2",6.735331,6.162886,7.094846,6.792679,6.729161,6.898598,6.94021
"ACACA",6.711874,6.409705,6.509639,6.503176,6.661332,6.414445,6.707413
"ACACB",7.138519,6.863472,6.901922,7.137688,7.258008,6.515115,7.109254
"ACAD10",7.288696,7.249269,7.191037,7.54369,7.336061,7.159723,7.318767
"ACAD8",8.207172,8.216576,8.322248,8.383641,8.221321,8.00255,8.444076
"ACAD9",8.316274,8.185839,8.310487,8.358965,8.376412,8.195818,8.469937
"ACADL",2.859354,3.022033,2.999934,3.244334,2.87138,3.080929,3.052529
"ACADM",9.026718,8.603379,8.697741,8.553343,8.342564,8.366229,8.652704
"ACADS",7.052275,7.362386,7.300975,7.134161,6.911415,7.050651,6.951262
"ACADSB",7.533701,6.927592,7.364106,7.174733,6.848866,6.95915,7.50273
"ACADVL",8.632502,8.499372,8.621134,8.909084,8.761387,8.850405,9.119539
"ACAN",5.09336,5.006216,4.828968,4.809577,4.76791,4.773042,4.611696
"ACAP1",7.3,7.017282,7.450903,7.487023,7.369184,7.155783,7.338561
"ACAP2",10.41799,10.29941,10.31254,10.46165,10.38266,10.40974,10.39922
"ACAP3",6.194072,6.275244,6.37744,6.614237,6.439518,6.274024,6.399564
"ACAT1",6.388499,6.526123,6.461248,6.521341,6.482167,6.298253,6.821198
"ACAT2",6.066983,6.011684,6.089571,6.123276,6.283495,5.907524,6.272256
"ACBD3",9.303874,9.006425,9.264084,9.034035,9.114344,9.113975,9.165745
"ACBD4",6.513144,6.546884,6.551578,6.619393,6.626156,6.309674,6.571133
"ACBD5",8.05761,7.978229,8.284889,8.271133,7.932064,8.202761,8.406017
"ACBD6",6.863839,6.470468,6.587549,6.58412,6.376938,6.581904,6.906298
"ACBD7",3.681002,3.966012,3.919274,3.759972,3.741436,3.917969,4.210442
"ACCS",6.484894,6.331806,7.327844,6.749233,6.619555,6.223683,6.450025
"ACCSL",4.737598,5.109114,4.914633,4.807376,5.023685,5.158831,5.318672
"ACD",7.433423,7.510134,7.400076,7.654085,7.418698,7.417075,7.708574
"ACE2",4.388067,4.48392,4.663638,4.548904,4.51974,4.640026,4.288624
"ACER1",6.133028,6.548314,6.064996,6.20705,6.136998,6.085855,6.147692
"ACER2",6.814042,6.548404,6.336917,6.530438,6.761209,7.128105,7.03347
"ACER3",7.861086,7.94354,7.743498,7.748522,8.024901,7.833412,7.911774
"ACHE",5.000828,6.129116,5.255183,5.187901,5.053352,6.095798,5.556156
"ACIN1",9.620786,9.23266,9.285206,9.534932,9.589478,9.437398,9.719186
"ACKR2",6.14589,6.495798,5.903087,6.09952,5.866109,5.199806,5.680397
"ACKR3",6.043103,5.926774,5.766559,6.123233,5.706056,5.777699,6.331299
"ACKR4",4.2762795,4.947323,4.2886415,4.3226025,4.270373,4.124396,4.635818
"ACLY",9.747342,9.483715,9.721109,9.724336,9.641342,9.627575,9.829906
"ACMSD",3.481971,4.093011,3.860176,4.247974,3.807878,3.656687,3.80973
"ACO1",8.111135,7.957152,8.152208,7.821975,8.166069,7.993335,8.281875
"ACO2",9.486025,9.678589,9.52777,9.634419,9.397635,9.917575,9.588152
"ACOD1",3.063602,3.188765,3.300492,3.060052,3.286438,3.356992,2.908347
"ACOT1",6.432087,6.935154,6.555824,6.564545,6.68972,6.724602,6.552564
"ACOT11",5.348346,5.450323,5.584324,5.596414,5.584596,5.450026,5.60396
"ACOT12",3.983183,4.178254,4.03628,3.865138,4.254067,4.122346,4.102015
"ACOT13",7.90882,7.760256,7.825935,7.979392,7.676185,7.647365,8.011396
"ACOT2",6.208404,6.712283,6.548368,6.824353,6.574726,6.373033,6.442657
"ACOT4",4.469204,4.455148,4.648212,4.328717,4.17726,4.431077,4.252818
"ACOT6",4.241184,4.362088,4.365925,4.227042,4.476081,4.486746,4.29246
"ACOT7",6.3114985,6.6039765,6.356167,6.0803645,6.57764,6.4562105,6.38164
"ACOT8",7.857939,7.889431,7.877026,7.968362,8.038241,7.883721,7.994433
"ACOT9",8.565771,8.818819,8.893119,8.959009,9.110723,8.936962,8.870687
"ACOX1",9.337856,8.671636,9.213705,9.564046,9.473895,9.254058,9.646905
"ACOX2",5.126781,5.00883,5.116168,5.199849,4.995439,5.102581,5.03765
"ACOX3",7.600881,7.38266,7.54525,7.579233,7.679817,7.600881,7.685655
"ACOXL",4.120027,4.905544,4.92223,4.7481,4.684201,4.643238,4.514062
"ACOXL-AS1",3.735213,4.190822,3.953142,4.226709,4.215824,3.796399,3.269267
"ACP1",9.271861,9.990158,9.132957,9.161425,8.873052,10.56507,9.085123
"ACP2",7.954733,7.977306,8.304623,8.035543,8.044355,7.996802,7.906736
"ACP4",6.38305,6.646207,6.534748,6.473468,6.582884,6.488724,6.175841
"ACP5",6.941482,7.647148,7.49437,6.743769,7.244818,7.525069,6.46058
"ACP6",6.950513,6.90568,6.997564,7.031242,6.638249,6.934493,7.347742
"ACP7",4.430291,4.628194,4.672207,4.3348,4.849082,4.267379,4.312491
"ACPP",9.668665,9.673443,10.11357,9.395344,9.821637,9.50269,9.716958
"ACR",5.1561345,5.453337,4.8921895,5.147204,5.5235715,5.461011,5.071207
"ACRBP",7.912133,7.692648,7.760916,7.763995,8.152872,7.583411,7.848364
"ACRV1",3.699479,4.380093,4.447911,4.155728,4.142932,4.219995,4.102968
"ACSBG1",5.134558,5.551434,5.223778,5.369787,5.517449,5.342492,5.026625
"ACSBG2",3.874377,3.900827,3.820712,3.881569,3.832952,3.730137,3.915474
"ACSF2",6.612766,6.36655,6.783409,6.579663,6.518894,6.382813,6.726466
"ACSF3",7.962945,7.584828,7.907914,7.890293,8.10262,7.67343,7.981148
"ACSL1",11.71819,11.55413,11.675,11.73225,11.98822,11.77941,11.8956
"ACSL3",7.781996,7.786139,7.851537,7.923767,8.064501,8.40176,7.930264
"ACSL4",8.864191,8.914565,9.067815,8.893826,9.490808,8.93599,9.047741
"ACSL5",9.248863,9.132469,9.311885,9.553072,9.347369,9.326525,9.553121
"ACSL6",6.558542,7.716027,6.5896,7.050539,6.7117,7.961477,6.413687
"ACSM1",4.685901,4.813494,4.615543,4.184935,4.823236,4.330454,4.592564
"ACSM2A",4.42481866666667,4.853354,4.47929333333333,4.36141533333333,4.45095233333333,4.67322166666667,4.29797033333333
"ACSM3",6.6360995,6.5477585,6.5584105,6.6661435,6.5676495,6.6752255,6.489311
"ACSM5",5.614326,5.504573,5.711887,5.860892,5.430836,5.637019,5.370356
"ACSM6",3.556844,3.78433,3.640511,3.722854,3.570121,3.669876,3.663885
"ACSS1",7.828871,7.459652,7.785145,7.885152,7.862558,7.64992,7.882205
"ACSS2",7.979285,7.944939,8.020978,7.809035,8.283581,7.97326,7.787795
"ACSS3",4.645098,4.628603,4.645098,4.539427,4.958924,4.468246,4.621286
"ACTA1",6.884477,7.201436,6.961659,6.797124,7.075747,7.157299,6.283344
"ACTA2",7.282214,7.729373,6.977173,8.228287,7.794459,8.343565,8.152069
"ACTA2-AS1",6.848666,6.842349,6.782622,7.038377,6.883894,6.736841,6.999655
"ACTB",12.53531,12.76391,12.77992,12.72277,12.68785,12.59086,12.65196
"ACTBL2",3.073395,3.273103,3.523987,3.188692,3.027693,3.517208,3.138975
"ACTBP2",11.74928,11.9191,11.76176,11.81409,11.86886,11.82929,11.70388
"ACTBP7",9.318432,9.503899,9.555707,9.511375,9.650188,9.654763,9.329517
"ACTC1",4.264006,4.931405,4.801858,4.841498,4.593302,4.466553,4.173466
"ACTG1",12.63151,12.51217,12.61715,12.69322,12.61147,12.57575,12.53343
"ACTG1P1",12.07711,12.09641,12.00195,11.95235,12.11592,11.93478,11.92155
"ACTG1P17",6.08591,6.528592,5.997867,6.167439,5.965938,5.95175,6.089352
"ACTG2",4.923043,5.060926,4.724875,4.829268,4.697887,5.00921,4.69883
"ACTL10",5.892975,5.84164,5.537553,5.599435,5.872293,5.633164,5.603426
"ACTL6A",7.325168,6.840968,6.911535,7.04213,7.01218,6.817853,7.364903
"ACTL6B",5.373634,5.71288,5.335101,5.460666,5.52698,5.54761,5.123495
"ACTL7A",4.469204,4.533176,4.534762,4.631157,4.487257,4.481342,4.674401
"ACTL7B",5.54595,5.782434,5.550911,5.526382,5.782942,5.791894,4.703319
"ACTL8",5.083158,5.298084,5.378996,4.888906,4.966656,5.519712,4.982584
"ACTL9",5.401357,5.711156,5.632757,5.62202,5.86939,5.707903,5.352803
"ACTN1",11.58153,11.68085,11.64787,11.60666,11.8665,11.56523,11.5513
"ACTN2",3.697613,3.974823,3.789305,3.807095,3.942103,3.387978,3.461362
"ACTN3",5.682977,5.469107,5.318289,5.956628,5.658158,5.429809,5.806713
"ACTN4",11.67604,11.49901,11.72356,11.89357,11.68607,11.67827,11.87662
"ACTR10",8.4721,8.601021,8.410863,8.454329,8.42463,8.553188,8.617222
"ACTR1A",9.597575,9.684294,9.689504,9.739604,9.559709,9.621992,9.653534
"ACTR1B",6.3063595,6.412605,6.5264225,6.481173,6.339631,6.33292,6.3428385
"ACTR2",12.01264,11.8589,11.97515,12.02423,11.98202,11.92227,12.09009
"ACTR3",11.46637,11.41008,11.40446,11.35477,11.40837,11.39285,11.46819
"ACTR3B",7.503949,7.674212,7.238862,7.282287,7.280261,7.389727,7.360778
"ACTR3BP5",2.28371475,2.60740375,2.5904605,2.455012,2.4817335,2.46690175,2.4511205
"ACTR3C",7.271461,6.841056,6.950621,7.11824,7.184733,6.754907,7.260744
"ACTR5",7.366453,7.439546,7.545601,7.611259,7.634681,7.619672,8.062147
"ACTR6",5.868959,5.481102,5.298263,5.721145,5.230008,6.060762,5.90639
"ACTR8",8.204553,7.641255,7.841865,7.98034,8.032503,8.023864,8.232157
"ACTRT1",3.532134,3.107808,3.369881,3.463714,3.236021,3.763373,2.969817
"ACTRT2",5.606655,5.82075,5.151878,5.4089,5.50743,5.830501,5.382569
"ACTRT3",4.435583,4.925597,4.3808,4.034162,4.384298,4.338207,4.147233
"ACVR1",7.550678,7.535368,7.509955,7.441751,7.412771,7.495736,7.64121
"ACVR1B",7.205091,7.284254,7.270324,7.190498,7.399783,7.16206,7.135635
"ACVR1C",7.101644,6.438686,6.331461,6.425643,6.391007,6.16579,6.814392
"ACVR2A",6.505851,6.173915,6.711906,6.966826,6.391218,6.102815,6.537779
"ACVR2B",5.271616,5.018234,4.89837,5.287481,5.00677,5.255476,5.663088
"ACVRL1",5.558625,5.415669,5.366575,5.546586,5.45992,5.353852,4.93746
"ACY3",5.882432,5.599906,5.626341,5.448983,5.628153,5.880497,4.966115
"ACYP1",6.794791,5.971186,6.264482,6.806587,6.068404,6.310873,6.851913
"ACYP2",6.143874,6.060747,6.015248,6.024714,6.089415,5.997971,6.158788
"ADA",8.149792,8.116916,8.087955,8.099732,7.771214,8.26863,8.373218
"ADA2",10.07153,9.818874,9.889368,9.952392,9.952467,9.94179,9.921989
"ADAD1",2.87249,2.97137,2.916531,3.006065,2.820669,2.597393,2.864842
"ADAD2",6.179419,6.516163,6.194074,6.103398,6.233658,6.428214,5.962327
"ADAL",5.870467,5.381227,5.537596,5.502468,5.502582,5.221932,5.568939
"ADAM10",11.26603,10.94577,11.188,10.95203,10.99841,10.94928,11.10527
"ADAM11",5.103316,5.311056,5.219142,5.411153,5.355726,5.510707,5.188845
"ADAM12",5.841697,5.59013,5.804179,5.289704,5.26003,6.05973,5.732723
"ADAM15",7.42089,7.350207,7.666035,7.224494,7.555403,7.325122,7.082949
"ADAM17",9.754971,9.323926,9.4472905,9.632364,9.3965875,9.523657,9.493646
"ADAM18",3.325461,3.160906,3.541605,3.148964,3.402767,3.33424,3.222685
"ADAM19",9.404258,9.141238,9.565969,9.574474,9.56252,9.430599,9.612745
"ADAM2",2.773056,3.187772,2.969255,2.798327,2.887606,2.789171,2.867166
"ADAM20",5.530246,5.614141,5.472056,6.046803,5.920739,5.595522,6.012886
"ADAM20P1",3.168353,3.897436,3.565516,2.97943,2.944328,3.971431,4.286809
"ADAM21",2.797652,3.227762,2.924385,3.54038,3.132058,3.211111,2.950322
"ADAM21P1",4.00015,4.005376,3.69599,3.583323,4.071302,3.498521,4.024608
"ADAM22",5.046962,4.977769,5.01671,5.789591,4.811392,5.385718,5.653817
"ADAM23",6.419793,6.152121,6.07637,6.478138,5.948246,5.755173,5.764134
"ADAM28",8.507231,7.980356,8.270187,7.87435,8.276646,7.698745,8.018059
"ADAM29",3.483729,3.965588,3.887248,4.005931,3.843015,4.185265,3.876831
"ADAM30",3.671084,3.864677,3.757526,3.913778,3.872374,3.805262,3.791714
"ADAM32",3.82076,4.108583,4.026043,4.005931,3.927805,3.813793,3.932304
"ADAM33",6.011194,6.270167,6.012445,5.939899,5.88223,6.265983,5.682049
"ADAM3A",3.30061,3.6326,3.380695,3.18252,3.43274,3.539092,3.293017
"ADAM5",2.720687,3.072269,2.579259,2.685333,2.7548,2.731995,2.617806
"ADAM7",3.01326,3.263811,3.105134,3.277278,3.220613,3.151333,3.112701
"ADAM8",9.4555,9.321699,9.584817,9.635895,10.07555,9.568384,9.570223
"ADAM9",8.199017,8.259741,8.431122,8.231844,8.069747,8.322614,8.522112
"ADAMDEC1",3.972024,4.000151,4.127865,3.997564,4.243515,4.048354,4.062894
"ADAMTS1",5.718109,5.262267,5.801566,6.072507,5.473112,5.343911,5.949691
"ADAMTS10",6.919897,6.8532,6.620745,7.503518,6.926935,6.587419,7.243125
"ADAMTS12",4.583499,4.87016,4.736518,4.48816,4.937932,4.683799,5.023503
"ADAMTS13",5.784256,5.767303,5.691386,5.794753,5.908898,5.902233,5.163998
"ADAMTS14",5.420948,5.66331,5.517004,5.447016,5.612845,5.513072,5.411183
"ADAMTS15",5.151991,4.928364,5.060597,5.31291,4.923429,5.29842,4.57389
"ADAMTS16",5.187122,5.367625,5.333929,5.460989,5.281646,5.399632,5.056575
"ADAMTS17",6.345133,6.630208,6.265422,6.456906,6.453972,6.263496,5.769202
"ADAMTS18",4.030883,4.182601,4.064303,3.839202,4.269769,4.55908,4.082338
"ADAMTS19",4.043331,4.318301,4.190837,3.890974,4.15804,3.965042,3.779628
"ADAMTS2",5.396287,5.698502,5.664567,5.365955,5.708951,5.789083,5.310959
"ADAMTS20",3.634185,4.22167,3.950994,3.969763,3.829353,3.809719,3.937448
"ADAMTS3",3.947364,4.522109,4.07349,4.195581,4.298893,4.207552,4.021227
"ADAMTS4",5.093691,5.053848,5.048042,5.021195,5.148008,4.861724,4.694399
"ADAMTS5",4.602192,4.885778,5.072178,5.066724,4.971788,4.855444,5.239614
"ADAMTS6",4.718509,4.426883,4.99006,4.931905,4.934687,4.783504,5.107569
"ADAMTS7",6.520185,6.730841,6.578283,6.543513,6.385973,6.747996,6.003242
"ADAMTS8",4.836003,5.309338,5.177175,5.081409,5.08341,5.196745,4.915375
"ADAMTS9",4.363594,4.792673,4.55274,4.55274,4.55274,4.474232,4.461879
"ADAMTSL1",4.4982455,4.7478915,4.60574,4.974756,4.799942,4.5299465,4.334091
"ADAMTSL2",6.202145,6.81976,6.293225,6.276434,6.29521,6.359114,5.892927
"ADAMTSL3",4.12633,4.418749,4.35943,4.480342,4.005561,4.361855,3.90323
"ADAMTSL4",6.571229,6.747109,6.86238,6.689491,7.034623,6.433166,6.746686
"ADAMTSL4-AS1",8.024343,7.982452,7.812875,8.491152,8.975405,8.239709,8.298527
"ADAMTSL5",6.244623,6.240371,6.242454,6.226723,6.328347,6.235504,6.310744
"ADAP1",8.782625,8.282972,9.016178,8.620442,8.621796,8.59594,8.85483
"ADAP2",6.738671,6.462386,6.609373,6.549473,6.395325,6.8168955,6.619044
"ADAR",10.56224,10.75397,10.68903,10.80067,11.00774,10.92381,10.89187
"ADARB1",8.267377,7.915556,8.000448,8.250977,8.104084,8.145317,8.229308
"ADARB2",5.763454,6.400346,5.762545,6.16871,5.789833,6.503638,5.339773
"ADAT1",8.477783,8.268461,8.521187,8.549062,8.354128,8.391963,8.684561
"ADAT2",7.474219,6.982049,7.284077,7.189024,7.131617,7.28048,7.315181
"ADCK1",6.684112,6.485539,6.614492,6.576899,7.234959,6.229589,6.629196
"ADCK2",6.56425,6.072079,6.22726,6.578159,6.724905,5.998297,6.403565
"ADCK5",6.292664,6.41132,6.446286,6.147092,6.276871,6.253047,6.144432
"ADCY1",5.267821,5.302178,5.489829,5.096289,5.426319,5.447226,5.16672
"ADCY10",3.852403,3.992131,4.098575,3.848751,4.255067,4.237475,4.044927
