"","GSM192996","GSM1923003","GSM1923009","GSM1923016","GSM1923019","GSM1923023","GSM192997"
"TMTC4",6.628307,6.468395,7.194165,7.04301,7.226408,7.250231,6.945271
"TMUB1",7.767972,7.929575,7.959747,7.982964,7.888337,7.926507,7.872098
"TMUB2",8.583124,8.808989,8.942424,8.691932,8.840034,8.749209,8.791124
"TMX1",9.120918,9.053363,8.970359,8.702513,8.746886,8.749498,9.152573
"TMX2",8.11408,8.24663,8.50375,8.269369,8.342561,7.978508,8.140194
"TMX3",7.414381,7.116495,7.363248,7.259436,7.025915,7.320407,7.467926
"TMX4",9.337888,9.4152,9.427032,9.41465,9.443005,9.532947,9.57181
"TNC",4.512612,5.04688,4.820855,4.633636,4.844604,4.925972,4.529617
"TNF",7.370967,7.544631,7.73491,7.558072,7.399756,7.420359,7.427175
"TNFAIP1",8.262434,8.081389,8.168085,8.150572,8.382786,8.177726,8.424414
"TNFAIP2",9.925007,9.763351,10.08872,10.13236,10.35698,9.99812,10.07822
"TNFAIP3",9.286452,9.251884,9.147126,9.449639,9.47224,9.568867,9.700589
"TNFAIP6",9.586683,9.291298,9.337697,9.638857,9.987157,9.205578,10.0011
"TNFAIP8",8.143747,7.99665,8.111767,8.146245,8.052767,7.768164,7.959593
"TNFAIP8L1",6.454885,6.472474,6.660428,6.274615,6.803821,6.283032,6.470767
"TNFAIP8L2",7.459802,7.548427,7.296825,7.587312,7.719317,7.281558,7.603505
"TNFAIP8L3",4.823387,4.894423,4.818523,4.663233,4.632215,4.861457,4.436894
"TNFRSF10A",7.914141,7.744165,7.697029,7.59846,7.836149,7.543012,7.697506
"TNFRSF10B",8.716892,8.600975,8.877434,8.781092,8.638644,8.430281,8.843801
"TNFRSF10C",10.54099,10.77233,10.68986,10.96428,10.98638,10.75328,10.67826
"TNFRSF10D",7.598295,7.337048,7.546021,7.4556,7.591667,7.295985,7.27515
"TNFRSF11A",5.76507,6.015946,5.450017,5.882918,5.963076,5.983841,5.488883
"TNFRSF11B",4.120225,4.376483,4.169428,4.010013,4.292277,4.18219,4.189981
"TNFRSF12A",7.166202,7.142035,7.41776,6.959249,6.903164,6.933702,6.853513
"TNFRSF13B",6.605147,6.4060325,6.5526135,6.4913055,7.004738,6.4994325,6.097355
"TNFRSF13C",7.981606,7.573834,7.632341,7.446967,7.518597,7.175903,6.968317
"TNFRSF14",8.498878,8.591133,8.640886,8.692189,8.670302,8.436168,8.546144
"TNFRSF17",4.742871,4.906793,4.618965,4.400592,4.582356,4.284239,5.012151
"TNFRSF18",5.910462,5.960167,6.02753,5.795942,5.928939,6.381998,5.586915
"TNFRSF19",4.906722,4.738516,4.97812,4.927168,4.978805,5.007529,4.625339
"TNFRSF1A",10.69822,10.68279,10.83643,10.96917,11.06597,10.76776,10.86025
"TNFRSF1B",9.6184665,9.5715225,9.654593,9.845687,9.9600055,9.832393,9.877204
"TNFRSF21",6.358037,5.994065,5.848422,5.866072,6.215478,5.940951,5.916354
"TNFRSF25",8.5665,8.618914,8.629721,8.724171,8.783865,8.390036,8.161147
"TNFRSF4",5.900975,6.290524,6.048463,6.146953,6.102165,6.402505,5.482835
"TNFRSF8",6.631254,6.801735,6.910398,6.490383,6.533873,6.589162,6.306782
"TNFRSF9",8.672393,8.277105,8.324173,8.304291,8.313893,7.459017,8.542469
"TNFSF10",11.78375,11.83231,11.79299,11.66752,11.94007,11.73853,11.94538
"TNFSF11",4.36056,4.489052,4.208536,4.428279,4.811484,4.506598,4.48507
"TNFSF12",8.714831,8.799951,9.127199,8.580283,8.754936,8.625216,8.544322
"TNFSF13B",10.01934,10.35942,10.33407,9.79172,10.553,10.64719,10.06647
"TNFSF14",8.434757,8.400227,8.657305,8.463938,8.555374,8.363198,8.916998
"TNFSF15",5.36255,4.961323,4.978427,5.005043,5.189634,5.150046,4.946056
"TNFSF18",3.209363,3.329736,3.356059,3.53115,3.337039,3.236027,3.398963
"TNFSF4",7.204935,7.39785,7.093881,7.029962,6.949894,7.11254,7.386696
"TNFSF8",10.69199,10.52984,10.54562,10.3216,10.22754,10.38226,10.33582
"TNFSF9",5.570281,5.766867,5.658245,5.923274,5.738089,5.88979,5.410801
"TNIK",9.192116,9.150068,9.15744,9.478239,9.169624,8.922981,9.478573
"TNIP1",9.102777,9.589768,9.437303,9.055644,9.383875,9.570315,9.561519
"TNIP2",7.343122,7.2128,7.469386,7.435194,7.567923,7.54216,7.773351
"TNIP3",5.345099,5.053957,5.405409,5.501171,5.365688,5.126216,6.464566
"TNK1",5.770794,5.887438,5.993577,5.914685,5.94579,5.834083,5.475087
"TNK2",7.280678,7.501644,7.294776,7.472666,7.417128,7.457879,7.332592
"TNK2-AS1",5.338461,6.436653,5.998136,5.598957,5.362981,6.233865,5.48597
"TNKS",8.640627,8.371423,8.640627,8.692752,8.565928,8.701531,8.864049
"TNKS1BP1",5.809658,5.735672,6.083644,5.867471,6.410259,5.894075,5.859837
"TNKS2",9.304817,9.28878,9.236116,9.337696,9.31261,9.310902,9.453732
"TNMD",3.757276,4.231311,4.125226,3.767668,3.93379,3.985561,3.84997
"TNN",4.013194,4.102788,4.059178,4.000551,4.177004,3.935211,3.922019
"TNNC1",5.608106,5.688963,5.644297,5.733117,5.753587,5.608106,5.149328
"TNNC2",5.326156,5.494954,4.852873,5.339364,5.320058,5.662561,4.92028
"TNNI1",5.446917,5.831028,5.462451,5.87014,5.689943,5.58521,5.218067
"TNNI2",6.308635,6.582597,6.455198,6.211859,6.789792,6.285992,6.482553
"TNNI3",5.246549,5.112065,5.209729,4.825683,4.881709,5.132748,5.120702
"TNNT1",5.566,5.337393,5.469619,5.716001,5.375782,5.805179,5.036608
"TNNT2",5.090789,4.792988,5.076057,4.99952,5.129107,5.263597,4.273976
"TNNT3",6.484938,6.329137,6.291347,6.537991,6.775567,6.59433,6.348829
"TNP1",4.992868,5.211867,5.052261,5.231786,4.889127,5.035223,5.123888
"TNP2",5.476346,5.430726,5.573792,5.339529,5.559676,5.439231,5.15497
"TNPO1",10.04901,10.09223,9.988991,9.98651,9.832821,10.10019,10.07318
"TNPO2",8.704527,9.289793,9.1356105,9.0402245,8.938221,8.6302575,8.852218
"TNPO3",9.256259,9.091633,9.116632,9.304242,9.334283,9.276346,9.341738
"TNR",4.578026,5.202235,4.662143,4.858375,4.714773,4.734015,4.52705
"TNRC18",8.019448,7.689411,7.919435,8.281549,8.084329,8.022575,8.054829
"TNRC18P3",8.2055535,7.853708,8.0366015,8.4046345,8.2404845,8.115936,8.1895935
"TNRC6A",8.789268,8.579565,8.502105,8.625302,8.628426,8.489367,8.708575
"TNRC6B",9.663288,9.493666,9.615788,9.763254,9.656478,9.64423,9.705413
"TNRC6C",8.919188,8.865199,8.787411,9.029492,8.8973,8.807814,8.998777
"TNS1",7.443232,8.474293,7.793972,7.142288,7.526865,7.7503,7.538897
"TNS2",5.456304,5.425303,5.425303,5.359381,5.575363,5.344885,5.079335
"TNS3",7.146644,6.460162,7.05019,6.949336,7.173066,6.267486,7.055297
"TNS4",5.158127,5.142755,5.278813,5.275712,4.998195,5.373756,4.84746
"TNXB",6.22646875,7.34014825,7.04263775,6.29524375,6.5869005,6.80359775,6.56177325
"TOB1",9.301183,9.344352,9.226352,9.330935,9.230892,9.502622,9.482464
"TOB2",8.299801,7.806702,8.326923,8.350739,8.230122,8.389403,8.207312
"TOB2P1",6.592773,6.499912,6.854416,6.947716,6.562562,6.832568,6.845092
"TOE1",7.932354,7.879668,7.993077,8.29222,7.974253,7.958331,8.06913
"TOGARAM1",7.489441,7.191206,7.128118,7.576593,6.925454,7.255967,7.515296
"TOGARAM2",6.2517,6.375224,6.471069,6.777347,6.322549,6.721919,7.134778
"TOLLIP",9.070307,9.590339,9.161443,8.848411,8.92233,9.073085,8.858343
"TOM1",9.58421,9.383669,9.61673,9.705444,9.844956,9.732108,9.9231
"TOM1L1",3.9500995,3.881573,4.004938,3.711801,3.896937,3.86365,3.907612
"TOM1L2",8.160823,8.1378475,8.1893245,8.1880025,8.2131955,8.24281,8.1011955
"TOMM20",8.013475,7.64398,7.865075,7.702603,7.538357,7.310685,7.921649
"TOMM20L",4.546977,4.683846,4.568886,4.113511,4.246102,4.522517,4.368571
"TOMM22",7.239059,7.01256,7.287788,7.06416,7.280066,7.026402,7.246061
"TOMM22P5",9.603184,9.372325,9.319005,9.211843,9.447121,9.257536,9.568365
"TOMM34",8.33684,8.013447,8.288839,8.219919,7.944363,8.029181,7.885273
"TOMM40",6.713831,6.496853,6.602959,6.728308,6.344984,6.572982,6.495546
"TOMM40L",6.347259,6.273607,6.323157,6.50375,6.386127,6.485272,6.387973
"TOMM7",6.703247,6.957278,6.689115,6.804087,6.900302,6.592766,6.682818
"TOMM70",7.579511,7.356998,7.40772,7.129263,7.299876,7.353212,7.605829
"TONSL",5.74159,6.113392,5.872617,5.989312,5.872617,5.929768,5.67418
"TOP1",10.55383,10.78782,10.38757,10.43933,10.46844,11.24544,10.52035
"TOP1MT",7.398247,7.143478,7.057979,6.860087,7.174939,7.528761,7.044621
"TOP2A",4.687764,5.287132,4.851207,5.278693,5.169424,4.863102,4.914466
"TOP2B",8.98893,8.58077,8.717072,8.773785,8.617513,8.693247,8.932975
"TOP3A",8.333287,8.423416,8.604393,8.809278,8.456755,8.597636,8.590479
"TOP3B",7.445228,7.330072,7.369053,7.817263,7.690469,7.249548,7.878748
"TOPAZ1",6.106863,6.472708,6.539195,6.410743,6.399797,6.637496,5.781628
"TOPBP1",8.936897,8.926397,9.06465,8.986488,9.028382,9.004823,9.264396
"TOPORS",8.034637,7.678628,8.058667,7.951307,7.830758,7.955233,8.229117
"TOR1A",8.164089,8.289472,8.42076,8.143421,8.293931,8.410419,8.195308
"TOR1AIP1",10.41782,10.32614,10.31938,10.19861,10.32848,10.33017,10.39123
"TOR1AIP2",8.729946,8.5770155,8.5319985,8.576768,8.699189,8.7636615,8.8648205
"TOR1B",8.181706,8.25899,8.45445,8.278852,8.654058,8.795448,8.321501
"TOR2A",7.555634,7.499412,7.774152,7.66735,7.565968,7.554049,7.900324
"TOR3A",7.10131,6.723046,7.6308,6.976538,7.207083,6.967309,7.307134
"TOR4A",7.135174,7.194502,7.46563,7.309763,7.544023,7.318837,7.147827
"TOX",7.73349,7.36059,7.970604,8.571442,7.840305,8.345885,8.934937
"TOX2",5.495919,5.736712,5.526092,5.753299,5.581624,5.473265,5.630256
"TOX3",4.318383,4.286397,4.34158,4.490809,4.215484,4.414961,4.14664
"TOX4",10.46675,10.39195,10.43317,10.59411,10.43182,10.45243,10.68067
"TP53",8.106512,7.872217,8.196672,8.147307,8.019181,8.056786,8.1287275
"TP53AIP1",4.583346,4.520531,4.501097,4.563152,4.558305,4.386229,4.091003
"TP53BP1",7.243581,7.054346,6.933463,7.302334,7.48859,7.149965,7.323693
"TP53BP2",8.401747,8.252073,8.277277,8.540721,8.426773,8.430951,8.652857
"TP53I11",7.424633,7.67221,7.752476,7.836023,7.711967,7.560979,7.72518
"TP53I13",6.575084,6.38716,6.232722,6.721788,6.458692,6.462255,6.126636
"TP53I3",6.490364,6.018522,6.483953,6.246151,6.382265,6.284172,6.42662
"TP53INP1",10.09927,9.856077,10.24582,10.12667,9.820929,9.881639,9.960056
"TP53INP2",7.267373,7.691018,7.550374,7.735022,7.650278,7.758353,7.262659
"TP53RK",7.250491,6.997788,7.280214,7.073298,7.042111,7.078534,7.283214
"TP53TG1",5.868987,5.7177,5.628559,6.132371,5.79286,5.593801,6.057128
"TP53TG3D",4.73252825,4.65523825,4.51590975,4.64107125,4.48090375,4.564915,5.09955875
"TP53TG5",4.105316,4.418944,4.328455,3.980026,4.124404,4.234798,4.344761
"TP63",4.81328,4.495993,4.532558,4.646039,4.440565,4.378382,4.805514
"TP73",5.718177,5.940554,5.909134,5.831853,5.776601,5.972667,5.672723
"TP73-AS1",6.478203,6.410067,6.585318,6.388988,6.828967,5.937456,6.434461
"TPBG",6.213528,6.308852,5.911854,6.289903,6.200735,6.475639,6.02911
"TPCN1",8.250004,7.96077,8.088111,8.163097,8.242592,7.9932,7.999841
"TPCN2",7.486233,7.589696,8.069345,7.85677,8.134385,7.570963,7.687417
"TPD52",7.119588,6.244052,6.76823,6.545285,6.167314,6.050796,6.676846
"TPD52L1",4.642621,4.884809,4.779057,4.58708,4.669127,4.800272,4.717089
"TPD52L2",10.03797,10.04774,9.85677,9.994666,9.916912,9.973353,10.03898
"TPD52L3",3.475302,3.876996,3.617524,3.511207,3.334212,3.344932,3.319707
"TPGS1",6.344921,6.453705,6.361404,6.335627,6.622193,6.502576,6.184529
"TPGS2",10.0044,10.78485,10.48643,9.973789,9.877504,10.32093,9.987068
"TPH1",5.267107,4.980759,5.164707,4.680253,4.776932,4.595269,5.300974
"TPH2",3.681694,3.854632,3.55426,3.858024,3.532676,3.553069,3.540483
"TPI1",8.849012,8.5634095,9.022166,8.9724745,8.984287,8.613731,8.924115
"TPI1P1",7.613386,7.324152,7.502809,7.635787,7.708564,7.510062,7.558307
"TPI1P2",6.324456,6.227099,6.658138,6.199381,6.55731,6.494858,6.18128
"TPK1",7.948336,7.877162,8.049894,8.024195,8.333161,7.571618,8.199347
"TPM1",7.46835,8.003708,7.491955,7.467979,7.17863,7.8599,7.340972
"TPM1-AS",5.918279,5.91719,5.865381,5.920037,5.977327,6.003321,5.857746
"TPM2",5.896649,5.715325,5.776017,5.962092,6.037411,5.928221,6.315226
"TPM3",7.321025,7.095579,7.241762,7.263937,7.330556,7.365818,7.358532
"TPM3P1",12.1324,12.17816,12.08359,12.20627,12.07537,12.17374,12.27998
"TPM3P6",10.30237,10.25481,10.34718,10.28243,10.24928,10.27055,10.10332
"TPM4",9.065407,9.194658,8.737792,8.722105,8.5822835,8.599451,8.931595
"TPMT",6.489826,6.410165,6.436334,6.133298,6.328553,6.274449,6.765044
"TPMTP1",5.096488,4.749999,4.891025,4.727772,4.809586,4.563262,4.919447
"TPO",4.009329,4.258713,4.53552,4.258713,4.015945,4.261225,4.223453
"TPP1",10.25029,10.24244,10.278,10.31252,10.37588,10.27559,10.26312
"TPP2",9.684467,9.58306,9.65901,9.5851,9.56234,9.472578,9.590508
"TPPP",5.812019,5.941312,5.592309,5.772052,5.965305,5.865707,5.808696
"TPPP2",3.318309,3.442543,3.547904,3.477763,3.447906,3.62593,3.668062
"TPPP3",5.843349,5.531106,5.977768,5.8331465,6.1046495,6.0871045,6.0309255
"TPR",9.199058,8.931628,9.032521,9.047986,9.074781,8.952498,9.221994
"TPRA1",8.285063,8.535751,8.485163,8.369259,8.443591,8.717201,8.203497
"TPRG1",5.139682,4.800303,5.170015,5.885241,4.726493,5.785061,6.662992
"TPRG1L",9.407035,9.496979,9.346751,9.220002,9.25449,9.997075,9.223407
"TPRKB",5.476229,5.562007,5.395487,5.476229,5.319306,5.370864,5.878773
"TPRN",5.371495,5.679883,5.381332,5.424079,5.967954,5.66166,5.624832
"TPRX1",4.605889,4.414647,5.124465,4.532677,5.056398,4.712146,4.313233
"TPRXL",5.933278,5.933278,5.618196,5.5885,6.155799,6.170672,5.761067
"TPSB2",6.0143055,6.3445255,5.8038425,6.0698895,6.0443255,6.0273795,5.8260115
"TPSD1",5.982842,6.524131,6.220973,5.733566,6.24664,6.247454,5.655512
"TPSG1",5.349952,5.934741,5.793283,6.107449,5.886787,5.961444,5.11848
"TPST1",7.818587,7.503349,7.999834,7.654438,7.921432,7.353681,8.133027
"TPST2",9.330743,9.420856,9.244803,9.183427,8.72501,9.314214,9.540936
"TPT1",7.01345566666667,7.03496933333333,7.093335,7.162443,7.02330966666667,7.22856866666667,7.208015
"TPT1-AS1",8.3253935,7.841843,7.975945,8.010249,8.005621,7.8145495,8.009707
"TPT1P13",2.644622,3.146539,3.255116,3.065556,3.142042,2.977186,3.041944
"TPT1P8",2.564257,2.864772,2.843353,2.726505,2.739847,2.692293,2.712816
"TPT1P9",8.654655,8.61169,8.274208,8.399685,7.748635,8.428669,7.822613
"TPTE",2.689158,2.725012,2.727712,2.794853,2.875014,2.815269,3.001394
"TPTE2",3.58264,3.894204,3.5782055,3.5533245,3.7495975,3.4709365,3.881977
"TPTE2P2",5.436314,5.452197,5.463756,5.70314,5.629962,5.576066,5.085307
"TPTE2P6",4.074287,4.52507,4.236473,4.102509,3.794307,4.570213,4.685084
"TPTEP1",4.755101,5.22912,5.736975,4.92812,5.926518,5.51856,4.959496
"TPX2",5.004998,5.158364,4.877779,5.431921,5.261972,5.476919,5.416796
"TRA2A",10.63669,10.35296,10.39446,10.4507,10.34234,10.29938,10.607
"TRA2B",9.366188,9.016996,9.237546,9.203355,9.189036,9.059834,9.389341
"TRABD",8.726372,8.772783,8.823657,8.826119,8.827697,8.859117,8.719696
