"","GSM1923000","GSM1923004","GSM1923010","GSM1923012","GSM1923007","GSM1923020","GSM192998","GSM1922995","GSM1923002","GSM1923008","GSM1923015","GSM1923018","GSM1923022","GSM1923017"
"1-Dec",4.48631,4.505877,4.283176,4.472712,4.353671,4.372567,4.009335,4.438154,4.437715,4.353964,4.321344,3.966349,4.271813,4.379049
"1-Mar",7.30833833333333,7.21389433333333,7.62311766666667,7.26026066666667,7.578084,7.54618033333333,7.377023,7.361996,7.283178,7.65159466666667,7.23284133333333,7.270348,7.68422866666667,7.826675
"10-Mar",4.411598,4.164877,4.113764,4.145326,4.112352,3.736974,4.145124,3.967773,4.101036,4.145252,4.089064,3.972693,4.220609,4.114788
"11-Mar",3.525518,3.9811705,3.45603,3.7779895,3.615476,3.6062935,3.398433,3.3162865,3.8150195,3.5855215,3.8421905,3.6289855,3.636267,3.8902915
"2-Mar",7.040977,7.539444,7.432591,7.234487,7.3233415,7.159719,7.4796325,7.3595425,7.87827,7.5105395,7.1078585,7.45167,7.249956,7.593357
"3-Mar",8.645247,9.103646,8.284616,8.812553,8.739686,9.183837,9.31037,8.915559,10.18055,8.864908,8.798963,9.053791,9.993496,8.766952
"4-Mar",5.360519,5.646338,5.180694,5.629312,5.221339,4.965711,5.042834,5.20738,5.010155,5.359889,4.92694,5.312867,5.300813,5.544491
"5-Mar",7.508699,7.411176,7.7691,7.932708,7.794463,8.040142,7.644814,7.877353,7.869206,7.732044,7.791598,7.282801,7.794907,7.772028
"6-Mar",10.76731,10.78096,10.62758,10.53784,10.71711,10.93674,10.67524,10.75922,10.89417,10.57898,10.61286,10.72812,11.16022,10.7904
"7-Mar",10.74836,10.7521,11.08357,11.1045,10.75403,11.04663,10.99642,10.99427,10.98767,11.05512,11.0538,10.65564,10.85739,11.01439
"8-Mar",12.08533,12.1627,11.78748,11.75137,12.14564,12.32045,12.62282,12.28014,12.59949,12.43407,11.90041,12.23666,12.37414,12.00076
"9-Mar",7.11071,7.230362,6.942712,7.660824,7.568432,7.407469,7.187857,7.217472,7.592351,6.924881,7.341859,7.397369,7.210538,7.126562
"A1BG",5.705518,5.800366,5.740167,6.014713,5.831803,5.781903,5.705575,5.586012,5.661858,5.908621,5.764587,5.944134,5.829834,5.77303
"A1CF",4.97947,5.016045,4.940516,5.27288,4.730623,4.908793,4.875576,4.776101,4.93118,5.032136,4.932582,4.787779,5.109375,5.129028
"A2M",5.120528,5.562576,5.222262,5.172799,5.222262,5.134945,5.004498,5.222262,4.901538,5.205879,5.53594,5.222682,5.612928,4.946016
"A2ML1",4.323634,4.749482,4.400043,4.662191,4.149055,4.16198,4.543337,4.41294,4.721792,4.498663,4.312137,4.345258,4.268776,4.652266
"A3GALT2",5.814351,4.875746,4.655354,5.164706,5.149493,5.541594,5.537673,4.885902,5.23134,5.247494,4.935609,5.102459,5.504876,5.638676
"A4GALT",5.506344,5.513363,5.366741,5.812855,5.613264,6.13279,5.627429,5.403045,4.812951,5.48737,5.534576,5.976022,6.218213,6.167123
"A4GNT",4.261966,4.485056,4.416659,4.569137,4.5161,4.396629,4.462824,4.243433,4.547455,4.423799,4.490657,4.244057,4.228227,4.701024
"AAAS",8.084252,8.129042,7.988941,8.324909,8.296792,8.053814,8.129663,8.069464,8.133959,7.652183,8.358131,8.428202,8.134928,7.859185
"AACS",7.102545,6.856582,6.80827,6.724049,6.448791,6.56679,6.870566,7.024415,6.712532,6.935833,6.954655,6.800572,6.693644,6.687676
"AADAC",2.457474,2.462211,2.484928,2.728476,2.396025,2.357306,2.49015,2.499013,2.572465,2.524913,2.447937,2.467552,2.394009,2.276332
"AADACL2",2.811495,2.893813,2.818565,2.889588,3.132092,2.893028,2.866586,2.952756,2.966041,2.863608,2.749326,2.854427,3.033749,3.033855
"AADACL3",4.97517,4.967213,4.481707,4.529953,4.926006,4.494048,4.583736,4.596146,5.154567,4.570938,4.262755,4.461217,4.20803,4.738798
"AADACL4",4.004653,3.797606,3.603252,4.301218,3.786654,3.291929,3.627213,3.938771,4.064914,3.843817,3.612834,3.573701,4.085022,3.903302
"AADAT",3.76738,4.019835,3.863115,3.731684,3.644762,3.690434,3.803662,3.614302,3.778659,3.821133,3.795662,3.897996,3.711188,3.725376
"AAGAB",6.732988,6.562104,7.077409,6.32232,6.442637,6.937554,6.813031,6.679439,7.169607,6.893687,7.025135,6.816284,7.170459,6.951936
"AAK1",9.8495295,9.900256,9.5484935,9.410782,9.827186,9.669677,9.527311,9.8427965,9.780551,9.661689,9.9442575,10.0263025,9.6056595,9.2529675
"AAMDC",5.690838,5.263257,6.025085,5.431135,5.695611,5.685338,5.845331,6.025785,5.831421,5.528132,6.190513,5.491505,6.037431,5.385803
"AAMP",7.358748,7.405475,7.639343,7.865086,7.308758,7.667541,8.182803,8.110528,7.390035,7.771163,7.353822,8.023037,7.576056,7.11391
"AANAT",5.657817,5.631465,5.404249,5.463744,5.571444,5.641964,5.442738,5.221025,5.423313,5.603384,5.183437,5.202009,5.107835,5.722733
"AAR2",8.420259,8.250104,8.350799,8.638721,8.371783,8.258703,8.401142,8.106066,8.15806,8.183983,8.328424,8.443325,8.1995,7.966213
"AARD",5.738178,5.587755,5.723889,5.891933,5.396695,5.505912,5.166816,5.274155,5.659666,5.623351,5.351069,5.352427,5.528493,5.930017
"AARS",8.13192,8.083899,7.868292,8.055866,8.095713,8.15721,8.163927,8.054119,7.937572,8.003117,8.085804,8.253084,8.131709,7.618669
"AARS2",6.629912,6.768026,6.546227,6.615073,6.219482,6.318325,6.497998,6.416372,6.702249,6.512087,6.523652,6.785899,6.523652,6.170319
"AASDH",6.620904,6.678295,7.074698,6.885483,7.148517,6.862647,7.219665,7.061205,7.215001,7.002893,7.026668,7.009295,7.17611,6.692354
"AASDHPPT",7.904493,7.917759,8.251427,8.396474,7.786856,8.071751,8.325513,8.277814,8.180115,8.081144,8.16788,7.779026,8.306841,7.678936
"AASS",6.097659,5.751424,5.977488,5.632759,5.106245,5.664694,5.838529,5.603791,6.037613,6.147979,6.194752,5.892667,5.267647,5.531263
"AATBC",7.025348,6.855686,7.394855,7.267429,6.945456,6.902568,7.050004,7.020979,6.664651,7.168163,7.089294,6.988244,6.742233,7.425726
"AATF",9.266055,9.427619,9.52669,9.200985,9.371896,9.477098,9.398303,9.548567,9.435792,9.427619,9.415042,9.521892,9.424717,9.344272
"AATK",6.651725,6.779696,6.643031,6.6212705,7.029478,6.7610935,6.045225,6.3141925,6.501607,6.79076,6.611446,6.5880885,6.539851,6.863833
"ABAT",8.424546,8.211586,8.657692,7.968758,8.106768,8.244226,7.702619,8.252478,8.296741,8.612168,8.440429,8.44093,8.344393,8.826508
"ABCA1",8.492704,7.636755,8.334756,7.803207,8.238788,8.350638,7.822465,8.366184,7.988021,7.78415,8.808161,8.216743,7.438692,8.695571
"ABCA10",4.290026,4.543043,4.500395,4.160452,4.152268,4.396198,4.181627,4.575567,4.561043,4.506249,4.55583,4.741417,4.739453,4.439977
"ABCA11P",4.900582,4.707493,5.159788,4.971697,4.925347,5.014841,4.864892,5.00809,4.950647,4.893953,5.199318,5.18399,4.820391,4.657989
"ABCA12",3.777969,3.828665,3.701494,3.68573,3.646532,3.622505,3.757443,3.655005,3.71466,3.854712,3.587828,3.689951,3.860142,3.876135
"ABCA13",5.15462,4.777002,5.580466,5.044447,5.62237,5.64719,6.102916,5.494408,6.210745,5.552969,4.811588,6.510663,4.982246,6.390763
"ABCA2",7.887308,7.909975,7.551349,7.69725,8.107018,7.954903,7.721846,7.504558,7.50782,7.568825,8.490326,7.861794,7.959071,7.770473
"ABCA3",6.420362,6.335647,6.208988,6.107887,6.015316,6.254846,6.02716,5.85498,5.838342,6.230077,6.396884,6.390951,6.383318,5.826947
"ABCA4",4.446195,4.598072,4.331433,4.475975,4.400733,4.41778,4.452021,4.557096,4.331206,4.477491,4.243609,4.186273,4.313756,4.475177
"ABCA5",6.80633,6.591869,6.976857,6.763414,6.878881,7.225768,6.88464,7.189411,7.13401,6.877693,7.416787,6.781789,7.854023,6.587591
"ABCA6",4.106902,4.344084,4.076356,4.34466,4.01172,4.560334,4.132038,4.48375,4.314265,4.273258,4.408269,4.273258,4.300199,4.235187
"ABCA7",8.520179,7.677143,7.603536,8.148886,8.285585,7.700252,7.840239,7.868394,7.676504,7.791661,8.158989,8.386633,6.972417,8.246387
"ABCA8",3.141598,3.272334,3.056336,3.015138,3.208866,2.950887,3.009599,3.039389,3.237542,3.108746,2.875914,3.173624,3.042534,3.034801
"ABCA9",4.111001,4.279864,4.000547,4.076332,3.876994,4.256659,3.924281,4.08217,4.448124,4.108835,4.183632,3.982621,4.019956,4.336357
"ABCB1",6.628005,6.240708,6.650837,6.325989,6.273493,6.55499,6.822708,6.855382,6.198466,6.506948,7.219836,6.272603,6.811137,5.420842
"ABCB10",8.069859,7.867121,7.77574,8.025014,8.223354,8.159453,8.5959,8.040177,8.51533,8.029623,7.825016,8.081696,8.49553,8.176656
"ABCB11",3.835641,4.052575,3.778941,3.700589,3.71373,3.706075,3.904387,3.770765,3.593599,3.774138,3.702679,3.63758,3.730436,3.855774
"ABCB4",5.973122,5.841283,5.567817,6.472106,5.586855,5.712914,6.581923,6.624771,5.894542,5.639715,5.351007,5.943606,5.591345,5.412831
"ABCB5",3.305979,3.455175,3.584581,3.180956,3.13048,3.079675,3.56035,3.153951,3.414224,3.403619,3.239903,3.34352,3.256166,3.54189
"ABCB6",5.439729,5.667807,5.091467,5.54764,5.375751,5.295017,5.470917,5.38621,5.519235,5.256194,5.151164,5.842591,5.4369,5.558156
"ABCB7",7.1130675,6.877997,7.26201,7.268467,7.263929,6.935974,7.307235,7.4832345,7.2238295,7.297253,7.4224075,7.138543,7.020786,6.876621
"ABCB8",6.735292,6.62356025,6.41275975,6.5882085,6.684049,6.6925355,6.564293,6.5116795,6.3870045,6.5970565,6.46194175,6.750101,6.56747075,6.5850585
"ABCB9",5.531676,5.645297,5.446574,5.470026,5.529531,5.197519,5.188851,5.288909,5.397535,5.386041,5.335243,5.516168,5.067714,5.283347
"ABCC1",9.504084,9.301495,9.015318,8.887019,9.147026,8.961213,8.898168,9.098907,8.88279,8.702556,8.982748,9.445192,8.794392,8.875962
"ABCC10",8.184392,8.018757,7.677284,8.039459,7.91841,7.681895,7.619213,7.752056,7.78109,7.492061,8.067303,8.057224,7.672346,7.810871
"ABCC11",4.260828,4.675291,4.387843,4.416553,4.16448,4.141868,4.056513,3.999994,4.444008,4.365952,4.163238,4.26209,4.118087,4.336788
"ABCC12",4.214011,4.207424,4.039292,4.208735,4.066752,3.680018,3.816754,3.858733,4.140099,4.115381,3.874892,3.960282,3.940288,4.132139
"ABCC13",5.353351,5.090069,5.024378,4.911456,5.298479,5.310783,6.254072,5.108141,6.278406,5.555989,5.284283,5.709419,5.558475,5.65713
"ABCC2",6.021673,5.686032,6.093072,5.990552,6.195288,6.036524,6.131283,6.199011,6.021673,5.763264,6.028925,6.200614,6.183345,6.106859
"ABCC3",7.075695,7.008132,7.281188,6.943106,7.097105,6.831893,7.056512,7.042353,7.341932,7.214759,7.366429,7.601259,6.959522,7.678865
"ABCC4",7.802093,8.469087,7.760203,7.345543,7.988852,8.214751,8.768705,7.610067,8.625728,8.141046,7.89344,8.49129,9.153677,8.615856
"ABCC5",8.057164,7.985555,8.030321,6.992737,8.062555,7.808642,7.760947,7.581432,7.76364,8.260069,8.30019,8.100584,7.493289,8.316744
"ABCC6",6.245211,6.0261925,6.037598,6.021466,6.2649815,5.964086,5.932509,5.9164705,5.5820675,5.963347,5.7434185,6.0553545,6.11845,6.3838075
"ABCC8",5.169003,5.290296,5.089899,5.253366,5.147985,5.089966,5.235586,5.185296,5.355197,5.216043,5.085767,4.981622,5.1272,5.213517
"ABCC9",3.694966,3.708143,3.620904,3.787693,3.677626,3.455277,3.483617,3.932095,3.741057,3.733253,3.487029,3.50545,3.462833,3.620904
"ABCD1",7.480565,7.577085,7.724549,7.150173,8.066774,7.511921,7.492185,7.713323,7.098803,7.536541,7.425343,7.80717,7.586268,7.869979
"ABCD2",8.519178,8.75795,8.728087,8.963667,8.794961,8.780481,8.880655,8.660068,9.117606,9.082726,8.926955,8.464347,8.995395,7.824498
"ABCD3",7.071054,7.178942,7.312757,7.217113,7.300258,7.450337,7.320082,7.34258,7.336117,7.29483,7.268678,7.224616,7.48416,7.320082
"ABCD4",7.132633,6.954566,6.95115,7.166272,7.042096,6.921599,6.896781,6.916951,6.961173,6.900589,7.202047,7.237175,6.779927,6.647832
"ABCE1",7.750183,7.497467,8.078824,8.115801,7.733494,8.028417,8.146556,8.200796,7.983485,7.980373,8.095472,7.579767,8.040869,7.59731
"ABCF1",7.09610235,7.2179892,7.093925575,6.886910075,7.036411275,7.12693995,7.3298413,7.304223175,7.0832911,7.01341545,7.197526225,7.3027474,7.2434783,7.03497425
"ABCF2",7.748759,7.721728,7.661898,7.323092,7.488674,7.412863,7.668896,7.474443,7.532461,7.482379,7.680568,7.518895,7.517919,7.510005
"ABCF3",8.033194,8.008253,7.996534,7.606438,7.601213,7.907024,7.752401,7.946041,7.67886,7.785772,8.109648,8.127763,7.791872,7.600163
"ABCG1",8.171577,7.593581,7.856279,6.864159,7.596802,7.309361,7.659569,7.397802,7.768611,7.693536,8.195227,7.898674,7.239488,8.392725
"ABCG2",5.615464,5.625452,5.129928,5.342156,5.341565,5.526505,5.823578,5.511277,7.088745,5.623791,5.261597,5.44381,7.33222,5.530818
"ABCG4",6.040723,6.298663,5.838844,6.172485,5.814672,5.792269,5.948307,5.662107,5.705946,6.337139,5.796957,5.489005,5.888453,6.18692
"ABCG5",4.495978,4.761598,4.566688,4.812449,4.234405,4.272262,4.301941,4.450432,4.457596,4.78263,4.362819,4.569839,4.499621,4.848488
"ABCG8",5.317065,5.300452,5.02035,5.275878,4.940542,5.331742,4.967626,5.289026,5.11832,5.530537,5.162466,4.887365,5.138273,5.118706
"ABHD1",5.642725,5.684102,5.602649,5.765135,5.762018,5.361495,5.426042,5.431618,5.536943,5.71613,5.525323,5.751482,5.276493,5.74194
"ABHD10",6.963734,6.587093,7.303172,7.259758,7.031415,7.085691,7.324403,7.294808,7.089797,6.586489,7.056316,7.085691,7.243552,6.909196
"ABHD11",7.352166,6.908734,7.21334,7.565926,7.552311,7.475783,7.398556,7.251898,7.290496,7.234734,7.411277,7.583207,7.421704,7.151943
"ABHD12",7.603406,7.745632,7.611482,7.669816,7.778727,7.444324,7.687763,7.610749,7.722748,7.725078,7.626339,7.861344,7.297774,7.589642
"ABHD12B",4.625593,4.303983,4.556173,4.375776,4.509074,4.641811,4.553548,4.619954,4.836456,4.585773,4.677704,4.767622,5.000582,4.823134
"ABHD13",9.220209,8.91291,9.550752,9.702401,9.491716,9.692252,9.755518,9.509234,9.651525,9.436049,9.363704,9.052311,9.460399,9.548985
"ABHD14A",8.531981,8.624685,8.232533,8.671884,8.596636,8.25601,8.348851,8.112947,8.406294,8.464624,8.71406,8.396946,8.444025,8.089407
"ABHD14A-ACY1",6.536285,6.651103,6.875728,6.624261,6.598033,6.51769,6.603341,6.642208,6.482985,6.75365,6.902979,6.620778,6.625795,6.518638
"ABHD14B",8.449392,8.412792,8.108261,8.534204,8.624252,8.134615,8.278151,8.26515,8.238433,8.367381,8.344464,8.222315,8.238898,8.029467
"ABHD15",7.466463,7.519694,7.53857,7.528911,7.465958,6.839051,7.301325,7.287142,6.994334,6.992196,7.383232,7.509322,7.320598,7.026921
"ABHD16A",8.402224,8.2151745,8.2788035,8.3132395,8.2407455,8.2906465,8.2054515,8.098761,8.366586,8.092623,8.368636,8.3795695,8.404456,8.4473205
"ABHD16B",5.67097,5.969275,5.804042,6.198084,5.880461,5.743276,5.679047,5.436174,5.667707,6.13435,5.629833,5.543877,6.050292,5.938893
"ABHD17A",6.716561,6.902769,6.622338,6.317752,6.162812,6.384701,6.159018,6.569705,6.204967,6.838741,6.491327,6.575861,6.393379,6.785564
"ABHD17AP4",7.114845,7.272125,7.193276,7.222897,7.090411,7.200953,7.523039,7.216523,7.316772,7.292095,7.197324,7.092697,7.172769,6.651272
"ABHD17AP6",9.7524495,9.57458925,9.18622425,9.71114175,9.5487885,9.24804175,9.52807925,9.06588475,9.19550575,9.222051,9.7495825,9.38884275,9.2903745,9.1761185
"ABHD17B",7.147964,7.208342,7.362573,7.230537,7.25091,7.347279,7.402677,7.473802,7.171032,7.240269,7.146713,7.201167,7.299782,7.334861
"ABHD17C",6.220259,6.206086,6.0974,6.204698,6.093391,6.148004,6.056972,6.085697,6.095371,6.27584,6.105091,5.847399,6.231862,5.95909
"ABHD18",8.361925,8.337292,8.58366,8.256531,8.435106,8.575148,8.674869,8.697169,8.649227,8.521471,8.627101,8.228,8.633413,8.550281
"ABHD2",10.68053,10.54497,10.59188,10.06434,10.67111,10.60649,10.13312,10.55597,10.36507,10.41603,10.55188,10.61758,10.27363,10.78283
"ABHD3",8.625263,8.708824,9.032308,9.007255,9.051763,8.838251,8.655869,8.803049,8.905858,8.944854,9.248869,8.910681,9.185302,8.962084
"ABHD4",9.020525,8.969275,9.221125,9.108162,9.139748,9.013588,9.146027,9.073953,9.122591,9.073778,9.15438,9.012907,8.811029,9.462207
"ABHD5",10.80255,10.62551,11.00718,10.52468,11.03962,11.0561,10.79808,10.94675,10.57919,10.83503,10.83503,10.66477,10.61671,11.09093
"ABHD6",7.590848,7.491519,7.803375,7.78439,7.709278,7.501223,7.502835,7.55876,7.211605,7.512671,7.55876,7.794715,7.788665,7.175451
"ABHD8",6.695048,6.734874,6.427876,6.63207,6.448566,6.212573,6.505165,6.56347,6.428137,6.464643,6.272285,6.50663,6.503644,6.823803
"ABI1",9.24758,9.240229,9.48966,9.598372,9.477779,9.561786,9.430897,9.410512,9.38832,9.417467,9.486648,9.133097,9.507369,9.487349
"ABI2",7.935299,7.724307,7.823047,7.722143,7.619697,7.921633,7.745255,7.80437,7.933926,7.666165,7.959127,7.975091,7.652733,7.469876
"ABI3",9.286971,9.042683,9.295685,9.426527,8.934806,8.785862,9.257441,8.975884,8.721038,8.895246,9.479305,9.104259,9.329843,8.511745
"ABI3BP",4.076209,4.557199,4.237049,4.305375,4.032788,3.798797,4.186069,4.206457,4.262434,4.406146,3.959906,3.860041,4.487345,4.466987
"ABITRAM",7.331031,8.236522,7.923621,8.142666,7.168206,7.871151,8.146737,8.074474,7.832173,7.830317,7.789359,7.313031,7.928932,7.823326
"ABL1",7.711814,7.680719,7.546154,7.31894,7.781204,7.470104,7.563986,7.766504,7.168852,7.321431,7.792952,7.814844,7.525525,7.280582
"ABL2",7.322763,7.242398,7.010641,7.180021,6.976372,7.175512,7.136001,7.422488,7.026001,7.035513,7.290071,7.266994,7.106288,6.993838
"ABLIM1",9.048265,8.974669,8.496856,8.695585,8.86579,8.750901,8.747901,9.077762,9.012476,8.701505,8.64838,9.284328,8.547576,8.124519
"ABLIM2",6.218684,6.48169,6.257133,6.227052,6.165006,6.140957,6.18248,5.966993,5.998749,6.382349,6.335845,6.182237,6.188541,5.886238
"ABLIM3",6.8967,6.7848,7.266938,6.52339,7.28617,6.948265,7.064978,6.808314,7.427327,6.743826,6.695316,7.268703,6.284318,7.702502
"ABO",6.626498,6.684007,5.930633,6.128574,7.16561,6.270363,6.486266,6.151483,6.37478,6.451107,6.420333,6.33999,6.215977,6.667048
"ABR",9.525739,9.541718,9.432096,9.015261,9.396578,9.208801,9.17268,9.221155,9.189159,9.349568,9.464315,9.502277,9.206697,9.348978
"ABRA",4.43059,4.509926,4.539267,4.70051,4.308738,4.577803,4.388941,4.565302,4.314863,4.437731,4.097363,4.277925,4.436587,4.39728
"ABRACL",6.758478,6.831085,6.484056,6.699992,6.551233,6.553479,6.777023,6.85473,7.323147,6.724408,6.996597,6.815676,7.229836,6.51971
"ABRAXAS1",7.426597,7.459239,7.963774,8.055712,7.651898,7.979764,7.883571,7.942565,7.998604,7.742927,7.806849,7.470006,7.730815,7.421237
"ABRAXAS2",8.212765,8.449797,8.530691,8.409782,8.171083,8.333304,8.58856,8.387507,8.260674,8.344255,8.376114,8.349174,8.517782,8.222251
"ABT1",7.387306,7.258775,7.377168,7.670745,7.367997,7.295237,7.511385,7.414678,7.374949,7.424796,7.339145,7.42281,7.395944,7.179918
"ABTB1",10.16894,10.03912,9.779465,9.80662,10.32081,10.23542,9.979929,9.864287,9.587635,10.2116,9.938181,10.18106,9.740042,10.40376
"ABTB2",6.336837,6.45083,6.7132,6.142763,6.578939,6.322762,6.776976,5.820178,6.311709,6.140177,6.3848,6.892019,6.294548,6.565378
"ACAA1",5.891997,5.821375,5.69985,5.590812,5.7317645,6.180023,5.9108385,6.4930165,5.757611,6.15108,5.6224645,5.967739,5.867257,6.035154
"ACAA2",6.545382,6.107359,7.150381,6.797327,6.824519,6.792903,6.771345,6.798207,6.377241,6.948209,7.229107,6.953306,7.146292,6.147047
"ACACA",6.722223,6.495821,6.518217,6.249154,6.369335,6.510055,6.387062,6.55501,6.448931,6.492719,6.705124,6.756459,6.675301,6.266443
"ACACB",7.44201,7.368709,6.90879,6.935082,7.313492,7.062502,7.296667,7.326164,6.997677,6.828026,7.294381,7.676736,6.494238,7.073227
"ACAD10",7.345916,7.224602,7.333013,7.02777,7.090997,7.374341,6.989672,7.467935,7.109874,7.200485,7.583831,7.531045,7.287397,7.335771
"ACAD8",8.337505,8.188416,8.24712,8.387928,8.288935,8.298656,8.198228,8.379915,8.35196,8.108994,8.356603,8.456777,8.174386,8.166969
"ACAD9",8.400871,8.466543,8.346655,8.455202,8.301795,8.051248,8.199606,8.407654,8.207884,8.257656,8.427514,8.636393,8.355521,8.12533
"ACADL",3.047762,3.013068,2.988889,3.060188,2.932565,2.951297,2.834499,2.912094,2.835967,3.131538,3.003082,3.16035,3.043747,2.942427
"ACADM",8.158403,8.567409,8.838545,9.094338,8.462223,8.848873,8.689057,8.834351,8.851445,8.542503,8.642343,8.021105,8.769778,8.053391
"ACADS",6.910169,6.881154,7.31525,7.172591,6.804516,7.001327,7.073729,6.882373,7.073729,7.180151,7.115193,7.11912,7.206669,6.910954
"ACADSB",7.146544,6.589483,7.135861,7.019964,7.178193,7.077138,7.376974,7.292201,6.97988,7.05641,7.282561,7.387411,7.1475,6.578579
"ACADVL",8.897856,8.660238,8.707685,8.776338,8.878748,9.019502,8.767464,8.693947,8.660292,8.753139,8.788203,9.059313,8.776338,8.69676
"ACAN",5.072015,4.970331,4.786702,4.961892,4.790555,4.987513,4.806947,4.866187,4.457096,4.982468,4.712428,4.895832,4.750183,5.280415
"ACAP1",7.63131,7.517159,7.101875,7.461055,7.37936,7.480483,7.347266,7.128986,7.246821,7.293221,7.48655,7.497391,7.191697,7.17402
"ACAP2",10.17353,10.22698,10.50071,10.26937,10.12304,10.45278,10.20229,10.49738,10.24859,10.45808,10.34223,10.15456,10.31914,10.44475
"ACAP3",6.633631,6.393877,6.478277,6.387107,6.61038,6.383369,6.217494,6.355529,6.386556,6.51929,6.59272,6.483566,6.503426,6.118439
"ACAT1",5.978452,6.087746,6.262221,6.24261,6.22121,6.508887,6.351146,6.370599,6.746843,6.153923,6.494273,6.036774,6.681709,6.026454
"ACAT2",6.199095,5.633219,5.911937,6.276358,5.934568,6.003304,6.451763,6.014432,6.220256,5.670014,6.404514,6.075429,6.238437,5.869941
"ACBD3",8.998632,8.999472,9.317309,9.348255,8.847401,9.299483,9.255888,9.222022,9.123052,9.164889,9.136768,8.901453,9.266862,9.311925
"ACBD4",6.798816,6.797636,6.381088,6.85455,6.646063,6.634357,6.510251,6.37628,6.406231,6.461809,6.765515,6.778937,6.557405,6.342508
"ACBD5",7.670155,7.641881,8.035187,8.141629,7.904673,8.165741,8.102272,8.096926,8.016441,8.049297,8.273439,7.718784,8.389416,8.097907
"ACBD6",6.330901,6.418495,6.785214,6.592801,6.392204,6.824418,6.656559,6.850578,6.563626,6.557683,6.857273,6.29715,6.465983,6.503943
"ACBD7",3.874206,4.187004,3.881235,3.541281,3.710957,3.989047,3.798966,3.6362,4.289865,3.940029,3.888258,4.049697,3.957695,3.573818
"ACCS",6.716197,6.860333,6.607109,6.703359,6.80219,6.521454,7.341941,6.341147,6.489747,6.998844,6.45329,6.949163,6.437806,7.214849
"ACCSL",4.894145,5.060693,4.776728,5.055441,4.710172,5.374651,4.884937,4.939535,4.898811,5.272199,4.898795,5.012608,4.674352,5.32892
"ACD",7.665635,7.395844,7.41133,7.633952,7.446321,7.099502,7.204956,7.339967,7.247301,7.387455,7.571126,7.729476,7.368192,7.409792
"ACE2",4.730674,4.942207,4.504741,4.608662,4.500289,4.869596,4.284184,4.359282,4.343958,4.527236,4.246915,4.564933,4.599934,4.513847
"ACER1",6.406561,6.511133,6.180305,6.341119,6.387906,6.034827,6.226694,5.97604,6.489639,6.368185,6.153794,6.025322,6.195697,6.268626
"ACER2",6.449251,6.593561,6.357634,6.435677,6.353614,6.399652,6.906213,6.953058,6.575763,6.360603,6.782552,7.062949,6.324437,6.43563
"ACER3",7.361195,7.448194,8.034328,7.497221,7.547604,7.673141,7.959915,7.993313,7.790646,7.775043,7.812914,7.619578,8.101946,8.160101
"ACHE",5.528231,5.922858,5.003593,5.369964,5.469267,5.17544,5.221563,5.304506,6.025548,5.706273,5.357277,4.919908,5.775034,5.133538
"ACIN1",9.53481,9.31932,9.530741,9.42126,9.327468,9.544855,9.499131,9.62628,9.378096,9.46251,9.556571,9.671336,9.488383,9.429837
"ACKR2",5.724886,5.656251,5.797164,5.3114,5.77915,5.849463,6.692965,6.238047,6.511437,5.849389,6.27892,6.086747,5.62781,6.206162
"ACKR3",6.12777,6.003169,5.783563,6.339463,5.855297,6.168837,6.096956,6.159529,5.783479,5.649041,5.992833,5.754567,5.985635,5.486659
"ACKR4",4.5944675,4.420196,4.634538,4.218829,4.3464095,4.3660335,4.6255215,4.4384085,4.644176,4.328455,4.5993725,4.006107,4.244965,4.3433915
"ACLY",9.771199,9.802568,9.707997,9.349942,9.513103,9.814879,9.367584,9.693801,9.605054,9.528196,9.844927,9.803949,9.621305,9.595901
"ACMSD",3.924901,4.055164,3.764307,4.196224,3.876319,3.832279,3.596299,3.5136,3.888094,4.056592,3.657294,3.630752,3.782819,4.26807
"ACO1",8.089569,8.253049,8.477843,7.893385,8.204188,7.920344,8.187633,7.85955,8.052468,7.971202,7.994094,8.159801,8.049427,7.920847
"ACO2",9.424715,9.491038,9.50034,9.444363,9.515166,9.254962,9.424819,9.483157,9.760115,9.437037,9.63446,9.64151,9.73006,9.494698
"ACOD1",3.233366,3.391071,2.949975,3.157709,3.299643,3.114088,3.173538,3.033437,3.249832,3.30511,3.169232,3.199064,2.943517,3.375842
"ACOT1",6.538476,6.539135,6.840702,6.437095,6.556269,6.763375,6.481283,6.420812,6.698189,6.416291,6.366219,6.7123,6.726182,6.59508
"ACOT11",5.966265,5.982092,5.920883,5.758124,5.972855,5.192991,5.760174,5.66874,5.772974,5.775829,5.610879,5.817625,5.227644,5.755012
"ACOT12",4.258517,4.518691,4.24436,4.316639,4.127357,4.025372,3.884074,3.955989,4.100966,4.248466,4.050688,4.118114,4.052578,4.29451
"ACOT13",7.715647,7.34774,7.704823,7.751675,7.819831,7.941153,7.857572,7.912713,7.993381,7.532093,7.643609,7.725567,8.19661,7.495386
"ACOT2",6.611354,6.584979,6.548368,6.733397,6.561024,6.621291,6.466135,6.435483,6.654228,6.52572,6.440129,6.666282,6.59378,6.204208
"ACOT4",4.322167,4.276804,4.498254,4.43523,4.175529,4.796842,4.234592,4.496459,4.384347,4.325048,4.679785,4.209181,4.286154,4.396807
"ACOT6",4.413581,4.462788,4.483586,4.504437,4.481573,4.213205,4.156665,4.483589,4.405453,4.445652,4.140908,4.053379,4.495589,4.574924
