"","GSM1923000","GSM1923004","GSM1923010","GSM1923012","GSM1923007","GSM1923020","GSM192998","GSM1922995","GSM1923002","GSM1923008","GSM1923015","GSM1923018","GSM1923022","GSM1923017"
"HERPUD2",10.51561,10.4501,10.43142,10.46285,10.47905,10.45979,10.21005,10.2536,10.40214,10.35585,10.57431,10.25179,10.50706,10.55186
"HES1",7.107892,7.102571,6.844204,7.293576,6.789964,6.838347,7.074817,6.902128,6.824745,6.521838,6.750582,7.075496,6.548096,6.901367
"HES2",5.382431,5.332941,5.129894,5.349297,5.179246,5.52854,5.100136,4.801686,4.927663,5.331276,4.674285,5.03346,5.235582,5.398379
"HES3",4.63308,5.38665,4.488788,4.971042,4.851041,5.062135,4.997113,5.096805,4.619183,4.980043,4.551317,4.61179,4.802381,5.121662
"HES4",6.899614,6.84188,6.574504,6.645261,6.52482,6.571505,6.645261,6.468086,6.635493,6.753517,6.350993,6.845396,6.673816,6.897146
"HES5",6.280249,6.578353,6.037925,6.265933,6.159907,6.0286,6.137513,6.027777,6.070015,6.265911,5.991443,5.939702,6.034212,6.248785
"HES6",5.811879,5.948766,5.819939,6.209079,5.676462,5.728086,5.686181,5.755374,5.956531,5.822316,5.623114,5.772148,6.05411,6.021179
"HES7",5.320589,5.386652,5.276311,5.532611,5.16136,5.511433,5.225618,5.320093,5.07348,5.47733,5.226706,5.326784,5.299196,5.368156
"HESX1",3.584857,3.632667,4.062318,3.635068,3.683608,3.309208,3.358772,3.63524,3.573129,3.667687,3.545004,3.656238,3.609689,3.619998
"HEXA",8.29284,8.018109,8.177824,8.064331,8.432631,7.988586,8.316601,8.203763,7.798305,7.868924,8.326291,8.47826,8.119061,7.892363
"HEXA-AS1",5.227967,4.708152,5.262547,5.596757,5.254431,5.806673,5.37816,5.306228,5.319024,5.087554,5.406447,5.162099,5.285138,5.686355
"HEXB",8.912161,9.045024,9.347701,9.007374,9.165835,9.077497,8.961805,9.128438,9.016044,9.011511,8.952306,9.035711,9.143433,9.426197
"HEXD",6.988277,6.837086,6.827463,6.915992,7.047668,6.994365,6.592099,6.47472,6.783775,6.941963,6.86419,7.251761,6.735194,7.009329
"HEXIM1",7.954051,8.276514,8.085099,8.190639,8.191164,8.554274,8.480313,8.20434,8.513061,8.294685,8.096395,8.402762,8.644194,8.534191
"HEXIM2",6.895681,6.74104,6.967229,6.743696,6.836904,7.038696,7.073073,6.92304,6.601233,6.832295,6.657269,6.85657,6.509533,6.825759
"HEY1",4.848506,4.65319,4.916808,4.911773,4.620241,4.859242,4.882634,4.899426,4.767159,5.270948,5.067384,5.689037,4.779914,5.587815
"HEY2",5.644673,5.455096,5.214216,5.280469,5.08925,5.237982,5.315,5.450749,5.121184,5.2767,5.787582,5.181413,5.504858,5.231063
"HEYL",5.670055,6.257801,5.617009,5.848705,5.978417,5.505003,5.199425,5.306234,5.616622,5.840908,5.520905,5.596395,5.929797,5.811257
"HFE",5.295062,5.419927,5.412784,5.451993,5.397101,5.305857,5.526827,5.574508,5.333359,5.521629,5.583442,5.406758,5.460238,5.653665
"HFM1",2.41043,2.495938,2.6535925,2.522358,2.480783,2.353084,2.4234845,2.318878,2.587615,2.4255405,2.482105,2.3971075,2.606773,2.3935875
"HGD",5.533714,5.476854,5.876564,5.508698,5.61567,5.696726,5.428382,5.675274,5.61567,5.440994,5.61567,5.75569,5.284272,5.751531
