,Posttreatment_Placebo1,Posttreatment_Placebo2,Posttreatment_Placebo3,Posttreatment_Placebo4,Posttreatment_Placebo5,Posttreatment_Placebo6,Posttreatment_Placebo7
ID_REF,GSM1923001,GSM1923005,GSM1923011,GSM1923013,GSM1923021,GSM1923006,GSM1923014
7993973,8.090166,8.263978,8.047822,8.050004,7.863354,8.038761,8.213867
8169492,3.885963,3.547275,3.60864,3.341614,3.408506,3.72231,3.438584
8126358,3.840623,3.714683,3.786141,3.799557,3.924819,3.804285,3.560981
8131337,5.686854,5.101292,5.65034,6.259519,5.681758,6.33414,6.148299
7927536,11.76255,12.05378,11.5787,11.89803,11.8166,11.65664,11.78917
8097262,7.89755,7.998821,7.842055,7.851548,7.663428,7.771481,7.879638
7960052,6.143387,7.0146,6.354666,6.753415,7.578956,6.922586,6.283822
8091352,6.588655,6.554065,6.138071,6.542748,6.520402,6.639562,6.107782
8034905,4.085704,3.984942,4.413141,3.941405,3.817705,3.954673,4.054367
8118580,9.905342,9.8723,9.866116,9.851509,9.866031,9.895003,9.968596
7967463,6.572226,6.408829,6.653749,6.569632,6.966922,6.590479,6.904715
8170237,5.873448,5.596894,5.996494,5.642312,5.560024,5.759135,5.642312
7957606,6.202043,6.305459,5.984647,5.951999,6.075032,5.860748,6.238719
8136063,3.344238,3.344238,3.305362,3.724557,3.461609,3.59482,3.327465
7911371,5.600782,5.550942,5.778677,5.810965,5.461411,5.641711,5.666309
7923037,4.746461,4.407707,5.191589,4.448213,4.694025,5.114546,4.537688
8036284,4.940493,5.074687,5.301086,4.504557,4.961649,4.846661,4.74396
7908841,8.978914,8.62571,8.731123,8.656313,8.920808,8.713407,8.651478
7918359,7.697722,7.919785,7.262905,7.674294,7.593621,7.763938,8.214517
8139792,2.286338,2.494141,2.416899,2.332948,2.355853,2.284473,2.352988
8159017,5.328146,5.084978,5.398569,5.229658,5.219156,5.310512,5.237296
8026877,5.514606,5.221768,5.144526,5.105696,5.199569,5.212257,5.267753
8149361,5.254478,5.308722,5.228883,5.493243,5.135783,5.585855,5.50927
7958275,7.084791,7.291496,7.16029,7.12593,7.040816,7.154676,7.186796
8043489,5.164599,4.919686,4.752426,4.95396,4.891097,4.934336,4.948553
7990078,3.365541,3.471157,3.502851,3.557874,3.267109,3.588268,3.577519
7907966,4.227636,3.970132,4.18834,3.730724,3.50177,4.133657,4.470794
8063531,5.621077,5.454593,5.496439,5.103097,5.760132,5.021535,5.488713
7920852,8.921942,8.948403,8.822347,8.950247,9.022662,9.024887,9.051967
8094391,5.015093,5.074201,5.044264,5.444609,5.433383,5.103738,5.717221
8049737,5.479066,5.224737,5.581269,5.096281,5.310484,5.433177,5.428185
