,Posttreatment_Placebo1,Posttreatment_Placebo2,Posttreatment_Placebo3,Posttreatment_Placebo4,Posttreatment_Placebo5,Posttreatment_Placebo6,Posttreatment_Placebo7
ID_REF,GSM1923001,GSM1923005,GSM1923011,GSM1923013,GSM1923021,GSM1923006,GSM1923014
7892501,2.596327,4.308085,3.514315,3.929913,2.745972,4.208373,4.209341
7892502,4.789131,5.230508,5.151532,5.460957,4.744548,5.216757,4.794198
7892503,3.782462,4.138203,3.930251,4.301493,3.912466,4.972081,4.134669
7892504,8.360268,7.99641,8.065821,8.318542,7.994679,8.232096,8.236208
7892505,2.762295,3.628937,2.184855,3.167063,4.354055,3.027877,2.516105
7892506,6.594969,7.31614,6.159986,6.531276,6.723202,7.062873,6.975959
7892507,7.171903,7.074036,6.306791,6.936056,6.308205,6.987814,6.92306
7892508,8.030111,7.953736,7.963452,7.700506,7.687822,7.448742,7.8406
7892509,8.996678,9.275351,8.997667,9.012632,9.048354,8.73594,9.054478
7892510,6.442986,6.601269,6.699342,6.869249,6.316939,6.572021,7.065983
7892511,5.647854,4.963941,5.676011,5.756888,5.621089,5.302642,5.287895
7892512,7.202007,6.961733,6.712854,6.967602,6.640996,6.583481,6.748216
7892513,4.002998,4.84777,4.22188,5.032534,3.404377,5.469022,5.113771
7892514,9.658089,9.80053,9.968531,9.735291,9.931128,9.849642,9.830088
7892515,8.656742,8.545628,8.773014,8.169386,8.561263,8.571799,8.730375
7892516,4.986949,5.087113,5.040341,6.242861,3.529422,4.307272,5.353375
7892517,8.352385,8.200742,7.951138,8.265882,8.104633,8.490617,8.482152
7892518,4.688686,4.9744,3.580739,5.418999,4.28635,3.505715,5.226012
7892519,4.401623,4.716386,5.026052,4.373657,4.328042,4.477493,4.82077
7892520,9.500739,9.144766,9.313373,9.107885,9.290921,9.462702,9.255682
7892521,9.283687,9.515088,9.46598,9.487616,9.4834,9.595179,9.357396
7892522,7.23247,7.704199,7.371124,7.640877,7.852388,7.597138,7.563471
7892524,5.905684,6.144125,6.828627,6.242975,6.78706,6.003922,6.359607
7892525,7.390916,7.537058,7.322777,7.348108,7.494899,7.507032,7.453376
7892526,6.741009,6.250159,6.488399,7.425379,5.982949,6.744174,5.744044
7892527,8.590049,8.70193,8.476687,8.176969,8.667217,8.652798,8.507042
7892528,2.155145,2.066695,1.993019,2.787969,2.714235,2.452862,2.455964
7892529,6.054476,6.419191,5.826778,6.142815,6.519015,5.445017,6.265922
7892530,8.027979,7.876502,7.889113,8.205488,7.947371,8.280586,8.059234
7892531,7.03817,7.548575,7.415877,7.464593,7.78615,7.433843,7.768331
7892532,4.583169,3.402816,4.571223,4.664905,4.537399,4.857054,4.073455
7892533,5.632699,4.161012,5.047242,6.378671,5.799519,5.730977,6.246106
7892534,7.592522,7.731515,7.333079,7.730428,7.583712,7.723721,7.802336
7892535,6.846384,6.716644,6.716644,6.324456,6.79579,6.65331,6.557268
7892536,10.80257,11.31127,11.05411,11.27087,11.23545,11.3021,10.94858
7892537,3.620317,3.849056,2.856227,3.367034,5.288398,3.119136,3.653301
7892538,6.405302,6.218901,5.734296,6.066282,5.576173,6.290119,5.614249
7892539,7.080485,7.345453,6.558293,7.176252,6.687526,7.326366,7.183837
7892540,7.203646,7.075519,6.817689,7.264132,7.205773,7.158461,7.23664
7892541,8.939268,9.219637,8.3751,9.174191,9.302322,9.149431,9.000454
7892542,9.830532,9.369886,9.550806,9.280073,9.097792,9.384149,9.527531
7892543,7.207222,6.667397,7.406607,6.903749,6.986388,6.541423,6.700375
7892544,5.746203,4.812674,5.677581,5.907478,5.216461,5.658235,5.532741
7892545,5.831822,5.965837,5.548005,5.220321,5.783796,5.774737,5.666282
7892547,6.387262,6.379223,6.042584,6.17627,5.957617,5.493469,5.907529
7892548,8.458058,8.738393,8.600875,8.746151,8.182179,8.532119,8.516131
7892549,6.991876,7.207193,7.274393,7.59481,7.740517,7.231715,7.11487
7892550,5.82538,5.625554,5.736344,5.793219,5.524083,6.153228,5.115376
7892551,10.51103,10.47594,10.478,10.36839,10.46574,10.45054,10.31489
7892552,5.841467,5.918065,4.908875,5.861818,5.694637,5.856534,4.947214
7892553,6.474715,5.613649,5.423506,6.69386,6.232731,6.068581,5.966935
7892554,5.217937,5.129479,5.575139,4.402783,4.612544,3.905386,4.536649
7892555,8.190551,8.229723,7.924128,8.200703,8.356296,8.355757,7.975613
7892556,12.2396,12.35845,12.27915,12.22141,12.03826,12.12054,12.2495
7892557,4.641953,3.81997,4.188149,4.341665,5.047316,4.299946,4.310996
7892558,6.143811,6.04347,4.613062,5.915811,5.257463,5.772364,4.976361
7892559,7.106096,6.137448,6.860418,6.524045,6.84267,6.7009,6.755228
7892560,4.413815,5.823348,5.472751,4.222557,5.028266,5.083361,5.453086
7892561,11.26488,11.35809,11.49203,11.45294,11.44347,11.26479,11.37624
7892562,7.266434,7.129679,7.456473,7.14383,7.107502,7.402832,7.668884
7892563,7.468812,7.30849,7.715106,7.429891,7.923068,7.879947,7.85865
7892564,12.25595,12.31982,12.06871,12.1902,12.39636,12.12788,12.49851
7892565,6.491452,6.177637,6.528612,6.695245,6.617859,5.941679,6.721862
7892566,5.889043,5.022954,4.956443,4.839949,5.642734,5.564017,5.075877
7892567,6.743683,7.069173,6.881107,6.834767,6.297618,6.903589,7.006227
7892568,10.95116,11.12915,11.45546,11.05595,10.58628,10.77481,10.86766
7892569,9.859662,10.62866,9.851982,10.27673,10.68851,10.48807,10.29509
7892570,6.6292,6.848102,6.525486,6.712245,6.422523,6.612151,7.215816
7892571,4.913566,4.622267,5.043894,4.299796,4.844854,5.007132,4.441846
7892572,6.567794,6.891916,6.402978,6.611695,6.47017,7.151521,6.338048
7892573,7.20987,7.678182,7.056802,7.325172,7.607226,7.216435,7.618625
7892574,10.88811,10.91418,11.12747,10.94287,10.91323,10.79023,11.17134
7892575,8.888187,8.938309,8.438471,8.89674,8.491266,8.809807,8.60002
7892576,5.435958,4.80086,4.768253,5.055394,5.233683,5.749828,5.967032
7892577,3.887673,4.766342,3.594313,3.66378,3.91273,3.607227,3.847111
7892578,4.233535,4.786615,4.971671,4.738053,4.873034,5.17312,4.393626
7892579,9.646841,10.24109,9.761002,9.852154,10.05357,9.91667,9.819657
7892580,3.892865,3.874056,3.917692,4.115816,3.93228,3.708536,4.254143
7892581,4.488949,5.627964,4.484914,4.168324,4.098291,4.416172,4.088017
7892582,3.822414,3.175817,3.256634,3.016362,3.694659,3.270755,3.656186
7892583,6.260713,5.333219,5.915608,6.064048,6.000245,6.371746,6.279918
7892584,5.149542,6.155411,4.770304,4.463352,4.637698,5.786526,5.158882
7892585,4.891607,5.205152,4.95222,5.138296,5.5677,5.599375,5.073094
7892586,3.032651,3.899515,2.45806,2.718496,2.770494,3.456136,2.57395
7892587,6.656812,7.075602,6.745986,6.022108,7.198393,6.117285,5.946897
7892588,2.576344,3.360198,2.567089,2.052061,2.497874,2.285197,2.44813
7892589,8.540644,7.818923,7.426541,8.351019,7.233114,8.091749,7.862592
7892590,4.451914,5.773572,4.879984,4.33772,3.460793,4.81563,5.115314
7892591,2.99687,3.10049,2.692899,2.624171,3.728785,3.932803,2.789767
7892592,6.935733,7.137995,6.628651,6.518033,6.978126,6.622373,6.546707
7892593,4.325211,3.505361,3.85987,3.230896,3.986073,4.357216,3.636338
7892594,4.591602,4.473183,4.112776,5.022946,3.683156,4.211995,4.692101
7892595,4.757073,5.689848,4.180486,4.891624,5.676188,4.602041,4.922305
7892596,4.405074,5.024035,5.429843,3.992953,4.104342,4.800282,4.341522
7892597,6.161818,6.144285,6.120567,5.468461,6.257004,5.24768,6.281195
7892598,9.266563,9.234631,9.483383,9.401568,9.146222,9.372424,9.76313
7892599,10.6642,10.92785,10.80292,10.91749,10.76892,10.72992,10.98942
7892600,2.857105,2.776766,3.192313,4.419463,3.130222,4.548486,3.585391
7892601,5.33687,5.051163,5.264873,5.165805,5.200841,5.231752,5.169786
7892602,3.137015,2.778558,3.308841,3.527807,3.886042,2.923599,3.285773
7892603,7.25237,7.151601,6.638367,6.233635,7.161229,7.347991,7.599495
7892604,6.837913,6.48993,6.668656,6.286598,6.619416,6.374557,6.567579
7892605,8.198668,8.903986,8.657973,9.43166,7.97512,8.648529,8.614075
7892606,11.78152,11.41214,11.65541,11.33563,11.36734,11.45414,11.5999
7892608,8.591607,8.550461,8.560611,8.073308,8.439182,8.47887,8.723314
7892609,3.257538,5.331456,4.891097,3.002369,5.310512,4.065721,5.88781
7892610,5.051693,5.884477,4.181272,6.456425,6.489491,6.022693,3.960046
7892611,2.198244,2.246156,2.110713,2.203458,1.970133,2.056643,1.962034
7892612,5.561192,5.904735,4.620885,5.361542,5.404026,4.977446,5.398622
7892613,9.724535,9.488561,9.608943,9.472117,9.837635,9.621851,9.606663
7892614,3.711545,5.265545,4.687886,4.227047,5.487329,4.19907,5.386147
7892615,5.048201,5.914076,6.25319,6.307382,6.976199,5.189955,6.227042
7892616,2.623714,2.571992,2.336883,2.236278,3.040954,2.372097,2.591662
7892617,11.74546,11.45529,11.64429,11.6201,11.68071,11.49256,11.81129
7892618,6.679964,7.133564,6.919461,6.810914,6.605577,6.616987,6.832638
7892619,5.563481,5.929774,6.134595,6.545269,6.092209,5.447854,6.143486
7892620,11.49628,11.36794,11.59184,11.45957,11.39088,11.52329,11.49068
7892621,11.751,11.90496,11.82397,12.02177,11.92092,11.77782,11.67083
7892622,9.778592,10.24121,9.955931,10.06712,10.06806,10.07967,10.04375
7892623,10.01431,10.07305,9.888792,10.00402,9.834833,9.974228,10.19973
7892624,4.696372,4.505308,3.780838,5.650407,4.946594,4.254218,3.979475
7892625,6.935863,7.269256,7.018829,7.099588,7.384805,6.780522,7.513781
7892626,6.938417,7.101037,6.129438,6.226041,6.079669,6.080677,5.985413
7892627,7.692728,7.638048,7.674518,7.236414,6.809201,7.808691,7.548218
7892628,9.878059,10.19417,9.968371,10.38079,9.887722,10.26871,10.39404
7892629,6.022488,6.823421,6.28593,6.826697,5.906285,6.746295,6.132759
7892630,9.950472,9.890856,10.34864,9.989013,10.2749,9.828349,10.0631
7892631,2.436278,2.854908,2.1949,2.673578,2.539451,2.691812,2.497794
7892632,6.059932,4.892806,5.932027,6.402836,6.237066,6.436686,6.8129
7892633,8.578158,8.403698,8.397886,8.395912,8.609453,8.840643,8.669114
7892634,8.970233,8.694086,8.850949,8.174792,8.629652,8.767323,9.100877
7892635,8.147313,7.932178,8.255867,8.100505,7.805178,7.825272,7.875395
7892636,7.290177,7.311719,7.057891,7.114758,7.092299,7.33533,7.581079
7892637,7.948249,8.44865,7.949718,8.086963,8.229241,8.127674,8.323361
7892638,1.91735,2.408463,2.020888,2.824922,2.03182,2.705529,2.316661
7892639,10.58603,10.47684,10.48747,10.46551,10.46841,10.54106,10.54638
7892640,11.58236,11.95278,11.50297,11.94417,11.77198,11.71669,11.62121
7892641,6.583023,6.278197,6.336053,6.178596,5.76945,6.212142,6.310392
7892642,9.067531,8.391145,8.799884,8.508252,8.818243,8.862559,8.824669
7892643,6.912217,7.727616,6.834428,7.747058,8.528024,8.401846,7.300781
7892644,8.129703,8.419433,8.340225,7.798558,8.012064,8.096853,8.186932
7892645,3.113566,2.965883,3.228786,2.951053,2.981053,2.645029,3.149518
7892646,2.975834,2.24396,1.850965,3.367863,2.620012,1.933664,4.067993
7892647,9.042988,9.07745,8.482027,9.068327,8.800999,8.948527,9.020048
7892648,9.927851,9.807309,9.693562,9.694451,9.335505,9.58136,10.06603
7892649,5.219624,4.861423,5.484471,5.532775,5.216228,5.438164,5.607852
7892650,11.33575,11.77999,11.43611,11.66478,12.14966,12.24414,11.47964
7892651,3.448059,2.514876,2.777431,2.809092,3.882612,3.168699,2.705664
7892652,10.52013,10.56009,10.51897,10.44318,10.40066,10.48947,10.72608
7892653,3.117078,3.603649,3.418121,3.782809,3.315753,3.272237,3.566327
7892654,8.368808,8.104948,8.160011,8.078476,8.076251,7.655378,8.168552
7892655,3.234202,3.65952,2.64131,3.071258,3.363038,3.330154,2.899333
7892656,5.602408,5.782516,5.307031,6.09425,6.600099,5.966786,6.25007
7892657,2.178488,2.549716,2.18209,2.584373,2.506042,2.820281,2.525198
7892658,3.445293,4.479372,4.097603,5.161601,3.954781,3.869708,4.816213
7892659,4.790228,4.869217,4.70918,4.633951,3.981071,4.752003,4.845843
7892660,1.717204,1.884277,1.800645,2.116559,1.578271,2.185005,1.875405
7892661,11.57518,11.40735,11.1776,11.50793,11.55691,11.43376,11.40272
7892662,10.70214,11.10494,10.61127,11.07634,11.35095,11.08763,11.06345
7892663,11.45091,11.66514,11.68336,11.81434,11.64801,11.53205,11.69434
7892664,6.033178,6.612458,6.412661,6.193567,6.253166,6.049066,6.136965
7892665,6.585071,6.997884,7.050619,7.279495,7.009935,6.90864,6.760339
7892666,3.84906,4.150218,3.965838,4.339591,4.297576,4.655355,4.069265
7892667,7.19298,7.53931,7.220771,6.813808,6.784432,7.232487,7.735873
7892668,10.52833,10.60158,10.52137,10.64277,10.02562,10.60915,10.47146
7892669,7.591938,6.334911,6.497809,6.382769,5.875353,6.770699,6.1683
7892670,8.334547,8.52232,8.62189,8.584405,8.555037,8.561889,8.712816
7892671,5.994437,6.255172,6.266245,6.675046,6.582163,5.810648,5.882412
7892672,8.57303,8.333752,8.144823,7.85795,8.352329,7.902894,8.256441
7892673,6.371165,6.023272,5.941659,5.557089,6.34042,5.926731,6.603509
7892674,7.528234,7.444296,7.206109,8.031787,7.181198,7.597859,8.081164
7892675,7.968593,7.504573,7.883076,8.002816,6.262711,7.395329,7.588439
7892676,3.744776,3.931215,3.135538,4.954139,4.305116,3.827277,3.396441
7892677,10.4279,10.11824,10.26722,10.05169,10.43566,10.22751,10.17931
7892678,6.92971,7.415629,7.923137,7.513129,8.104986,7.393471,7.591205
7892679,5.403318,6.035287,6.465004,6.386458,6.235029,6.610698,6.152225
7892680,8.000423,7.940394,7.549885,7.631621,9.107623,8.772174,7.429093
7892681,6.817535,6.803571,7.143436,7.030087,6.487182,6.715866,6.813241
7892682,2.858658,4.415094,2.471161,2.391213,3.554162,2.298783,2.837029
7892683,5.912355,6.012825,6.048008,4.554211,6.521805,6.419686,6.457979
7892684,9.325582,9.60387,9.726819,9.954898,9.39741,9.665278,9.490161
7892685,5.848137,6.552713,6.234782,5.678431,5.889712,6.803008,6.478721
7892686,7.364494,6.837919,6.905288,6.800291,7.124553,6.910234,7.078197
7892687,7.656625,7.192231,6.933427,7.341702,7.5057,7.570251,7.397595
7892688,9.123782,9.381763,9.378409,9.512032,9.16492,9.313713,9.674595
7892689,5.65565,5.512924,5.510623,4.8436,6.362937,5.513241,5.231079
7892690,4.555066,5.461668,5.035796,4.645518,4.046636,3.857152,4.588573
7892691,2.258858,2.023059,2.532245,2.612507,2.154964,2.422464,2.226359
7892692,8.505217,8.437044,8.479636,8.666307,8.567259,8.500822,8.733133
7892693,6.949658,6.871868,6.827702,6.62877,6.411086,6.907393,7.131846
7892694,7.860023,7.465042,7.753758,7.330792,7.957801,8.074621,7.840738
7892695,5.808091,6.272182,6.461166,5.636159,6.042853,6.113035,5.871876
7892696,7.059382,6.911627,7.052674,6.967985,6.853296,7.095211,6.827766
7892697,6.943889,7.199163,6.943538,7.683041,7.580414,6.729714,7.339348
7892698,1.8712,1.947767,1.896332,1.985754,1.965525,1.938817,1.930218
7892699,6.693912,6.992819,7.057378,6.981565,7.368526,7.146238,7.020137
7892700,6.04528,6.224779,6.155017,5.995187,6.594813,6.689649,6.010384
7892701,12.13435,12.07959,12.25162,12.25059,12.09219,12.06414,12.22336
7892702,5.775432,5.325383,5.475615,5.895154,5.132755,4.116038,4.720708
7892703,6.514897,6.730552,6.767825,7.187779,6.684045,7.063053,7.040723
7892704,12.63573,12.76794,12.81939,12.80437,12.85616,12.80061,12.78122
7892705,8.363644,8.727819,8.661803,8.185352,8.272586,8.314522,8.367384
7892706,7.969958,8.686157,8.44358,8.53231,8.644607,8.323331,8.682999
7892707,11.09786,11.11278,11.17823,10.942,11.11218,10.72722,10.79891
7892708,5.530111,5.2133,5.818709,5.965508,5.256278,5.164021,5.906926
7892709,2.539475,3.023557,3.084229,3.485038,3.130724,2.824082,2.140565
7892710,2.89746,4.2109,4.697532,5.234882,2.735899,6.139002,4.758932
7892711,8.125971,7.902747,8.169924,7.625852,7.591185,7.128595,6.951314
7892712,7.049979,7.00597,6.572439,6.869445,6.665094,7.065149,7.226087
7892713,9.220432,8.932232,8.856915,9.283812,9.234038,9.103249,9.180423
7892714,3.226028,5.094938,3.620268,4.999841,4.984376,3.310472,4.862028
7892715,4.183074,5.29342,5.872816,5.52296,4.540895,4.864783,3.787344
7892716,6.846641,7.444296,6.772055,7.008975,7.426074,7.398329,7.111575
7892717,6.260937,6.823704,5.89016,6.565471,6.660348,6.38051,7.115367
7892718,4.005185,5.486669,4.815049,4.725372,4.734156,3.868774,5.360082
7892719,9.409994,8.998384,9.148394,8.739867,8.911557,9.006988,9.085836
7892720,7.809739,7.613181,7.587735,7.634194,7.637653,8.01171,7.803265
7892721,8.524963,8.329539,8.347779,8.21602,8.434297,8.165566,8.48449
7892722,1.901285,1.859518,1.684007,2.355816,2.890999,3.252463,1.606706
7892723,4.958331,5.436338,4.289149,5.593172,4.620658,5.525317,5.377464
7892724,7.452202,7.054175,7.281414,6.517369,7.122396,7.028221,6.520088
7892725,4.288399,5.816657,4.48092,4.417334,2.789395,4.411956,5.166857
7892726,4.746598,5.454379,4.945163,5.209326,5.760417,4.966329,5.534701
7892727,6.805457,6.477416,6.179724,6.293433,6.605964,6.351877,6.585401
7892728,5.627505,4.895288,5.245897,5.206339,4.5948,4.156694,5.538524
7892729,5.307707,6.647324,5.892922,5.99358,5.87592,6.131797,5.388824
7892730,4.111376,5.435419,4.789029,3.824355,5.074696,5.136928,5.528643
7892731,7.343442,7.522804,7.137867,7.244482,7.177931,7.101101,7.866017
7892732,6.960228,6.960228,6.622843,6.959429,7.048934,5.425303,6.68024
7892733,4.165053,5.490911,3.916224,4.375722,5.631111,4.257186,3.642375
7892734,5.688784,6.824075,6.548006,6.674712,5.958505,6.336763,5.611175
7892735,6.61417,6.405371,5.338777,5.990926,5.775414,5.514032,6.035925
7892736,6.052094,6.864487,6.501852,5.967708,5.996448,6.656227,5.873813
7892737,4.296819,5.336605,4.69362,4.681063,4.228466,4.182731,4.100618
7892738,9.375917,9.524902,9.28215,8.895153,8.921795,8.875799,9.343545
7892739,5.536856,5.483848,5.316977,6.587046,5.831081,4.730348,5.851609
7892740,5.699817,6.286084,5.075803,2.791375,4.529262,4.996737,5.328983
7892741,8.291273,8.507351,8.553399,7.928495,8.154643,8.604027,8.408839
7892742,8.248712,8.114347,7.906581,8.083166,8.161545,8.773705,8.436224
7892743,2.908159,3.319141,2.492286,2.034021,2.259493,2.215328,2.592942
7892744,8.101218,8.991284,8.181635,8.750281,8.529238,8.568817,8.042143
7892745,8.38098,8.553948,8.519723,8.655994,8.70419,8.296114,8.635337
7892746,2.247848,2.105446,2.077907,3.80576,1.817939,2.148914,2.75305
7892747,7.388095,7.426618,7.929515,7.356084,7.930996,7.534747,7.083323
7892748,9.333444,9.175443,9.300985,8.814842,9.052037,9.152014,9.042473
7892749,7.531282,7.839969,7.18555,7.894645,7.895038,7.550402,7.389471
7892750,5.160407,5.873203,5.156647,5.52424,4.827381,5.594195,5.670005
7892751,8.154368,7.487866,8.021967,7.119093,7.438373,7.573061,7.407589
7892752,4.127428,4.705809,3.04004,3.777301,3.865076,3.704854,4.489173
7892753,12.79024,12.70894,12.81299,12.53796,12.64447,12.73484,12.80919
7892754,5.950116,5.777406,5.032081,6.211531,6.624256,6.458264,5.906665
7892755,4.509439,4.864032,3.936752,4.083925,3.045552,4.804317,3.615895
7892756,1.954633,1.994077,1.969508,2.029685,1.990033,1.979906,1.948409
7892757,7.475628,7.914478,7.350706,8.340023,7.852452,8.190207,7.62597
7892758,7.547871,7.960667,7.774637,7.92107,7.760351,7.680419,7.858259
7892759,7.864543,7.407343,7.702796,7.001812,7.685622,6.767986,6.998824
7892760,5.874093,6.249586,5.367613,5.974766,6.219323,6.546115,5.789446
7892761,5.747678,6.150421,6.24782,6.255288,6.084219,6.664179,6.330083
7892762,11.80107,11.8591,12.08019,12.04124,11.85552,11.89877,12.0533
7892763,8.891346,8.976286,8.801495,8.794756,8.915727,8.866554,8.941038
7892764,10.5965,10.40005,10.72357,10.07034,10.34093,10.33558,10.44334
7892765,9.058622,9.077329,9.188403,8.892498,9.056366,9.206357,9.206635
7892766,11.86281,11.96544,11.81567,12.11381,11.85869,11.98138,12.05393
7892767,3.071899,3.012028,3.505961,3.282425,3.140645,3.826679,3.640312
7892768,4.883043,5.948318,4.710312,5.249902,5.206663,5.383123,5.864448
7892769,2.265935,2.522395,2.017428,4.502314,2.909747,3.37697,3.214519
7892770,11.38741,12.28672,11.20427,11.60941,11.66925,11.572,11.37512
7892771,10.4486,10.59142,10.39845,10.42511,10.4206,10.45923,10.52112
7892772,5.578144,5.884888,5.679284,5.812759,6.471251,5.932224,5.694834
7892773,8.426391,8.421278,8.43434,8.223231,8.008994,8.341841,8.447616
7892774,7.441695,7.052701,7.298174,7.319237,7.60212,7.537185,7.886108
7892775,7.960647,8.043371,8.054193,7.563784,8.068854,7.661722,7.923403
7892776,10.82666,10.37238,11.15574,11.27304,10.98995,10.80434,11.14918
7892777,6.241521,6.347498,6.691914,5.809412,5.965996,5.915481,6.752793
7892778,7.475996,7.125711,7.362738,7.425158,7.534266,7.6508,7.157891
7892779,5.67905,6.76616,5.552601,6.192567,6.549902,6.21876,4.980055
7892780,5.368824,5.98997,6.012676,5.55155,5.502961,5.596248,5.227342
7892781,5.993385,5.607087,4.822889,4.696203,5.907275,5.180245,5.916975
7892782,11.5957,11.56896,11.51808,11.3574,11.55045,11.50631,11.54171
7892783,7.936015,7.884393,8.514607,8.228828,8.384001,7.925079,8.162352
7892784,5.367779,6.554245,5.472119,6.451931,5.79591,5.967965,6.999226
7892785,5.228614,6.303182,5.261758,6.228076,6.262099,5.572269,6.00562
7892786,8.428307,8.882739,8.405077,8.966723,8.303233,8.756019,8.397964
7892787,5.815479,6.487291,5.833141,5.599566,6.550021,5.849217,5.295172
7892788,10.16456,10.01851,10.47995,9.829937,9.907832,10.14663,10.18324
7892789,7.695076,7.693859,7.414647,7.538245,7.549096,7.629,7.193719
7892790,3.195767,2.974028,3.706208,2.958602,3.317123,3.105511,2.604471
7892791,10.10832,10.30225,10.60304,10.02934,10.76211,10.53504,10.03456
7892792,6.961693,6.945628,6.530051,6.013915,6.114648,6.778073,7.262211
7892793,4.1477,3.977538,4.258257,4.255968,4.090289,3.985179,4.074809
7892794,6.59526,6.616202,6.67175,6.960311,6.49937,6.532797,6.253731
7892795,5.856278,5.246314,6.038146,4.7613,5.314745,4.723307,5.688065
7892796,12.5278,12.43947,12.29183,12.45447,12.28491,12.15609,12.36131
7892797,7.015711,7.055566,6.886362,6.231362,6.767061,6.932478,6.880305
7892798,3.809595,3.62197,3.116373,3.315909,4.365073,3.587736,4.198567
7892799,4.973455,4.100271,4.504781,4.429285,4.144984,4.880977,4.3689
7892800,4.476137,5.42171,4.179935,5.486063,4.859993,4.881567,5.264182
7892801,3.281478,3.051287,2.967129,3.238191,3.132055,3.656573,2.758776
7892802,10.05572,10.1169,9.944246,10.1457,9.924653,10.05953,10.038
7892803,10.90057,11.28116,11.15819,11.23252,11.34437,11.44821,11.11145
7892804,4.710765,4.10522,4.387268,4.37939,4.256153,4.122278,4.938087
7892805,3.488952,3.702116,4.459905,2.485004,3.92311,4.404652,3.657415
7892806,3.286891,3.834516,3.244986,3.016556,3.457542,2.528378,3.329494
7892807,7.066148,6.670665,6.785088,6.486998,6.997054,6.88502,6.578191
7892808,10.30638,10.17608,9.896142,10.42301,10.49487,10.45788,10.50975
7892809,3.062659,3.503876,3.065487,3.74519,3.341187,2.761987,3.509826
7892810,4.963405,3.331237,4.750607,4.036577,4.097992,4.614563,4.649694
7892811,4.327753,5.404398,4.434154,4.7388,3.892424,5.102077,5.123446
7892812,7.234848,7.314822,7.136261,7.351223,7.464464,7.427552,7.196832
7892813,5.366616,5.533247,4.921787,5.904023,6.012623,6.029617,6.341902
7892814,8.917438,9.516061,9.364267,9.679203,10.08319,9.59688,8.772911
7892815,2.641705,2.625333,2.736245,2.632035,2.600279,2.6908,2.576663
7892816,9.345175,9.134325,9.125669,9.0055,9.12788,9.112633,8.955795
7892817,12.73062,12.85664,12.78338,12.84212,12.50572,12.83647,12.83459
7892818,3.449853,4.034432,3.458948,3.525722,3.505175,3.536968,3.892027
7892819,4.843064,6.960228,5.179444,5.237856,5.675733,5.806202,5.866663
7892820,7.894756,8.525065,7.479412,8.779154,9.211159,9.004421,8.466339
7892821,2.501329,4.369568,3.184622,3.366513,2.382876,2.536121,2.129194
7892822,5.369514,5.384651,4.969735,4.587477,5.157546,5.448836,5.574407
7892823,7.244217,6.721836,7.373919,6.603863,6.728786,7.268826,7.047994
7892824,7.506098,7.179409,7.517425,7.344265,7.047538,7.147807,6.91545
7892825,3.852376,4.117746,4.44022,2.517013,2.518695,2.925191,2.962747
7892826,6.601824,6.962386,6.842113,6.256931,6.869552,6.531739,6.292779
7892827,11.75803,11.67156,11.67695,11.48293,11.62986,11.66689,11.86205
7892828,2.956865,3.314707,2.671028,2.901665,2.431185,2.417128,3.957287
7892829,11.8879,12.02554,11.90282,11.96788,11.93291,11.82754,11.85617
7892830,12.0922,12.43145,12.09402,12.21279,12.13357,12.15172,12.22769
7892831,8.469851,8.803408,8.226295,8.401887,8.814624,8.695148,8.259585
7892832,7.922978,8.022799,7.915895,8.335709,7.920051,7.742525,7.964166
7892833,2.975676,4.400447,3.608017,2.846388,3.254781,2.796019,3.69017
7892834,5.577317,5.198765,5.09232,5.155387,4.695532,5.330238,6.043441
7892835,11.46208,11.9643,11.70759,12.04494,11.86965,11.75164,11.78163
7892836,11.56341,11.78184,11.55722,11.95176,11.83678,11.84895,11.66747
7892837,10.46661,10.41903,10.54169,10.30237,10.41403,10.55962,10.65767
7892838,9.862322,9.691695,9.998871,9.814416,10.06345,9.852989,9.889874
7892839,2.333246,2.479515,3.160465,2.320236,2.45718,3.276396,2.551288
7892840,7.702749,7.984528,8.02071,7.846422,8.213594,8.065164,8.110553
7892841,10.14019,10.49952,10.10084,10.64561,10.23076,10.39759,10.57271
7892842,6.079456,5.8301,5.636961,4.927458,6.308997,5.477632,4.860092
7892843,6.178665,6.453233,6.379377,5.438103,6.266815,6.072667,5.871563
7892844,3.840528,3.592742,4.231786,3.921494,3.627649,3.203234,3.230892
7892845,7.664549,7.445,7.588309,7.436687,7.244507,7.44226,7.596708
7892846,12.7027,12.77553,12.66177,12.74497,12.70509,12.69303,12.78099
7892847,8.767671,9.116554,8.708331,9.097937,9.111995,8.946465,9.13288
7892848,9.363005,9.188172,9.409801,9.172383,9.672166,9.311508,9.459111
7892849,4.561466,4.967013,3.821585,4.790172,4.521804,5.303029,4.551731
7892850,8.826495,8.278369,9.210347,7.959738,9.106779,8.48684,8.873958
7892851,6.654438,6.470417,6.27901,6.048851,5.871367,5.52501,6.46915
7892852,6.5511,6.504332,7.412061,6.711622,7.578217,6.755033,7.28955
7892853,11.21826,11.51864,11.54157,11.47541,11.47209,11.64784,11.44592
7892854,5.692822,5.956521,5.057311,5.470249,4.657669,5.336867,4.757048
7892855,5.134989,6.049673,5.915036,6.708375,5.834529,5.776947,6.153358
7892856,6.401484,6.208392,5.924108,6.210521,5.829024,5.943599,6.103495
7892857,11.15185,11.25006,11.17888,11.21763,11.21402,11.11842,11.0907
7892858,3.270803,3.920977,4.187937,3.129088,3.566319,5.281646,3.574702
