"","value","change","pre_GSM1923000","pre_GSM1923004","pre_GSM1923010","pre_GSM1923012","pre_GSM1923007","pre_GSM1923020","pre_GSM192998","pre_GSM1922995","pre_GSM1923002","pre_GSM1923008","pre_GSM1923015","pre_GSM1923018","pre_GSM1923022","pre_GSM1923017","post_EG_GSM1923001","post_EG_GSM1923005","post_EG_GSM1923011","post_EG_GSM1923013","post_EG_GSM1923021","post_EG_GSM1923006","post_EG_GSM1923014","post_EQ_GSM192996","post_EQ_GSM1923003","post_EQ_GSM1923009","post_EQ_GSM1923016","post_EQ_GSM1923019","post_EQ_GSM1923023","post_EQ_GSM192997"
"RNU6-893P","Fold Change EGCG",1.08452298827636,4.729823,5.129372,5.060843,4.588546,5.721657,5.003718,4.914101,5.278355,4.776263,4.421556,4.316015,4.868808,4.242538,4.795249,5.471056,5.277777,5.909765,4.657054,4.805988,4.927002,5.742089,4.772978,5.860793,4.943952,5.343125,5.290121,4.226533,4.688094
"ZNF578","Fold Change EGCG",1.08370567797554,3.274085,3.33044,4.623713,4.046737,3.139522,3.110768,4.351112,3.679729,3.354205,3.370126,2.977812,3.399431,3.553453,3.179041,4.187703,3.44787,3.710559,4.349553,3.62088,3.268698,4.176943,3.119737,3.662511,3.279507,4.092943,3.822774,3.01604,3.377038
"RNU6-263P","Fold Change EGCG",1.08296845555113,2.601558,2.706857,2.77088,2.3526,2.812137,3.291925,2.204175,2.474747,2.160788,2.637111,2.93443,2.694846,3.275838,3.065146,2.971382,3.026773,2.529118,2.497802,4.186963,2.638914,2.716264,2.892438,2.682071,2.882871,2.655846,3.048157,2.660297,3.047584
"KARSP3","Fold Change EGCG+Quercentin",1.20147519555536,3.236636,3.370126,3.251732,3.045036,5.658116,2.394456,6.275847,4.549771,5.012138,2.584302,3.750945,3.562265,7.463402,3.570185,2.031657,5.331456,3.150599,3.002369,4.226489,2.477271,5.547932,4.68255,5.161864,4.150652,6.283531,5.505964,4.479595,4.413396
"RNU4-51P","Fold Change EGCG+Quercentin",1.17394198690768,3.411485,3.035656,3.709145,3.01495,3.386954,3.410872,3.553139,3.596871,3.617172,3.46575,4.313459,3.380232,3.832153,3.321366,3.490727,4.232907,3.456671,3.761265,3.326652,3.155035,4.01592,4.310873,3.580882,4.449759,4.476717,3.845018,3.565732,4.561479
"RNU6-1244P","Fold Change EGCG+Quercentin",1.16278142136414,2.2018,1.824639,1.854291,2.342321,1.768834,1.94207,2.24259,3.424106,1.881448,2.034415,3.152341,2.166299,2.288224,1.933477,2.047374,2.85743,2.134356,1.809812,2.291333,2.447795,2.12252,3.424337,2.190556,2.047845,2.470551,2.651674,2.158573,3.112631
"RNU6-403P","Fold Change EGCG+Quercentin",1.1376790402047,2.374033,2.589489,2.714277,2.94853,2.564433,2.615167,2.455437,2.934895,3.224197,2.740385,2.879177,2.742985,2.397173,2.973124,2.714277,2.485653,2.646993,3.654999,2.149714,2.577765,2.739764,3.53744,3.255172,3.680403,3.693751,2.488126,2.333937,2.714277
"RNU6-1024P1","Fold Change EGCG+Quercentin",1.13592970337616,5.118808,2.348279,4.881846,4.90108,5.008736,5.854117,4.396429,4.970521,2.639625,3.464713,3.799605,3.783675,3.744827,3.464369,4.080317,5.535697,5.322618,5.330664,3.434441,3.164427,4.840649,5.054548,4.743489,4.165302,5.324278,4.082217,4.078527,5.707513
"COX7B","Fold Change EGCG+Quercentin",1.13441490360885,3.684098,3.101303,4.116078,3.492036,3.929107,4.295516,4.63121,4.491021,4.523447,3.603166,4.617862,4.653553,3.957126,2.668152,3.087768,3.723906,3.207069,3.900589,4.582647,3.60677,3.300058,5.635063,3.31929,4.905072,5.447308,3.184214,3.844402,5.294223
"ZNF847P","Fold Change EGCG+Quercentin",1.12836921677981,2.774108,2.205165,2.327527,2.224784,2.407853,2.192885,2.121907,2.508331,2.451142,2.546446,2.02687,2.16702,2.064669,2.023087,2.357377,1.932529,2.3634,2.330837,2.340211,2.102863,2.199121,2.794842,2.358409,2.095552,2.794276,2.394529,2.488586,3.151293
"RNU6-853P","Fold Change EGCG+Quercentin",1.12684406548504,2.839938,2.789659,3.102854,2.738443,2.670711,2.876158,3.085255,3.275527,2.947542,3.176307,4.236188,2.869511,3.81135,2.952661,2.771961,2.907065,2.681999,2.759539,2.832179,3.365447,2.823623,3.375301,2.878293,3.218552,3.934861,4.089132,2.922616,4.018044
"RNU6-943P","Fold Change EGCG+Quercentin",1.12566451318903,3.294064,2.930063,3.668304,3.275517,2.946633,2.694439,3.130377,3.393719,3.099114,3.249888,3.556128,2.714196,3.563811,3.012961,2.940627,2.343109,3.162296,3.336897,2.891805,2.896197,3.604516,3.744242,3.645178,3.295518,4.178654,3.682128,3.679098,2.83766
"RNA5SP30","Fold Change EGCG+Quercentin",1.11653860925354,3.630963,4.835207,3.515635,3.845782,3.838985,5.142002,4.000862,4.496307,3.452406,4.249281,4.170519,3.440986,3.180736,3.491284,4.359956,3.772393,3.980061,3.733911,3.339392,3.929165,4.148819,3.633708,4.7944,3.950391,5.168087,4.703807,3.859278,4.757572
"OR5M10","Fold Change EGCG+Quercentin",1.10477325319024,2.863583,2.909033,3.251732,3.395484,2.586781,2.936849,2.930313,2.878068,2.811882,2.71892,2.699138,2.934319,2.765297,2.805852,2.956923,2.826232,3.090506,2.68898,2.7931,2.909598,3.131953,2.828575,3.574881,2.797498,2.797202,4.040437,3.343607,2.982416
"RNY1P5","Fold Change EGCG+Quercentin",1.1002826619714,2.017035,2.410734,2.464911,1.890544,2.834182,2.597563,2.54561,2.77106,2.471262,2.237279,2.486047,2.816159,2.248263,2.273714,2.259405,2.589482,2.092072,2.698951,2.677737,2.437222,2.27784,2.404082,2.78279,2.141819,2.147881,2.707348,3.004642,3.551652
"DDX18P6","Fold Change EGCG+Quercentin",1.0976740481414,3.241025,3.067835,3.557154,3.241025,2.77931,3.09656,3.227246,3.176733,3.210181,3.277802,3.297224,3.085339,3.241025,3.172199,3.581139,3.480985,3.083178,3.003349,2.787638,3.281048,3.241025,3.967495,3.190274,3.573056,3.898541,3.514594,3.236636,3.136315
"HMGB3P24","Fold Change EGCG+Quercentin",1.09673527317481,4.27694,4.598945,4.338547,4.862531,4.285501,3.948353,3.775146,4.118515,4.983908,4.824197,3.837341,4.110156,3.85841,4.168336,3.892712,4.307755,4.618551,3.515645,4.392764,4.088903,4.49801,4.677317,5.087781,4.975688,3.172379,5.283709,5.249603,4.448357
"LINC01356","Fold Change EGCG+Quercentin",1.09630937171564,4.364758,4.458671,4.825437,4.959461,3.549182,4.386386,4.537256,4.249209,4.989921,3.83243,4.172018,3.358146,5.011254,5.620139,4.852013,4.89097,4.491223,4.175975,4.914523,4.462373,4.237446,4.216005,4.677374,4.357222,6.072282,5.38552,4.622921,4.826534
"MTCO1P11","Fold Change EGCG+Quercentin",1.09497767021839,1.691963,1.677882,1.76393,1.71489,1.886315,1.759618,2.30924,1.90949,2.009905,1.634024,1.727826,2.033664,1.692853,1.882113,1.573209,1.899811,1.665071,1.786048,1.933759,1.613892,1.615791,1.762162,2.031818,2.088993,2.236031,1.735773,2.260481,1.951763
