"","value","change","pre_GSM1923000","pre_GSM1923004","pre_GSM1923010","pre_GSM1923012","pre_GSM1923007","pre_GSM1923020","pre_GSM192998","pre_GSM1922995","pre_GSM1923002","pre_GSM1923008","pre_GSM1923015","pre_GSM1923018","pre_GSM1923022","pre_GSM1923017","post_EG_GSM1923001","post_EG_GSM1923005","post_EG_GSM1923011","post_EG_GSM1923013","post_EG_GSM1923021","post_EG_GSM1923006","post_EG_GSM1923014","post_EQ_GSM192996","post_EQ_GSM1923003","post_EQ_GSM1923009","post_EQ_GSM1923016","post_EQ_GSM1923019","post_EQ_GSM1923023","post_EQ_GSM192997"
"IGKV1D-27","Down Regulated EGCG+Quercentin",0.577664571428572,5.756958,5.61757,5.503773,6.270058,6.292499,5.344773,5.904894,6.192151,5.259172,5.878548,5.465782,6.071668,5.59832,6.11639,6.645617,5.246081,5.991428,6.292499,5.849399,6.511136,6.547845,5.911707,5.307204,5.756958,4.534206,5.04793,4.93323,5.101391
"ALOX15","Down Regulated EGCG+Quercentin",0.564082714285715,8.618218,8.54088,9.012391,7.437176,8.769546,8.083969,6.793347,8.327738,7.634356,7.174583,7.906488,9.64069,4.640682,8.620446,8.089737,8.071516,9.167692,8.230452,8.388445,8.202385,8.669074,8.119132,7.503975,7.563985,7.484712,9.382847,5.260391,6.336634
"TMEM176A1","Down Regulated EGCG+Quercentin",0.519025857142858,8.234849,10.17415,9.692642,9.823821,8.315637,9.197305,7.918641,7.678146,6.915335,7.677896,9.219242,7.738728,8.038414,6.521366,8.261001,10.30215,9.6131,9.378744,9.459219,9.584011,9.079417,7.697928,6.728965,7.830197,9.018084,8.074804,7.873861,7.716066
"RNU6-1315P","Down Regulated EGCG+Quercentin",0.514345,5.965623,6.397019,5.630767,6.909309,6.306538,6.194286,5.803548,6.433755,6.418136,5.73684,5.303005,5.752495,5.560838,6.784663,6.016811,6.262485,6.044048,6.230087,5.955448,6.145019,5.670566,5.530193,5.510973,5.458944,5.540454,5.505969,4.929681,6.521782
"KIAA1324","Down Regulated EGCG+Quercentin",0.503210071428571,10.30821,9.935955,10.67592,8.440156,10.30233,10.42794,10.13504,9.994263,10.5396,9.57143,9.42232,8.023506,9.244128,9.910405,10.35717,9.295792,10.67136,8.524614,10.40935,9.734085,10.25483,9.953789,10.58238,9.732656,9.544022,7.535823,9.47855,8.115911
"IL1RL1","Down Regulated EGCG+Quercentin",0.458572785714285,7.686226,7.56243,7.375314,6.220163,7.696645,6.557677,7.316125,7.225058,6.473979,5.74683,6.571969,6.715892,5.604244,7.366439,7.413693,7.487288,7.456971,6.836432,6.642108,6.983094,6.915244,6.976113,6.222389,5.816708,5.982982,7.028103,5.874768,6.948423
"SNORA38B","Down Regulated EGCG+Quercentin",0.445933285714286,6.785851,6.638315,6.729556,8.13652,6.518712,10.17743,8.908377,8.138044,6.759503,7.282931,6.981231,8.483041,7.219204,7.007805,6.771927,7.147807,7.86698,7.883873,8.934456,6.894226,6.803237,7.520467,6.719985,6.799205,6.879534,7.356482,7.015967,7.470087
"HLA-DOA","Down Regulated EGCG+Quercentin",0.427822642857143,8.297891,8.1574705,8.3779135,8.7306995,7.8883575,7.9922495,8.418195,8.3332675,7.4548925,7.9629385,7.8940575,8.326974,7.5490185,7.918583,8.3527985,8.260955,8.240053,8.6195505,7.814332,7.918884,8.0280915,8.2165545,7.369837,7.8862085,7.430038,8.0163355,7.361815,7.375707
"IGHV3-47","Down Regulated EGCG+Quercentin",0.425214785714286,4.42794,4.057443,4.239655,3.933982,3.760212,4.084619,4.294885,4.778882,4.412323,3.876354,3.842627,4.68154,3.140019,4.499736,4.353493,4.341793,4.754691,4.087748,4.297094,3.696733,3.910842,4.130211,3.808141,3.612584,3.691813,3.776187,3.711281,3.308388
"VTRNA1-1","Down Regulated EGCG+Quercentin",0.423781428571429,3.918149,3.513016,3.153503,3.321703,3.557066,3.428813,4.092259,3.031099,3.21386,3.393577,3.76857,6.216463,3.204755,3.942171,3.035174,4.031562,3.350624,3.096735,3.158351,3.127791,2.72842,2.886344,3.10409,3.146844,3.300801,3.874656,3.242997,3.3553
"SMPD3","Down Regulated EGCG+Quercentin",0.423663285714285,7.846201,8.19033,7.559098,7.055265,7.994747,7.292734,7.882069,7.206326,6.559786,6.946569,6.826509,7.995934,6.238121,7.730081,7.44491,7.570262,7.77809,7.281763,7.275712,7.68045,7.237241,6.989304,6.667692,7.038128,6.788158,7.605242,6.527917,7.079801
"TMEM176B1","Down Regulated EGCG+Quercentin",0.420096642857143,7.590224,8.562156,9.000389,8.615328,7.479093,8.458378,6.951741,6.795467,6.976371,7.125981,8.368604,7.022178,7.24143,6.800087,7.40834,8.71894,8.723102,8.87225,8.598404,8.934507,7.890539,6.96056,6.832266,7.267973,8.186852,6.966214,7.202069,7.137103
"SNORA23","Down Regulated EGCG+Quercentin",0.412260857142856,8.268927,7.180117,7.811905,9.148938,7.980599,9.725664,8.134516,8.048693,8.924269,8.572343,9.432232,8.611336,8.309378,9.476265,7.508742,9.863466,8.21111,7.876519,9.019022,7.407968,7.121668,7.589917,8.051022,7.842779,8.911701,8.910152,7.877195,7.743999
"RNU5A-1","Down Regulated EGCG+Quercentin",0.396240142857143,6.132856,6.000473,5.055697,6.153654,6.626325,6.934309,6.249239,6.028975,5.806464,6.695676,6.018046,6.743095,5.56117,7.603351,5.402288,6.946068,5.09063,5.800428,7.147628,5.383152,5.892553,5.383403,6.272635,5.710556,5.783059,6.871516,5.30081,5.709005
"FOLR3","Down Regulated EGCG+Quercentin",0.392749285714286,7.227573,8.543058,6.03984,7.579003,10.13579,9.276039,7.764552,7.958322,6.342517,7.38727,7.640288,6.711778,8.866272,7.883636,7.191074,8.785271,5.976563,8.227284,9.460279,8.771425,7.105385,7.709848,6.142346,7.587909,7.131244,6.830412,8.918526,7.608439
"RN7SL218P","Down Regulated EGCG+Quercentin",0.392156857142857,4.254791,4.15778,5.208383,5.244798,4.388085,5.439103,5.099842,4.498331,4.957538,4.957379,4.869377,4.490073,4.326639,5.531567,4.430312,4.632414,4.029508,4.571495,4.487793,4.239394,4.862161,4.2078,4.545978,4.567094,4.354688,4.781677,4.211994,4.297514
"TMEM176A2","Up Regulated EGCG",-1.01493657142857,8.234849,10.17415,9.692642,9.823821,8.315637,9.197305,7.918641,7.678146,6.915335,7.677896,9.219242,7.738728,8.038414,6.521366,8.261001,10.30215,9.6131,9.378744,9.459219,9.584011,9.079417,7.697928,6.728965,7.830197,9.018084,8.074804,7.873861,7.716066
"HBZ2","Up Regulated EGCG",-0.962576785714286,5.811648,5.069629,6.523757,3.919103,3.86604,7.004467,6.80334,3.463336,5.055998,4.500188,3.313138,2.791657,3.460742,6.49291,5.949213,5.355846,4.110092,6.065581,7.461491,5.072135,6.761656,2.427704,3.137046,5.007051,2.960443,3.446559,3.151683,7.39416
"TMEM176B2","Up Regulated EGCG",-0.807481214285714,7.590224,8.562156,9.000389,8.615328,7.479093,8.458378,6.951741,6.795467,6.976371,7.125981,8.368604,7.022178,7.24143,6.800087,7.40834,8.71894,8.723102,8.87225,8.598404,8.934507,7.890539,6.96056,6.832266,7.267973,8.186852,6.966214,7.202069,7.137103
"FAU2","Up Regulated EGCG",-0.571505357142857,2.923815,3.196819,3.117909,2.450092,2.701025,2.93315,2.538203,2.92258,3.709078,3.363532,3.29523,2.712208,2.283188,2.842638,3.573943,3.869781,3.168412,3.493053,4.284653,3.411751,2.693678,3.052848,3.10222,3.584512,3.112173,3.244807,2.657585,3.565466
"HBZP1","Up Regulated EGCG",-0.570047,7.794837,7.282024,8.389799,7.196186,6.87005,8.829184,8.483055,6.043233,7.0888,6.641269,6.507183,6.678111,6.381455,8.212902,7.903615,7.468671,7.495716,7.672227,9.016326,7.24407,8.388748,6.003469,7.091983,7.017175,6.402933,6.419608,6.658344,8.965363
"RNY3P161","Up Regulated EGCG",-0.561234571428572,3.175538,4.714185,2.78867,3.581125,3.960004,3.358239,3.516727,3.861783,4.316494,4.311824,3.72357,2.650609,3.83391,3.562766,3.742654,5.294493,3.64987,4.996494,3.874503,3.88742,4.16093,4.893936,2.541502,3.360436,4.825012,2.946133,2.932543,3.230829
"IGKV1-5","Up Regulated EGCG",-0.500883714285715,9.347239,9.128321,9.639825,9.590477,9.561001,8.967034,9.41655,9.308955,9.01684,10.17195,9.110521,9.507219,9.232349,9.875731,9.922967,9.761224,11.4189,9.796797,9.124174,9.622095,9.797035,9.119679,9.38456,9.538849,9.144921,9.157377,9.293158,8.659708
"RNA5SP631","Up Regulated EGCG",-0.500749642857143,6.031024,6.647255,6.119845,5.483854,5.280619,4.799551,4.903502,6.227046,6.127749,5.646268,5.341722,5.78592,4.254113,5.273703,5.919379,5.900205,6.717534,5.701843,6.141848,6.13834,5.947184,5.305202,6.328917,5.241449,5.406178,5.320288,5.614786,5.416752
"TREML4","Up Regulated EGCG",-0.493424214285715,7.466928,5.353891,5.278979,7.433537,5.960432,8.521794,8.065818,5.446463,5.513658,8.141497,5.060966,7.810779,7.882119,5.898042,7.623088,5.723022,5.734277,7.726081,8.65979,7.033669,7.871494,4.885742,5.507178,8.290995,5.664503,8.136298,8.303211,7.98936
"CYP4F35P1","Up Regulated EGCG",-0.463098,5.727632,4.453184,4.743564,5.059506,5.341248,5.342484,5.627999,4.791713,3.523219,4.764615,5.844336,6.108862,3.653342,3.393748,5.331326,5.425857,5.051238,5.652168,5.159725,5.153096,5.656002,5.387603,3.99558,5.659101,5.648862,5.342055,5.249089,5.523956
"ALOX151","Up Regulated EGCG",-0.459863714285714,8.618218,8.54088,9.012391,7.437176,8.769546,8.083969,6.793347,8.327738,7.634356,7.174583,7.906488,9.64069,4.640682,8.620446,8.089737,8.071516,9.167692,8.230452,8.388445,8.202385,8.669074,8.119132,7.503975,7.563985,7.484712,9.382847,5.260391,6.336634
"IGKV3-11","Up Regulated EGCG",-0.441037357142857,8.531608,8.205757,8.159265,8.854791,8.53629,7.819931,8.900699,8.756651,7.793757,9.381006,7.876977,8.621697,7.877319,8.357267,8.869393,9.163091,9.989081,8.992926,7.879318,8.646835,8.383125,8.697583,7.939892,8.411731,7.733289,8.013553,7.634162,8.145864
"IGKV2-30","Up Regulated EGCG",-0.4379165,9.80499,9.489275,9.227246,9.984616,9.253304,9.122567,9.330873,9.358013,8.618487,9.926197,9.174845,9.167371,8.903975,9.589586,10.07821,9.590371,11.36097,9.624558,9.070177,9.552368,9.264434,9.241217,8.854331,9.502459,8.931672,8.889157,8.462263,9.266195
"ZFP57","Up Regulated EGCG",-0.4280465,5.099425,4.777316,6.400451,5.832144,5.096492,6.533839,4.958622,5.308321,5.377296,4.676762,4.749932,4.835622,5.031002,5.764567,5.177411,4.87443,5.830243,6.329623,6.359288,5.707431,5.938795,5.131209,4.946217,4.809376,5.037626,4.907098,4.71757,6.561772
"RNA5SP4491","Up Regulated EGCG",-0.425292214285714,3.236636,3.436943,2.643492,2.394457,2.329058,2.719405,2.585292,2.316245,2.779747,2.705528,2.990566,2.758645,3.183854,2.826351,3.748873,3.630504,3.06006,3.161716,3.210827,3.008668,2.609507,2.743898,3.226776,2.87134,3.928728,2.814982,2.051197,2.159757
"IGKV1-33","Up Regulated EGCG",-0.417029642857143,8.504716,8.538736,8.872813,9.21624,8.509806,8.222979,9.013853,9.230331,8.264961,9.176512,8.547084,9.041675,8.429285,8.889296,8.949943,9.064756,10.21784,9.421828,8.136599,9.116012,9.241373,9.082642,8.493857,8.790973,8.114603,8.455405,8.037745,8.581922
"CAV1","Up Regulated EGCG",-0.412508928571429,5.41404,5.63679,5.381947,5.358056,5.329176,5.343532,5.090943,5.573716,5.194315,5.361321,5.122855,5.456933,5.338375,5.216572,5.291029,5.799579,7.845604,5.598543,5.16765,5.312009,5.282434,5.207904,5.642959,5.218734,5.091768,5.066716,5.201594,5.707659
"RNU6-893P1","Up Regulated EGCG",-0.409615571428572,4.729823,5.129372,5.060843,4.588546,5.721657,5.003718,4.914101,5.278355,4.776263,4.421556,4.316015,4.868808,4.242538,4.795249,5.471056,5.277777,5.909765,4.657054,4.805988,4.927002,5.742089,4.772978,5.860793,4.943952,5.343125,5.290121,4.226533,4.688094
"POU2AF1","Up Regulated EGCG",-0.409293857142857,7.49751,7.66953,7.506255,7.9133495,7.2859585,7.296976,7.605768,7.499083,6.54772,7.289034,7.6211435,7.6316025,6.7842325,6.8645325,8.244645,7.725516,8.453935,7.7787545,7.2794735,7.319313,7.5697675,7.5639645,7.1673705,7.457869,7.3447925,7.329351,6.6125285,6.6935255
"IGKV2-24","Up Regulated EGCG",-0.398315071428572,8.060297,8.192456,7.905823,8.421768,7.83882,7.808922,8.330021,8.28389,7.422448,8.470101,7.923913,7.925795,7.709735,8.609476,8.606488,8.163542,10.36343,8.462289,7.680103,7.994862,7.969224,7.928662,7.323971,8.217247,7.725022,7.727964,7.252233,8.085601
"KARSP31","Up Regulated EGCG+Quercentin",-0.830724785714286,3.236636,3.370126,3.251732,3.045036,5.658116,2.394456,6.275847,4.549771,5.012138,2.584302,3.750945,3.562265,7.463402,3.570185,2.031657,5.331456,3.150599,3.002369,4.226489,2.477271,5.547932,4.68255,5.161864,4.150652,6.283531,5.505964,4.479595,4.413396
"GSTM12","Up Regulated EGCG+Quercentin",-0.619340785714286,8.472179,6.076176,6.174376,6.026742,6.458577,5.554105,6.361301,6.012029,7.862147,8.596789,5.537547,8.948875,8.214592,7.9289,8.730453,5.601388,6.366739,6.313624,5.863973,5.765924,6.322592,5.903659,7.950787,8.581388,5.350835,8.706761,8.425818,8.528305
"RNU4-51P1","Up Regulated EGCG+Quercentin",-0.609408285714286,3.411485,3.035656,3.709145,3.01495,3.386954,3.410872,3.553139,3.596871,3.617172,3.46575,4.313459,3.380232,3.832153,3.321366,3.490727,4.232907,3.456671,3.761265,3.326652,3.155035,4.01592,4.310873,3.580882,4.449759,4.476717,3.845018,3.565732,4.561479
"RNU6-1024P2","Up Regulated EGCG+Quercentin",-0.566794142857143,5.118808,2.348279,4.881846,4.90108,5.008736,5.854117,4.396429,4.970521,2.639625,3.464713,3.799605,3.783675,3.744827,3.464369,4.080317,5.535697,5.322618,5.330664,3.434441,3.164427,4.840649,5.054548,4.743489,4.165302,5.324278,4.082217,4.078527,5.707513
"COX7B1","Up Regulated EGCG+Quercentin",-0.535390642857142,3.684098,3.101303,4.116078,3.492036,3.929107,4.295516,4.63121,4.491021,4.523447,3.603166,4.617862,4.653553,3.957126,2.668152,3.087768,3.723906,3.207069,3.900589,4.582647,3.60677,3.300058,5.635063,3.31929,4.905072,5.447308,3.184214,3.844402,5.294223
"OCLN","Up Regulated EGCG+Quercentin",-0.478063499999999,3.689732,6.130703,7.136095,6.460763,6.327845,3.899995,4.002341,3.858411,7.702955,6.610095,6.839999,4.025669,7.094453,6.235959,3.658009,7.07148,7.197221,6.480009,3.183043,6.561533,6.66202,3.671858,7.525222,6.609111,6.644725,4.167722,6.990861,7.744453
"CTNNAL1","Up Regulated EGCG+Quercentin",-0.471180428571429,5.097876,6.411452,5.253568,4.569628,5.952301,6.450964,6.414011,5.610598,7.285121,5.84894,5.075598,5.340089,7.617988,5.531182,4.823223,7.414082,5.062014,5.641806,6.914743,5.560568,5.672833,5.782651,7.221272,5.87324,5.273255,5.630321,8.466906,6.280276
"RNA5SP301","Up Regulated EGCG+Quercentin",-0.460252214285715,3.630963,4.835207,3.515635,3.845782,3.838985,5.142002,4.000862,4.496307,3.452406,4.249281,4.170519,3.440986,3.180736,3.491284,4.359956,3.772393,3.980061,3.733911,3.339392,3.929165,4.148819,3.633708,4.7944,3.950391,5.168087,4.703807,3.859278,4.757572
"C4BPA","Up Regulated EGCG+Quercentin",-0.434463428571428,5.294201,4.922786,5.135108,4.593153,5.000043,4.995357,4.947705,4.6054,5.72575,4.863747,5.361488,8.962273,5.617418,5.423641,4.984426,5.064595,4.897905,4.763914,5.049961,4.984906,5.06897,4.713947,5.138184,5.120459,5.288314,9.747406,5.625638,5.131331
"CD274","Up Regulated EGCG+Quercentin",-0.432865357142858,7.037835,6.904259,7.888517,6.925076,7.096611,7.148675,8.057865,6.886828,7.866396,6.818688,7.360441,6.911521,7.839045,7.239742,7.565337,7.51557,7.06132,7.666081,7.482051,7.797422,6.806666,7.012457,7.918637,7.185274,7.223956,8.434786,8.068832,8.176865
"LINC013561","Up Regulated EGCG+Quercentin",-0.428674857142857,4.364758,4.458671,4.825437,4.959461,3.549182,4.386386,4.537256,4.249209,4.989921,3.83243,4.172018,3.358146,5.011254,5.620139,4.852013,4.89097,4.491223,4.175975,4.914523,4.462373,4.237446,4.216005,4.677374,4.357222,6.072282,5.38552,4.622921,4.826534
"RNU6-522P","Up Regulated EGCG+Quercentin",-0.419670285714286,7.104646,6.063435,7.032055,5.704543,6.245954,7.334882,6.46043,7.389003,6.703728,7.078945,7.411445,7.537065,6.77889,7.381887,7.1548,6.252564,7.450614,5.886648,6.808507,6.371397,6.305537,7.431625,6.892733,6.78672,7.654583,7.307591,7.269157,7.708737
"HMGB3P241","Up Regulated EGCG+Quercentin",-0.414488714285715,4.27694,4.598945,4.338547,4.862531,4.285501,3.948353,3.775146,4.118515,4.983908,4.824197,3.837341,4.110156,3.85841,4.168336,3.892712,4.307755,4.618551,3.515645,4.392764,4.088903,4.49801,4.677317,5.087781,4.975688,3.172379,5.283709,5.249603,4.448357
"BBOF1","Up Regulated EGCG+Quercentin",-0.403802357142857,7.179473,7.731149,6.874625,6.125238,7.724988,8.129784,8.212811,7.498887,9.407221,7.964251,7.592292,7.991055,9.156115,7.765718,7.287389,7.992859,6.373542,6.998306,8.48,7.754502,7.300568,7.482733,9.435266,8.050997,7.566235,7.722712,9.591305,7.654172
"RPL36AP26","Up Regulated EGCG+Quercentin",-0.403493428571429,7.213727,6.986807,6.680272,6.822679,7.722751,7.898178,7.359946,7.391714,8.235855,7.771163,7.342733,7.09789,7.124386,6.607109,6.46934,7.332107,6.578686,6.898235,8.468581,8.082952,6.614895,7.724177,7.809474,7.409118,8.29199,7.659492,7.075865,7.981943
"SLPI","Up Regulated EGCG+Quercentin",-0.402215500000001,7.066407,6.981043,6.953969,8.885679,8.218735,9.085851,8.100077,8.677443,8.856766,7.928227,7.520678,8.406864,7.864158,8.096432,7.222888,7.471013,6.830313,9.317122,9.406696,7.87098,7.330129,8.929095,9.050573,8.283017,7.703988,8.608315,8.044639,8.517046
"RNU6-943P1","Up Regulated EGCG+Quercentin",-0.399695857142857,3.294064,2.930063,3.668304,3.275517,2.946633,2.694439,3.130377,3.393719,3.099114,3.249888,3.556128,2.714196,3.563811,3.012961,2.940627,2.343109,3.162296,3.336897,2.891805,2.896197,3.604516,3.744242,3.645178,3.295518,4.178654,3.682128,3.679098,2.83766
"SLC3A1","Up Regulated EGCG+Quercentin",-0.393528285714286,4.943041,4.881752,4.879858,4.89069,4.810431,4.629837,4.324484,4.580755,5.745869,4.938174,4.427902,4.832296,4.431097,4.687454,4.934957,5.232114,4.897149,4.587667,4.662432,4.969165,4.597248,4.666132,6.578716,4.784383,4.996114,5.348597,5.03436,4.848216
"RPS71","Up Regulated EGCG+Quercentin",-0.393168428571428,4.3154345,3.8521165,4.25758,4.0559025,4.2646525,4.3983355,4.279754,5.185456,4.013799,4.1455885,4.3816285,4.186968,4.0044175,4.718851,3.9319885,4.731526,4.443668,4.6141645,4.3633705,4.2734725,4.4190315,5.036717,4.1641185,5.200315,4.620352,3.940056,5.194638,4.6262245
"RNU6-853P1","Up Regulated EGCG+Quercentin",-0.392963857142857,2.839938,2.789659,3.102854,2.738443,2.670711,2.876158,3.085255,3.275527,2.947542,3.176307,4.236188,2.869511,3.81135,2.952661,2.771961,2.907065,2.681999,2.759539,2.832179,3.365447,2.823623,3.375301,2.878293,3.218552,3.934861,4.089132,2.922616,4.018044
